date,gouvernorat,type_peche,main_œuvre,feuille
2017,ســـليـــــانة,صيد السمك الأزرق,0.0,Feuil1
2017,ســـليـــــانة,صيد التن,0.0,Feuil1
2017,ســـليـــــانة,تربية أحياء مائية,0.0,Feuil1
2017,ســـليـــــانة,صيدعلى الأقدام,22.0,Feuil1
2017,زغــــوان,صيد ساحلي,0.0,Feuil1
2017,زغــــوان,صيد بالجر,0.0,Feuil1
2017,زغــــوان,صيد السمك الأزرق,0.0,Feuil1
2017,زغــــوان,صيد التن,0.0,Feuil1
2017,زغــــوان,تربية أحياء مائية,0.0,Feuil1
2017,زغــــوان,صيدعلى الأقدام,34.0,Feuil1
2017,الـــقــيروان,صيد ساحلي,0.0,Feuil1
2017,الـــقــيروان,صيد بالجر,0.0,Feuil1
2017,الـــقــيروان,صيد السمك الأزرق,0.0,Feuil1
2017,الـــقــيروان,صيد التن,0.0,Feuil1
2017,الـــقــيروان,تربية أحياء مائية,0.0,Feuil1
2017,الـــقــيروان,صيدعلى الأقدام,74.0,Feuil1
2018,جــنــدوبــة و بــــــــاجة,صيد ساحلي,460.0,Feuil1
2018,جــنــدوبــة و بــــــــاجة,صيد بالجر,74.0,Feuil1
2018,جــنــدوبــة و بــــــــاجة,صيد السمك الأزرق,24.0,Feuil1
2018,جــنــدوبــة و بــــــــاجة,صيد التن,0.0,Feuil1
2018,جــنــدوبــة و بــــــــاجة,تربية أحياء مائية,158.0,Feuil1
2018,جــنــدوبــة و بــــــــاجة,صيدعلى الأقدام,0.0,Feuil1
2018,بــــنـــــزرت,صيد ساحلي,4183.0,Feuil1
2018,بــــنـــــزرت,صيد بالجر,288.0,Feuil1
2018,بــــنـــــزرت,صيد السمك الأزرق,567.0,Feuil1
2018,بــــنـــــزرت,صيد التن,0.0,Feuil1
2018,بــــنـــــزرت,تربية أحياء مائية,60.0,Feuil1
2018,بــــنـــــزرت,صيدعلى الأقدام,0.0,Feuil1
2018,أريـــــــــانة,صيد ساحلي,1043.0,Feuil1
2018,أريـــــــــانة,صيد بالجر,0.0,Feuil1
2018,أريـــــــــانة,صيد السمك الأزرق,0.0,Feuil1
2018,أريـــــــــانة,صيد التن,0.0,Feuil1
2018,أريـــــــــانة,تربية أحياء مائية,0.0,Feuil1
2018,أريـــــــــانة,صيدعلى الأقدام,0.0,Feuil1
2018,تـــــونــس,صيد ساحلي,1151.0,Feuil1
2018,تـــــونــس,صيد بالجر,273.0,Feuil1
2018,تـــــونــس,صيد السمك الأزرق,64.0,Feuil1
2018,تـــــونــس,صيد التن,0.0,Feuil1
2018,تـــــونــس,تربية أحياء مائية,0.0,Feuil1
2018,تـــــونــس,صيدعلى الأقدام,0.0,Feuil1
2018,بن عروس,صيد ساحلي,261.0,Feuil1
2018,بن عروس,صيد بالجر,365.0,Feuil1
2018,بن عروس,صيد السمك الأزرق,0.0,Feuil1
2018,بن عروس,صيد التن,0.0,Feuil1
2018,بن عروس,تربية أحياء مائية,4.0,Feuil1
2018,بن عروس,صيدعلى الأقدام,0.0,Feuil1
2018,نـــــــــابـل,صيد ساحلي,1877.0,Feuil1
2018,نـــــــــابـل,صيد بالجر,264.0,Feuil1
2018,نـــــــــابـل,صيد السمك الأزرق,1101.0,Feuil1
2018,نـــــــــابـل,صيد التن,0.0,Feuil1
2018,نـــــــــابـل,تربية أحياء مائية,38.0,Feuil1
2018,نـــــــــابـل,صيدعلى الأقدام,0.0,Feuil1
2018,ســــــــوســــــة,صيد ساحلي,1112.0,Feuil1
2018,ســــــــوســــــة,صيد بالجر,143.0,Feuil1
2018,ســــــــوســــــة,صيد السمك الأزرق,24.0,Feuil1
2018,ســــــــوســــــة,صيد التن,0.0,Feuil1
2018,ســــــــوســــــة,تربية أحياء مائية,41.0,Feuil1
2018,ســــــــوســــــة,صيدعلى الأقدام,0.0,Feuil1
2018,الــمــنـســتـيــــــر,صيد ساحلي,3342.0,Feuil1
2018,الــمــنـســتـيــــــر,صيد بالجر,180.0,Feuil1
2018,الــمــنـســتـيــــــر,صيد السمك الأزرق,1344.0,Feuil1
2018,الــمــنـســتـيــــــر,صيد التن,60.0,Feuil1
2018,الــمــنـســتـيــــــر,تربية أحياء مائية,407.0,Feuil1
2018,الــمــنـســتـيــــــر,صيدعلى الأقدام,0.0,Feuil1
2018,الـمــهــد يــــــة,صيد ساحلي,3574.0,Feuil1
2018,الـمــهــد يــــــة,صيد بالجر,1148.0,Feuil1
