المعتمدية,الحبوب_ق,الاعلاف_طن,الخضروات,زراعات_صناعية_ق,البقول_الجافة_ق,feuille
بنزرت الشمالية,15000,11500,2250,0,6000,Feuil1
بنزرت الجنوبية,225600,70000,16500,3500,37500,Feuil1
جرزونة,0,0,0,0,0,Feuil1
منزل جميل,58500,34000,33000,0,7500,Feuil1
منزل بورقيبة,182000,42000,3500,2625,14500,Feuil1
تينجة,68500,14000,1000,875,9000,Feuil1
ماطر,595000,102000,5000,13125,66000,Feuil1
غزالة,325000,55570,20000,0,18000,Feuil1
جومين,572000,135280,3500,15250,67500,Feuil1
سجنان,44500,7500,25000,1400,4500,Feuil1
العالية,92200,14100,35000,500,8100,Feuil1
رأس الجبل,37870,17500,42500,0,9000,Feuil1
غار الملح,43900,19500,47000,0,5200,Feuil1
أوتيك,318000,95200,15460,875,20200,Feuil1
مجموع الولاية,258070,618150,249710,38150,273000,Feuil1
