annee,ann_2001,ann_2002,ann_2003,ann_2004,ann_2005,ann_2006,ann_2007,ann_2008,ann_2009,ann_2010,ann_2011,ann_2012,ann_2013,ann_2014,ann_2015,ann_2016,ann_2017,ann_2018,ann_2019,feuille
janvier,118.86613351590833,110.03042255994706,129.15,151.18339423537483,138.7676834266809,122.61,216.16160427753925,312.25788875271815,161.65483110625834,216.64139105479316,288.9674843181667,261.71,314.77,216.99,201.79,174.71,180.40795784463825,187.0,183.77,dollar la T
fevrier,118.76629971230777,112.26105811237339,126.98,172.85,141.10850534189962,125.95,213.6679073038143,327.52125915864445,182.2035529010469,216.76471770602257,,258.83,312.27,234.47,210.89,158.36,183.84406070673825,190.2,196.4,dollar la T
mars,117.89888167870505,112.30165746564528,124.94,182.29,134.53710545536498,125.99,216.18127806599156,310.97796022319903,177.55838031520943,214.04516231727155,329.05668080858635,285.37,310.07,243.29,187.2,172.96,181.54886190010563,196.2,193.9,dollar la T
avril,111.99225010817474,107.82259183787008,126.05,184.52,139.49499135015276,,216.51861547903746,322.3779361089301,183.85810540155111,206.95918828773898,330.5214580163703,283.91,301.8,262.59,178.61,170.87,183.83461949150475,210.2,186.3,dollar la T
mai,113.8842338782375,107.001792126586,127.39,178.6,144.13624286016503,133.94,218.55148653066627,314.1718389642352,194.34305596074975,203.28587604405058,342.37877103876286,289.04,285.35,265.53,179.87,170.97,184.17231573705604,210.6,185.5,dollar la T
juin,107.9864,107.83533799651934,132.7,179.58,138.76779856815583,136.97455337139277,214.94838283100518,334.43166347277565,204.85438161546435,213.85576509643036,342.53310601833783,288.4,283.01,252.41,183.22,185.42,187.51999997817043,212.4,196.5,dollar la T
juillet,105.37597281073064,112.38969385614888,134.01,178.14,143.64461661677856,140.69,209.22,331.0464602234014,220.7474659507071,207.4188368099087,338.45269321675903,275.9,282.93,249.79,179.04,207.59,187.0,202.5,194.8,dollar la T
aout,108.62865125527597,119.11912251481814,128.79,167.38,137.87540469629576,144.61,210.63356794779045,325.8305152531828,197.78599770560797,213.53617304725108,336.22,337.729,268.903,221.319,205.546,189.426,170.3544950032537,205.1,189.9,dollar la T
septembre,114.41968971182122,126.21207370739725,,150.82,138.6120082911823,149.3,222.16,310.08168932899184,190.52278139178887,254.01801080393977,336.5999999781798,340.87,250.1,213.96,200.69,188.45,175.93703984041824,194.3,186.4,dollar la T
octobre,110.24362253916611,133.60621402236828,131.85,142.24,129.92854423321336,159.82,264.20923661637204,294.4678561072515,185.28629799412226,242.5539353804888,311.3938101654886,309.85,220.89,199.29,185.46,190.19,174.86327014218008,190.75,178.02,dollar la T
novembre,106.29928209266713,127.60624671463724,130.94,138.18,119.4336857169408,183.82,277.24,220.5083553322389,198.6831661387228,271.58147029699734,301.67951638080484,303.86,198.25,199.0,180.39,176.35,174.8550317015655,181.27,177.8,dollar la T
decembre,108.28324339888022,129.11274657581836,140.28,137.47,123.47185483920077,201.14,279.1657582989179,179.43643458182848,201.41337165696925,282.3802411632825,271.0,311.69,213.14,184.5,179.54,178.52,174.44774311868102,183.0,178.1,dollar la T
