annee,delegation,viandes_rouges_tonne,viandes_blanches_tonne,lait1000l,laine_tonne,œufs_1000_unites,miel_tonne,feuille
2020,زغوان,901.5,1676.5,2939.0,53.0,13500.0,17.2,Agric15
2020,الزريبة,774.0,32.5,1721.0,39.0,,13.1,Agric15
2020,بئر مشارقة,1074.5,1020.0,7695.5,41.0,17500.0,6.8,Agric15
2020,الفحص,1510.5,243.0,7794.5,73.5,,37.0,Agric15
2020,الناظور,677.0,467.0,835.0,47.0,,4.6,Agric15
2020,صواف,622.5,492.5,725.0,39.5,6000.0,2.8,Agric15
2021,زغوان,904.5,711.5,2860.0,53.0,1200.0,15.8,Agric15
2021,الزريبة,772.0,45.0,1686.5,39.0,,11.9,Agric15
2021,بئر مشارقة,1089.5,1213.0,7505.0,41.0,14300.0,6.4,Agric15
2021,الفحص,1486.5,404.5,7588.5,74.0,,34.1,Agric15
2021,الناظور,678.5,486.0,825.0,47.0,,4.3,Agric15
2021,صواف,624.0,610.0,715.0,40.0,6000.0,2.5,Agric15
2022,زغوان,904.0,3286.0,2782.0,53.5,9500.0,14.5,Agric15
2022,الزريبة,769.0,43.5,1652.0,39.5,,10.9,Agric15
2022,بئر مشارقة,1022.0,1106.5,7306.0,41.0,18000.0,6.0,Agric15
2022,الفحص,1478.0,433.5,7389.0,74.0,,31.2,Agric15
2022,الناظور,680.5,590.0,815.5,47.0,,4.0,Agric15
2022,صواف,626.5,739.5,705.5,40.0,4500.0,2.4,Agric15
2023,زغوان,886.5,4966.5,2656.5,53.0,47400.0,10.8,Agric15
2023,الزريبة,755.0,77.0,1557.0,39.0,,7.8,Agric15
2023,بئر مشارقة,1005.0,1333.5,6966.0,41.0,7300.0,4.5,Agric15
2023,الفحص,1446.0,424.5,7030.5,73.0,,23.1,Agric15
2023,الناظور,670.5,529.5,788.0,46.5,,3.0,Agric15
2023,صواف,617.0,625.0,687.0,39.5,4300.0,1.8,Agric15
2024,زغوان,801.0,5212.5,2482.5,51.0,49810.0,14.1,Agric15
2024,الزريبة,692.0,80.8,1725.5,38.0,,10.1,Agric15
2024,بئر مشارقة,851.0,1399.5,5843.5,40.0,7671.0,5.7,Agric15
2024,الفحص,1289.0,445.5,6127.0,71.0,,29.9,Agric15
2024,الناظور,620.0,555.7,1027.5,45.0,,3.9,Agric15
2024,صواف,576.0,656.0,884.0,38.0,4519.0,2.3,Agric15
