annee,delegation,nbre_projets_declares,investissement_milles_dt_projets_declares,emploi_projets_declares,nbre_projets_approuves,investissement_milles_dt_projets_approuves,emploi_projets_approuves,nbre_projets_realises,investissement_milles_dt_projets_realises,feuille
2023,قابس المدينة,33,10.1,20.0,,,,,,Feuil1
2023,قابس الغربية,11,1.8,9.0,,,,,,Feuil1
2023,الحامة,36,10.7,24.0,,,,,,Feuil1
2023,دخيلة توجان,0,0.0,0.0,,,,,,Feuil1
2023,منزل الحبيب,37,4.5,25.0,,,,,,Feuil1
2023,مطماطة,4,0.4,2.0,,,,,,Feuil1
2023,مارث,41,1.9,32.0,,,,,,Feuil1
2023,مطماطة الجديدة,18,2.4,8.0,,,,,,Feuil1
2023,غنوش,15,1.7,10.0,,,,,,Feuil1
2023,قابس الجنوبية,23,2.8,19.0,,,,,,Feuil1
2023,المطوية,44,3.2,23.0,,,,,,Feuil1
2023,المجموع,262,39.5,172.0,,,,,,Feuil1
2024,قابس المدينة,13,39805.526,,13.0,39805.526,,13.0,39805.526,Feuil1
2024,قابس الغربية,3,31200.0,,3.0,31200.0,,3.0,31200.0,Feuil1
2024,قابس الجنوبية,22,144231.0,,22.0,144231.0,,22.0,144231.0,Feuil1
2024,غنوش,36,207743.08,,36.0,207743.08,,36.0,207743.08,Feuil1
2024,المطوية + وذرف,46,466497.353,,46.0,466497.353,,46.0,466497.353,Feuil1
2024,منزل الحبيب,52,414516.774,,52.0,414516.774,,52.0,414516.774,Feuil1
2024,الحامة +الحامة الغربية,29,232995.001,,29.0,232995.001,,29.0,232995.001,Feuil1
2024,مطماطة القديمة,19,130223.0,,19.0,130023.0,,19.0,130023.0,Feuil1
2024,مطماطة الجديدة,49,397377.722,,49.0,386177.722,,49.0,386177.722,Feuil1
2024,مارث,43,329484.487,,43.0,329484.487,,43.0,329484.487,Feuil1
2024,دخيلة توجان,43,329484.487,,43.0,329484.487,,43.0,329484.487,Feuil1
2024,المجموع,312,2394073.943,0.0,312.0,2382673.943,0.0,312.0,2382673.943,Feuil1
