annee,branche,nbre_projets_declares,investissement_milles_dt_projets_declares,nbre_projets_approuves,investissement_milles_dt_projets_approuves,nbre_projets_realises,investissement_milles_dt_projets_realises,feuille
2024,Agriculture,224.0,1663789.916,224.0,1641389.916,453.0,3192970.911,Feuil1
2024,Pêche,53.0,312752.808,53.0,312752.808,60.0,752471.368,Feuil1
2024,Aquaculture,,,,,,,Feuil1
2024,Services agricoles,35.0,429633.384,35.0,429633.384,38.0,699960.944,Feuil1
2024,1ére transformation,,,,,,,Feuil1
2024,Total,312.0,2406176.108,312.0,2383776.108,551.0,4645403.223,Feuil1
