السنة,المعتمدية,عدد_المعاصر,عدد_المعاصر_البيولوجية,مساحة_الزياتين_البيولوجية_هكتار,feuille
2020,صفاقس الجنوبية,88,1,0,Feuil1
2020,طينـــــة,4,10,0,Feuil1
2020,صفاقس المدينة,8,0,0,Feuil1
2020,صفاقس الغربية,11,2,0,Feuil1
2020,ساقية الدائر,42,1,0,Feuil1
2020,ساقية الزيت,46,1,0,Feuil1
2020,منزل شاكر,19,2,1763,Feuil1
2020,الحنشة,13,0,0,Feuil1
2020,جبنيانة,36,0,0,Feuil1
2020,العامرة,12,1,90,Feuil1
2020,عقارب,13,13,17360,Feuil1
2020,المحرس,28,1,1011,Feuil1
2020,الغريبة,10,6,5244,Feuil1
2020,الصخيرة,3,0,0,Feuil1
2020,بئر علي,12,2,9134,Feuil1
2020,قرقنة,1,0,0,Feuil1
2021,صفاقس الجنوبية,90,1,0,Feuil1
2021,طينـــــة,4,10,5,Feuil1
2021,صفاقس المدينة,8,0,0,Feuil1
2021,صفاقس الغربية,11,2,0,Feuil1
2021,ساقية الدائر,42,2,240,Feuil1
2021,ساقية الزيت,46,1,0,Feuil1
2021,منزل شاكر,19,2,2329,Feuil1
2021,الحنشة,13,2,660,Feuil1
2021,جبنيانة,36,0,0,Feuil1
2021,العامرة,12,2,3421,Feuil1
2021,عقارب,13,14,19274,Feuil1
2021,المحرس,28,1,2335,Feuil1
2021,الغريبة,10,7,3329,Feuil1
2021,الصخيرة,3,1,1797,Feuil1
2021,بئر علي,12,2,9398,Feuil1
2021,قرقنة,1,0,0,Feuil1
2022,صفاقس الجنوبية,90,1,0,Feuil1
2022,طينـــــة,4,10,5,Feuil1
2022,صفاقس المدينة,8,0,0,Feuil1
2022,صفاقس الغربية,11,2,0,Feuil1
2022,ساقية الدائر,42,2,240,Feuil1
2022,ساقية الزيت,46,1,0,Feuil1
2022,منزل شاكر,19,2,2022,Feuil1
2022,الحنشة,13,2,660,Feuil1
2022,جبنيانة,36,0,0,Feuil1
2022,العامرة,12,2,3910,Feuil1
2022,عقارب,13,12,19887,Feuil1
2022,المحرس,28,1,2335,Feuil1
2022,الغريبة,10,7,3829,Feuil1
2022,الصخيرة,3,1,1624,Feuil1
2022,بئر علي,12,2,9398,Feuil1
2022,قرقنة,1,0,0,Feuil1
2023,صفاقس الجنوبية,90,1,0,Feuil1
2023,طينـــــة,4,9,5,Feuil1
2023,صفاقس المدينة,8,0,0,Feuil1
2023,صفاقس الغربية,11,2,0,Feuil1
2023,ساقية الدائر,42,2,30,Feuil1
2023,ساقية الزيت,46,1,0,Feuil1
2023,منزل شاكر,19,1,2050,Feuil1
2023,الحنشة,13,2,350,Feuil1
2023,جبنيانة,36,0,0,Feuil1
2023,العامرة,12,2,2904,Feuil1
2023,عقارب,13,11,21954,Feuil1
2023,المحرس,28,1,1522,Feuil1
2023,الغريبة,10,7,5080,Feuil1
2023,الصخيرة,3,1,1406,Feuil1
2023,بئر علي,12,1,9519,Feuil1
2023,قرقنة,1,0,0,Feuil1
