unnamed_0,الولاية,المعتمدية,اسم_الضيعة,اسم_الشركة,المساحة_الجملية_هك,feuille
1.0,تونس,سيدي حسين,برج شاكير,"برج شاكير D,B,C",468.551,Liste 2023
2.0,تونس,سيدي حسين,العطار,العطار,299.5391,Liste 2023
3.0,أريانة,سيدي ثابت,اقريتاك,شركة فنارك 2 اقريتاك,84.25,Liste 2023
4.0,أريانة,سيدي ثابت,الجلولي للتنمية الفلاحية,الجلولي للتنمية الفلاحية,34.67,Liste 2023
5.0,بن عروس,مرناق,سيدى سعد,صاديرا,308.0429,Liste 2023
6.0,بن عروس,مرناق,الرسالة,الرسالة,882.7375,Liste 2023
7.0,بن عروس,مرناق,أوزرة,آجنة أوزرة,120.85,Liste 2023
8.0,بن عروس,مرناق,سيدي سعد + خليدية,الحميدية,113.5997,Liste 2023
9.0,بن عروس,مرناق,اوزرة 3,اقريفلاور,226.83,Liste 2023
10.0,بن عروس,مرناق,أوز رة 1,أوز رة 1,143.0,Liste 2023
11.0,سوسة,النفيضة,المعوج,AGRIPROD,168.0,Liste 2023
12.0,منوبة,البطان,برج التومي 3,بساتين برج التومي,622.3558,Liste 2023
13.0,منوبة,البطان,برج التومي 2,حدائق مجردة,297.076,Liste 2023
14.0,منوبة,طبربة,الشويقي,الشويقي,645.4753,Liste 2023
15.0,منوبة,طبربة,السعـــادة (طبربة 1),السعـــادة,251.9037,Liste 2023
16.0,منوبة,طبربة,سنابل اتقان -- طبرية 2,سنابل اتقان -- طبرية 2,172.0,Liste 2023
17.0,منوبة,طبربة,الملاحة,الجبالي,348.3253,Liste 2023
18.0,منوبة,وادي الليل,زينة,زينة,163.2249,Liste 2023
19.0,منوبة,وادي الليل,ضيعة بجاوة 2,ضيعة بجاوة,220.2046,Liste 2023
20.0,منوبة,المرناقية,الحفصية,الحفصية,514.8028,Liste 2023
21.0,منوبة,المرناقية,الدريجات,الدريجات,411.8495,Liste 2023
22.0,منوبة,المرناقية,برج النور 1,برج النور 1,712.2866,Liste 2023
23.0,منوبة,المرناقية,الخنقات,كنزة,537.0,Liste 2023
24.0,منوبة,المرناقية,برج النور 2,برج النور 2,717.3846,Liste 2023
25.0,منوبة,المهرين,فيترو بلان تونيزيا,فيترو بلان تونيزيا,58.0,Liste 2023
26.0,نابل,بني خلاد,الحدائق,الحدائق,189.2929,Liste 2023
27.0,نابل,بني خلاد,المنزا,المنزا,37.052,Liste 2023
28.0,نابل,بني خلاد,سيدي التومي,القوارص,135.3109,Liste 2023
29.0,نابل,بني خلاد,الكرامة 1,ماقون,252.2628,Liste 2023
30.0,نابل,بني خلاد,الكرامة 2,البستان,84.4359,Liste 2023
31.0,نابل,بني خلاد,فدان الجمل,اليسر,13.3265,Liste 2023
32.0,نابل,بني خلاد,الإنطلاقة 7,جنان سيدي علية,89.842,Liste 2023
33.0,نابل,بني خلاد,التقدم 3,التونسية للفلاحة,122.509,Liste 2023
34.0,نابل,بني خلاد,الإقتصاد 1,رويال أزور,290.3073,Liste 2023
35.0,نابل,بني خلاد,التقدم 2,الزيتونة الذهبية,112.5005,Liste 2023
36.0,نابل,بني خلاد,الإقتصاد2,الإخوة الجرادي,335.3362,Liste 2023
37.0,نابل,بني خلاد,البستان 2,إلهام للفلاحة,44.2875,Liste 2023
38.0,نابل,بني خلاد,ضيعة السعادة المنزا,غاية (مصادرة),56.85,Liste 2023
39.0,نابل,بني خلاد,القبة,القبة - بيورنج,14.9171,Liste 2023
40.0,نابل,قرمبالية,نوال النور,جنان اقرو,57.0775,Liste 2023
41.0,نابل,قرمبالية,ضيعة سماش,بساتين قرمبالية,72.1338,Liste 2023
42.0,نابل,قرمبالية,الشهامة,الكاتبية,205.9993,Liste 2023
43.0,نابل,قرمبالية,الرشاد,الرشاد,264.0023,Liste 2023
44.0,نابل,قرمبالية,مورانة 2,رياض مرانة,116.542,Liste 2023
45.0,نابل,قرمبالية,العمران الشرقية 1,شيراز فلاي,139.6081,Liste 2023
46.0,نابل,قرمبالية,العمران 2,الكرمة,171.036,Liste 2023
47.0,نابل,قرمبالية,سيدي سلامة,نيفيريس,458.4407,Liste 2023
48.0,نابل,بوعرقوب,الهلال 1,الهلال 1,88.5643,Liste 2023
49.0,نابل,بوعرقوب,الهلال 2,الهلال 2 (سيتروماد),108.254,Liste 2023
50.0,نابل,بوعرقوب,شاكر,شاكر,354.1331,Liste 2023
51.0,نابل,بوعرقوب,العمل,العمل,293.599,Liste 2023
52.0,نابل,بوعرقوب,الوحدة 1,الراجحي الفرجاني,456.0,Liste 2023
53.0,نابل,منزل بوزلفة,الكلبوسي 1,الأمل,101.9311,Liste 2023
54.0,نابل,منزل بوزلفة,الكلبوسي 2,الكلبوسي 2,26.2964,Liste 2023
55.0,نابل,سليمان,أوباك,سيتروس,91.0775,Liste 2023
56.0,نابل,منزل تميم,الملاعبي,الرقي,176.0,Liste 2023
57.0,نابل,قليبيا,فرحات حشاد,كليبيا,150.1051,Liste 2023
58.0,نابل,الميدة,الرقي,ستيفان,224.1809,Liste 2023
59.0,نابل,بني خيار,12ماي,ضيعة السندي 1,106.0,Liste 2023
60.0,نابل,قربة,هنشير عياد,هنشير عياد,164.0,Liste 2023
61.0,بنزرت,العالية,رستيا,سانلوكار فلوراليا,119.3792,Liste 2023
62.0,بنزرت,غزالة,ماطر جالطة 2,سيدي سالم غزالة,614.3228,Liste 2023
63.0,بنزرت,بنزرت الجنوبيّة,عميلة,شركة ضيعات الشّمال ببنزرت,666.6618,Liste 2023
64.0,بنزرت,أوتيك,لزدين,خليل,210.7506,Liste 2023
65.0,بنزرت,ماطر,قصة الباي 1,الحبيب,518.0,Liste 2023
66.0,بنزرت,ماطر,السودان,السّودان,313.29,Liste 2023
67.0,بنزرت,ماطر,سيدي مبارك و جزء من المحروق-ماطر جالطة 3,الشّرقي,696.5049,Liste 2023
68.0,بنزرت,سجنان,السريّة,السريّة,122.843,Liste 2023
69.0,بنزرت,سجنان,عوانة,FOODOBY,360.3262,Liste 2023
70.0,بنزرت,ماطر,نفّات,نفّات,416.4645,Liste 2023
71.0,بنزرت,ماطر,المحروق-ماطر جالطة 4,SODAMA,834.5,Liste 2023
72.0,بنزرت,ماطر,برج طالب,شركة ماطر الفلاحيّة سام,440.0,Liste 2023
73.0,بنزرت,ماطر,برج السبعي,HMD  AGRO SA,416.0,Liste 2023
74.0,جندوبة,بوسالم,المرجى,SMADEA,4070.5497,Liste 2023
75.0,جندوبة,بلطة بوعوان,الهادي خليل,SEDAN,976.6855,Liste 2023
76.0,جندوبة,بوسالم,زاما,زاما,679.5732,Liste 2023
77.0,جندوبة,بوسالم,بوزيد,سوماقري,500.952,Liste 2023
78.0,جندوبة,بلطة بوعوان,الروماني,شركة  الروماني1,450.2851,Liste 2023
79.0,جندوبة,جندوبة الشمالية,الإرتياح,شركة  الارتياح 2,475.5886,Liste 2023
80.0,جندوبة,جندوبة الشمالية,النمو,شركة  النمو,519.9299,Liste 2023
81.0,الكاف,السرس,لربص المبروكة,المبروكة,902.637,Liste 2023
82.0,الكاف,السرس,الفتح,الفتح,1149.9723,Liste 2023
83.0,الكاف,الكاف الشرقية,الزعفرانة,الزعفرانة,414.9642,Liste 2023
84.0,الكاف,الدهماني,بن عرعار,الامين,563.0,Liste 2023
85.0,الكاف,الدهماني,بالقرون,SODAS,414.0,Liste 2023
86.0,الكاف,تاجروين,النجاة,النجاة,417.7976,Liste 2023
87.0,الكاف,ساقية سيدي يوسف,عين الكرمة 3,مزايا الشمال,470.82,Liste 2023
88.0,باجة,تستور,الرحيات,الرحيات,439.9955,Liste 2023
89.0,باجة,تستور,الغنيمة الاندلس,الغنيمة الاندلس,913.3224,Liste 2023
90.0,باجة,تستور,الروضة,الروضة,1066.948,Liste 2023
91.0,باجة,تستور,وادي الزيتون,وادي الزيتون  2,324.812,Liste 2023
92.0,باجة,تستور,الروزورة,الزرزورة,277.9691,Liste 2023
93.0,باجة,تستور,الخيمة وبرج العيون,القرواشي الخيمة برج وبرج العيون,1484.0,Liste 2023
94.0,باجة,مجاز الباب,بورجال,الازدهار,256.0587,Liste 2023
95.0,باجة,مجاز الباب,القريعات1,السنبلة,925.7634,Liste 2023
96.0,باجة,مجاز الباب,القريعات2,الخيرات,784.4806,Liste 2023
97.0,باجة,مجاز الباب,القريعات3,القريعات 3,1138.9424,Liste 2023
98.0,باجة,مجاز الباب,باش حامبه,باش حامبه,579.909,Liste 2023
99.0,باجة,مجاز الباب,التطور1,التطور 1,80.5256,Liste 2023
