annee,delegation,nappe,salinite_en_g_l,les_ressources_en_mm3,exploitation_en_mm3,puits_equipes,puits_non_equipes,feuille
2024,Nefza        نفزة,وشتاتة -الزوارع     Ouchteta-Zwarea,"1-0,5",5.6,1.22,122.0,165.0,Feuil1
2024,باقي المعتمدية    Reste de la délégation,,,,0.31,31.0,321.0,Feuil1
2024,عمدون                              Amdoun,,2-1,0.92,0.11,11.0,99.0,Feuil1
2024,باجة الشمالية,,3-1,,0.4,40.0,79.0,Feuil1
2024,باقي المعتمدية     reste de la délégation,,,,1.67,167.0,16.0,Feuil1
2024,باجة الجنوبية                               Béja sud,سيدي إسماعيل -تيبار,3-1,6.5,,,,Feuil1
2024,تيبار                                         Thibar,Sidi Smail-Thibar,,,1.14,114.0,95.0,Feuil1
2024,تبرسق                             Téboursouk,تبرسق                 Téboursouk,4-1,1.0,0.55,116.0,194.0,Feuil1
2024,,حوض وادي مجردة,,9.0,,,,Feuil1
2024,تستور                                     Testour,,6-1,,3.18,318.0,335.0,Feuil1
2024,مجاز الباب                                  Medjez,Bassin oued Mejerda,,,,,,Feuil1
2024,بقية المعتمدية,,4-1,,0.84,84.0,157.0,Feuil1
2024,قبلاط                                  Goubellat,قبلاط                   Goubellat,,1.3,1.17,123.0,148.0,Feuil1
2024,كامل الولاية                Gouvernorat,,,24.32,10.59,1126.0,1609.0,Feuil1
