annee,delegation_fr,delegation_ar,cellules_de_vulgarisation_agricole,centres_de_rayonnement_agricole,feuille
2021,Tozeur,تــوزر,1,8,Feuil1
2021,Dgueche,دقــاش,1,3,Feuil1
2021,Tamaghza,تمغـزة,1,4,Feuil1
2021,Nefta,نفطــة,1,6,Feuil1
2021,Hazoua,حـزوة,1,3,Feuil1
2021,Hammet El Djérid,حامة الجريد,1,3,Feuil1
2021,Total,المجموع,6,27,Feuil1
2022,Tozeur,تــوزر,1,8,Feuil1
2022,Dgueche,دقــاش,1,3,Feuil1
2022,Tamaghza,تمغـزة,1,4,Feuil1
2022,Nefta,نفطــة,1,6,Feuil1
2022,Hazoua,حـزوة,1,3,Feuil1
2022,Hammet El Djérid,حامة الجريد,1,3,Feuil1
2022,Total,المجموع,6,27,Feuil1
2023,Tozeur,تــوزر,1,8,Feuil1
2023,Dgueche,دقــاش,1,3,Feuil1
2023,Tamaghza,تمغـزة,1,4,Feuil1
2023,Nefta,نفطــة,1,6,Feuil1
2023,Hazoua,حـزوة,1,3,Feuil1
2023,Hammet El Djérid,حامة الجريد,1,3,Feuil1
2023,Total,المجموع,6,27,Feuil1
