direction_regionale,nombre_des_adherents_en_2020,feuille
Beja,70,Feuil1
Jendouba,42,Feuil1
Bizerte,47,Feuil1
Kef,27,Feuil1
Siliana,0,Feuil1
Total,186,Feuil1
