nom_centre_ar,adresse_ar,telephone,capacite_de_stockage_quintaux,feuille
"الشركة التعاونية ""الإخلاص""",القلعة الكبرى,50748936 / 95584666,5000,مراكز التجميع
"الشركة التعاونية ""الخوالدية""",النفيضة,99788097,5000,مراكز التجميع
"الشركة التعاونية ""النعيم""",بوفيشة,98350020,5000,مراكز التجميع
