port,janvier,fevrier,mars,avril,mai,juin,juillet,aout,septembre,octobre,novembre,decembre,feuille
صفاقس,32837.0,33009,41347,13112,0,0,0,0,0,0,0,1588,ص المحار
المحرس,115609.0,27093,39599,39649,4065,0,0,0,0,0,0,0,ص المحار
الصخيرة,4655.0,13123,34500,1766,0,0,0,0,0,0,1801,0,ص المحار
زبوسة,55618.0,8756,31280,51659,18398,0,0,0,0,0,37917,65229,ص المحار
قـابــس,0.0,0,0,0,0,0,0,0,0,0,0,0,ص المحار
الزرات,3140.0,3200,8020,4565,4910,0,0,0,0,0,0,0,ص المحار
جرجيس,0.0,0,0,0,0,0,0,0,0,0,0,0,ص المحار
أجيم,0.0,0,1610,900,3210,0,0,0,0,0,0,5720,ص المحار
بوغرارة,0.0,0,0,0,0,0,0,0,0,0,0,0,ص المحار
القرين,,900,1600,20645,3500,0,0,0,0,0,0,0,ص المحار
