categorie_grade,nombre,feuille
مهندس عام,5,Feuil1
مهندس رئيس,13,Feuil1
مهندس أوّل,35,Feuil1
مهندس أشغال,3,Feuil1
طبيب بيطري متفقد عام,1,Feuil1
طبيب بيطري متفقد مركزي,1,Feuil1
طبيب بيطري صحي أوّل,5,Feuil1
طبيب بيطري متفقد جهوي,4,Feuil1
طبيب بيطري صحّي,3,Feuil1
تقني رئيس,34,Feuil1
تقني أول,14,Feuil1
تقني,29,Feuil1
مساعد تقني,10,Feuil1
عون تقني,11,Feuil1
متصرّف رئيس,1,Feuil1
متصرّف رئيس في الوثائق والأرشيف,1,Feuil1
متصرف مستشار,3,Feuil1
متصرف,11,Feuil1
ملحق إدارة,5,Feuil1
متصرّف مساعد في الوثائق و الأرشيف,1,Feuil1
كاتب تصرف,5,Feuil1
كاتب راقن,3,Feuil1
عون استقبال,2,Feuil1
محلّل رئيس,1,Feuil1
واضع برامج,1,Feuil1
تقني مخبر اعلامية,1,Feuil1
عملة متعاقدون,70,Feuil1
الوحدة ألأولى,22,Feuil1
الوحدة الثانية,158,Feuil1
الوحدة الثالثة,41,Feuil1
