annee,designation,consommation_eau_potable_secteur_touristique_litre_par_jour,feuille
2002,interieur_tunisie_par_lit_occupé,542.909309388495,Feuil1
2002,grand_tunis_par_lit_occupé,869.7444207048055,Feuil1
2002,ensemble_tunisie_par_lit_occupé,566.289456362877,Feuil1
2002,interieur_tunisie_par_lit_exploité,245.0,Feuil1
2002,ensemble_tunisie_par_lit_exploité,249.0,Feuil1
2003,interieur_tunisie_par_lit_occupé,535.4831341913491,Feuil1
2003,grand_tunis_par_lit_occupé,944.4890127988906,Feuil1
2003,ensemble_tunisie_par_lit_occupé,564.4073039468763,Feuil1
2003,interieur_tunisie_par_lit_exploité,230.0,Feuil1
2003,ensemble_tunisie_par_lit_exploité,237.0,Feuil1
2004,interieur_tunisie_par_lit_occupé,496.0394733603216,Feuil1
2004,grand_tunis_par_lit_occupé,870.564374376367,Feuil1
2004,ensemble_tunisie_par_lit_occupé,519.9959695613954,Feuil1
2004,interieur_tunisie_par_lit_exploité,248.0,Feuil1
2004,ensemble_tunisie_par_lit_exploité,253.0,Feuil1
2005,interieur_tunisie_par_lit_occupé,467.69738580782257,Feuil1
2005,grand_tunis_par_lit_occupé,740.2124676734426,Feuil1
2005,ensemble_tunisie_par_lit_occupé,485.6086647173993,Feuil1
2005,interieur_tunisie_par_lit_exploité,249.0,Feuil1
2005,ensemble_tunisie_par_lit_exploité,250.0,Feuil1
2006,interieur_tunisie_par_lit_occupé,482.4518126999957,Feuil1
2006,grand_tunis_par_lit_occupé,860.545122789838,Feuil1
2006,ensemble_tunisie_par_lit_occupé,505.8780639120113,Feuil1
2006,interieur_tunisie_par_lit_exploité,257.0,Feuil1
2006,ensemble_tunisie_par_lit_exploité,260.0,Feuil1
2007,interieur_tunisie_par_lit_occupé,475.85974910013886,Feuil1
2007,grand_tunis_par_lit_occupé,747.0495576280881,Feuil1
2007,ensemble_tunisie_par_lit_occupé,492.6020701495332,Feuil1
2007,interieur_tunisie_par_lit_exploité,253.0,Feuil1
2007,ensemble_tunisie_par_lit_exploité,255.0,Feuil1
2008,interieur_tunisie_par_lit_occupé,467.0781502206772,Feuil1
2008,grand_tunis_par_lit_occupé,676.2558749362211,Feuil1
2008,ensemble_tunisie_par_lit_occupé,480.7986938924219,Feuil1
2008,interieur_tunisie_par_lit_exploité,252.0,Feuil1
2008,ensemble_tunisie_par_lit_exploité,253.0,Feuil1
2009,interieur_tunisie_par_lit_occupé,488.73763650573824,Feuil1
2009,grand_tunis_par_lit_occupé,745.0543909121228,Feuil1
2009,ensemble_tunisie_par_lit_occupé,504.7454208668073,Feuil1
