annee,effectif_population_communal,effectif_population_non_communal,population_communal_desservie_par_sonede,population_non_communal_desservie_par_sonede,population_non_communal_desservie_par_genie_rurale,feuille
2000,6108.989,3441.3366666666666,6108.989,1380.4595455782396,1359.196908835534,Feuil1
2001,6234.191,3449.357,6234.191,1436.5950486610839,1388.902,Feuil1
2002,6318.246,3461.5589999999997,6318.246,1487.947359027061,1426.609,Feuil1
2003,6406.65,3473.686,6406.65,1518.905656298085,1458.824,Feuil1
2004,6493.942999999999,3486.931,6493.942999999999,1549.610145730755,1499.1960000000001,Feuil1
2005,6585.629,3491.58,6585.629,1581.3464463474454,1521.1326236092893,Feuil1
2006,6666.657000000001,3508.641,6666.657000000001,1609.7985805538328,1558.7869394315762,Feuil1
2007,6749.204438125656,3525.636561874344,6749.204438125656,1647.7198018617632,1598.5105429821162,Feuil1
2008,6834.838822422966,3544.68636858704,6834.838822422966,1691.6656285263455,1584.5614696260782,Feuil1
2009,6923.864107664139,3565.253617530677,6923.864107664139,1723.3630054465668,1592.524490324272,Feuil1
2010,7018.184411060765,3588.5295889392355,7018.184411060765,1758.1851320705528,1597.6384437872637,Feuil1
2011,7107.777677329909,3610.11532267009,7107.777677329909,1783.5111145829046,1601.9071528679108,Feuil1
2012,7281.392828852606,3476.8716097018,7281.392828852606,1751.5205479927397,1500.9250461194404,Feuil1
2013,7393.781782057793,3521.9774914546415,7393.781782057794,1773.9999475465888,1473.4492923827097,Feuil1
2014,7516.2276549707,3575.543043659437,7516.2276549707,1820.3254846973823,1474.6737042041366,Feuil1
2015,7618.327204757732,3615.234493872406,7618.327204757732,1852.5059511142867,1494.5538465336772,Feuil1
2016,7720.475560725592,3654.928137904545,7720.475560725592,1886.8401879525202,1509.8957074310063,Feuil1
2017,7822.285521592894,3672.29852110371,7822.285521592894,1912.5872113938826,1523.621895614525,Feuil1
2018,7920.200861563899,3688.1102613472267,7920.200861563899,1941.9087476997256,1529.1861099666464,Feuil1
2019,7979.216003199666,3709.2830923600736,7979.216003199666,1964.6879365002906,1539.5121375041908,Feuil1
2020,8029.958372283699,3733.8989921665284,8029.9583722837,1994.1184090118454,1543.7020399278747,Feuil1
2021,8058.717410929883,3744.8705808204963,8058.717410929881,2009.789591116525,1547.7838449337648,Feuil1
2022,8092.529797192272,3757.701968256805,8092.529797192272,2032.726744711656,1545.8720987071074,Feuil1
2023,8129.013964836868,3774.809443923169,8129.013964836866,2059.6622672138456,1537.6806742665412,Feuil1
