annee,viandes_poulet_chair_tonne,œufs_consommation_œuf,miel_tonne,lait_tonne,viandes_rouges_tonne,feuille
2020,3500,55.000.000,50,17000,2630,Feuil1
2021,3500,55.000.000,50,17000,2700,Feuil1
2022,4562,64.000.000,30,16000,2610,Feuil1
