annee,nom_de_la_nappe,profondeur_m,salinite_g_l,ressources_disponibles_million_m3,ressources_exploitees_million_m3,taux_dexploitation,nombre_de_puits,feuille
2023,قفصة الشمالية,من 3 إلى 100,"من 0,5 إلى 4",33.1,96.205,2.9064954682779454,1613.0,Feuil1
2023,الميوسان ام العرائس- الرديف,من 30 إلى 150,من 1 إلى 8,17.8,13.68,0.7685393258426966,65.0,Feuil1
2023,المركب النهائي للقويفلة,من 2 إلى 47,من 3 إلى 9,9.0,3.06,0.34,11.0,Feuil1
2023,البليورباعي أم العرائس- الرديف,من 3 إلى 50,"من 1,5 إلى 3",7.3,8.4,1.1506849315068495,40.0,Feuil1
2023,قفصة الجنوبية 1,من 20 إلى 70,من 2 إلى 5,6.5,4.69,0.7215384615384616,55.0,Feuil1
2023,شط الغرسة الشمالية,من 20 إلى 120,"من 3,5 إلى 5",6.3,8.1,1.2857142857142856,32.0,Feuil1
2023,القطار,من 20 إلى 145,"من 1,3 إلى 4",3.5,9.33,2.665714285714286,23.0,Feuil1
2023,سيدي أحمد زروق,من 10 إلى 20,من 9 إلى 20,2.1,0.15,0.07142857142857142,3.0,Feuil1
2023,جبل بلخير,من 60 إلى 130,من 2 إلى 4,1.6,3.42,2.1374999999999997,4.0,Feuil1
2023,الزباق الأعلى سبخة النوايل,,من 1 إلى 4,1.6,0.48,0.3,1.0,Feuil1
2023,المكناسي Z1,من 110 إلى 140,"من 1 إلى 4,5",1.5,0.79,0.5266666666666667,13.0,Feuil1
2023,الميوسان سبخة النوايل,من 18 إلى 60,من 2 إلى 3,1.3,0.19,0.14615384615384616,3.0,Feuil1
2023,سيدي عيش 2,من 6 إلى 40,"من 0,5 إلى 2",1.0,0.922,0.922,3.0,Feuil1
2023,المكناسي 2,من 50 إلى 80,"من 0,4 إلى 1,5",1.0,2.3,2.3,18.0,Feuil1
2023,سيدي بوضياف,من 18 إلى 35,"من 2,0 إلى 4",1.0,0.08,0.08,3.0,Feuil1
2023,قفصة الجنوبية 2,من 102 إلى 110,3.5,0.3,0.34,1.1333333333333335,4.0,Feuil1
2023,إيوسان بوعمران-بوسعد,من 79 إلى 120,2.5,0.2,0.04,0.19999999999999998,2.0,Feuil1
2023,المجموع,,,95.09999999999998,152.177,1.6001787592008414,,Feuil1
2024,قفصة الشمالية,من 3 إلى 100,"من 0,5 إلى 4",33.1,81.6,2.4652567975830815,1613.0,Feuil1
2024,الميوسان ام العرائس- الرديف,من 30 إلى 150,من 1 إلى 8,17.8,17.85,1.002808988764045,65.0,Feuil1
2024,المركب النهائي للقويفلة,من 2 إلى 47,من 3 إلى 9,9.0,0.56,0.06222222222222223,11.0,Feuil1
2024,البليورباعي أم العرائس- الرديف,من 3 إلى 50,"من 1,5 إلى 3",7.3,8.33,1.141095890410959,40.0,Feuil1
2024,قفصة الجنوبية 1,من 20 إلى 70,من 2 إلى 5,6.5,6.76,1.04,55.0,Feuil1
2024,شط الغرسة الشمالية,من 20 إلى 120,"من 3,5 إلى 5",6.3,8.63,1.36984126984127,32.0,Feuil1
2024,القطار,من 20 إلى 145,"من 1,3 إلى 4",3.5,12.85,3.6714285714285713,23.0,Feuil1
2024,سيدي أحمد زروق,من 10 إلى 20,من 9 إلى 20,2.1,1.36,0.6476190476190476,3.0,Feuil1
2024,جبل بلخير,من 60 إلى 130,من 2 إلى 4,1.6,1.8,1.125,4.0,Feuil1
2024,الزباق الأعلى سبخة النوايل,,من 1 إلى 4,1.6,1.01,0.63125,1.0,Feuil1
2024,المكناسي Z1,من 110 إلى 140,"من 1 إلى 4,5",1.5,1.46,0.9733333333333333,13.0,Feuil1
2024,الميوسان سبخة النوايل,من 18 إلى 60,من 2 إلى 3,1.3,0.89,0.6846153846153846,3.0,Feuil1
2024,سيدي عيش 2,من 6 إلى 40,"من 0,5 إلى 2",1.0,0.86,0.86,3.0,Feuil1
2024,المكناسي 2,من 50 إلى 80,"من 0,4 إلى 1,5",1.0,2.43,2.43,18.0,Feuil1
2024,سيدي بوضياف,من 18 إلى 35,"من 2,0 إلى 4",1.0,0.12,0.12,3.0,Feuil1
2024,قفصة الجنوبية 2,من 102 إلى 110,3.5,0.3,0.4,1.3333333333333335,4.0,Feuil1
2024,إيوسان بوعمران-بوسعد,من 79 إلى 120,2.5,0.2,0.14,0.7000000000000001,2.0,Feuil1
2024,المجموع,,,95.09999999999998,147.05,1.5462670872765514,,Feuil1
