name,delegation,quantite_mensuelle_tonne,longitude,lattitude,feuille
Societe Tarek Elchouati,Kalaat Andalous,50,10.0741,37.0167,Feuil1
Societe Salim,Sidi thabet,125,10.0267,36.8929,Feuil1
Societe Sog Fab,Kalaat Andalous,125,10.1232,37.059,Feuil1
