delegation,mois,cumul_mm,feuille
monastir,sept_17,25.0,pluviométrie_monastir_2017_2018
ouardanine,sept_17,29.0,pluviométrie_monastir_2017_2018
jemmel,sept_17,24.0,pluviométrie_monastir_2017_2018
zermedine,sept_17,2.5,pluviométrie_monastir_2017_2018
ksibet_medyouni,sept_17,5.5,pluviométrie_monastir_2017_2018
sayada,sept_17,5.0,pluviométrie_monastir_2017_2018
ksar_helal,sept_17,3.0,pluviométrie_monastir_2017_2018
moknine,sept_17,3.0,pluviométrie_monastir_2017_2018
teboulba,sept_17,0.0,pluviométrie_monastir_2017_2018
bekalta,sept_17,0.0,pluviométrie_monastir_2017_2018
sahline,sept_17,4.0,pluviométrie_monastir_2017_2018
bembla,sept_17,14.0,pluviométrie_monastir_2017_2018
beni_hassen,sept_17,1.0,pluviométrie_monastir_2017_2018
monastir,oct_17,108.5,pluviométrie_monastir_2017_2018
ouardanine,oct_17,197.0,pluviométrie_monastir_2017_2018
jemmel,oct_17,116.0,pluviométrie_monastir_2017_2018
zermedine,oct_17,64.5,pluviométrie_monastir_2017_2018
ksibet_medyouni,oct_17,46.5,pluviométrie_monastir_2017_2018
sayada,oct_17,45.0,pluviométrie_monastir_2017_2018
ksar_helal,oct_17,45.0,pluviométrie_monastir_2017_2018
moknine,oct_17,65.0,pluviométrie_monastir_2017_2018
teboulba,oct_17,171.0,pluviométrie_monastir_2017_2018
bekalta,oct_17,82.0,pluviométrie_monastir_2017_2018
sahline,oct_17,93.0,pluviométrie_monastir_2017_2018
bembla,oct_17,109.0,pluviométrie_monastir_2017_2018
beni_hassen,oct_17,62.5,pluviométrie_monastir_2017_2018
monastir,nov_17,123.5,pluviométrie_monastir_2017_2018
ouardanine,nov_17,221.0,pluviométrie_monastir_2017_2018
jemmel,nov_17,128.0,pluviométrie_monastir_2017_2018
zermedine,nov_17,75.5,pluviométrie_monastir_2017_2018
ksibet_medyouni,nov_17,53.5,pluviométrie_monastir_2017_2018
sayada,nov_17,55.0,pluviométrie_monastir_2017_2018
ksar_helal,nov_17,55.0,pluviométrie_monastir_2017_2018
moknine,nov_17,75.0,pluviométrie_monastir_2017_2018
teboulba,nov_17,187.0,pluviométrie_monastir_2017_2018
bekalta,nov_17,90.0,pluviométrie_monastir_2017_2018
sahline,nov_17,118.0,pluviométrie_monastir_2017_2018
bembla,nov_17,120.0,pluviométrie_monastir_2017_2018
beni_hassen,nov_17,72.5,pluviométrie_monastir_2017_2018
monastir,dec_17,137.5,pluviométrie_monastir_2017_2018
ouardanine,dec_17,238.0,pluviométrie_monastir_2017_2018
jemmel,dec_17,146.0,pluviométrie_monastir_2017_2018
zermedine,dec_17,87.5,pluviométrie_monastir_2017_2018
ksibet_medyouni,dec_17,68.5,pluviométrie_monastir_2017_2018
sayada,dec_17,81.0,pluviométrie_monastir_2017_2018
ksar_helal,dec_17,84.0,pluviométrie_monastir_2017_2018
moknine,dec_17,102.0,pluviométrie_monastir_2017_2018
teboulba,dec_17,227.0,pluviométrie_monastir_2017_2018
bekalta,dec_17,108.0,pluviométrie_monastir_2017_2018
sahline,dec_17,128.0,pluviométrie_monastir_2017_2018
bembla,dec_17,136.0,pluviométrie_monastir_2017_2018
beni_hassen,dec_17,93.5,pluviométrie_monastir_2017_2018
monastir,jan_18,140.5,pluviométrie_monastir_2017_2018
ouardanine,jan_18,244.0,pluviométrie_monastir_2017_2018
jemmel,jan_18,152.0,pluviométrie_monastir_2017_2018
zermedine,jan_18,92.5,pluviométrie_monastir_2017_2018
ksibet_medyouni,jan_18,72.5,pluviométrie_monastir_2017_2018
sayada,jan_18,86.0,pluviométrie_monastir_2017_2018
ksar_helal,jan_18,89.0,pluviométrie_monastir_2017_2018
moknine,jan_18,105.0,pluviométrie_monastir_2017_2018
teboulba,jan_18,235.0,pluviométrie_monastir_2017_2018
bekalta,jan_18,110.0,pluviométrie_monastir_2017_2018
sahline,jan_18,133.0,pluviométrie_monastir_2017_2018
bembla,jan_18,141.0,pluviométrie_monastir_2017_2018
beni_hassen,jan_18,97.5,pluviométrie_monastir_2017_2018
monastir,fev_18,180.5,pluviométrie_monastir_2017_2018
ouardanine,fev_18,276.0,pluviométrie_monastir_2017_2018
jemmel,fev_18,195.0,pluviométrie_monastir_2017_2018
zermedine,fev_18,133.5,pluviométrie_monastir_2017_2018
ksibet_medyouni,fev_18,100.5,pluviométrie_monastir_2017_2018
sayada,fev_18,136.0,pluviométrie_monastir_2017_2018
ksar_helal,fev_18,132.0,pluviométrie_monastir_2017_2018
moknine,fev_18,145.0,pluviométrie_monastir_2017_2018
teboulba,fev_18,284.0,pluviométrie_monastir_2017_2018
bekalta,fev_18,143.0,pluviométrie_monastir_2017_2018
sahline,fev_18,174.0,pluviométrie_monastir_2017_2018
bembla,fev_18,181.0,pluviométrie_monastir_2017_2018
beni_hassen,fev_18,146.5,pluviométrie_monastir_2017_2018
monastir,mars_18,203.5,pluviométrie_monastir_2017_2018
ouardanine,mars_18,304.0,pluviométrie_monastir_2017_2018
jemmel,mars_18,226.0,pluviométrie_monastir_2017_2018
zermedine,mars_18,168.5,pluviométrie_monastir_2017_2018
ksibet_medyouni,mars_18,126.5,pluviométrie_monastir_2017_2018
sayada,mars_18,171.0,pluviométrie_monastir_2017_2018
ksar_helal,mars_18,161.0,pluviométrie_monastir_2017_2018
moknine,mars_18,174.0,pluviométrie_monastir_2017_2018
teboulba,mars_18,330.0,pluviométrie_monastir_2017_2018
bekalta,mars_18,172.0,pluviométrie_monastir_2017_2018
sahline,mars_18,199.0,pluviométrie_monastir_2017_2018
bembla,mars_18,211.0,pluviométrie_monastir_2017_2018
beni_hassen,mars_18,176.5,pluviométrie_monastir_2017_2018
monastir,avril_18,204.5,pluviométrie_monastir_2017_2018
ouardanine,avril_18,308.0,pluviométrie_monastir_2017_2018
jemmel,avril_18,231.0,pluviométrie_monastir_2017_2018
zermedine,avril_18,173.5,pluviométrie_monastir_2017_2018
ksibet_medyouni,avril_18,128.5,pluviométrie_monastir_2017_2018
sayada,avril_18,175.0,pluviométrie_monastir_2017_2018
ksar_helal,avril_18,164.0,pluviométrie_monastir_2017_2018
moknine,avril_18,176.0,pluviométrie_monastir_2017_2018
teboulba,avril_18,339.0,pluviométrie_monastir_2017_2018
bekalta,avril_18,181.0,pluviométrie_monastir_2017_2018
sahline,avril_18,207.0,pluviométrie_monastir_2017_2018
bembla,avril_18,215.0,pluviométrie_monastir_2017_2018
beni_hassen,avril_18,178.5,pluviométrie_monastir_2017_2018
monastir,mai_18,217.5,pluviométrie_monastir_2017_2018
ouardanine,mai_18,318.0,pluviométrie_monastir_2017_2018
jemmel,mai_18,260.0,pluviométrie_monastir_2017_2018
zermedine,mai_18,191.5,pluviométrie_monastir_2017_2018
ksibet_medyouni,mai_18,148.5,pluviométrie_monastir_2017_2018
sayada,mai_18,204.0,pluviométrie_monastir_2017_2018
ksar_helal,mai_18,193.0,pluviométrie_monastir_2017_2018
moknine,mai_18,200.0,pluviométrie_monastir_2017_2018
teboulba,mai_18,382.0,pluviométrie_monastir_2017_2018
bekalta,mai_18,202.0,pluviométrie_monastir_2017_2018
sahline,mai_18,216.0,pluviométrie_monastir_2017_2018
bembla,mai_18,238.0,pluviométrie_monastir_2017_2018
beni_hassen,mai_18,202.5,pluviométrie_monastir_2017_2018
monastir,juin_18,222.5,pluviométrie_monastir_2017_2018
ouardanine,juin_18,320.0,pluviométrie_monastir_2017_2018
jemmel,juin_18,263.0,pluviométrie_monastir_2017_2018
zermedine,juin_18,192.5,pluviométrie_monastir_2017_2018
ksibet_medyouni,juin_18,152.5,pluviométrie_monastir_2017_2018
sayada,juin_18,209.0,pluviométrie_monastir_2017_2018
ksar_helal,juin_18,197.0,pluviométrie_monastir_2017_2018
moknine,juin_18,202.0,pluviométrie_monastir_2017_2018
teboulba,juin_18,387.0,pluviométrie_monastir_2017_2018
bekalta,juin_18,206.0,pluviométrie_monastir_2017_2018
sahline,juin_18,219.0,pluviométrie_monastir_2017_2018
bembla,juin_18,240.0,pluviométrie_monastir_2017_2018
beni_hassen,juin_18,204.5,pluviométrie_monastir_2017_2018
monastir,jllet_18,222.5,pluviométrie_monastir_2017_2018
ouardanine,jllet_18,320.0,pluviométrie_monastir_2017_2018
jemmel,jllet_18,263.0,pluviométrie_monastir_2017_2018
zermedine,jllet_18,192.5,pluviométrie_monastir_2017_2018
ksibet_medyouni,jllet_18,152.5,pluviométrie_monastir_2017_2018
sayada,jllet_18,209.0,pluviométrie_monastir_2017_2018
ksar_helal,jllet_18,197.0,pluviométrie_monastir_2017_2018
moknine,jllet_18,202.0,pluviométrie_monastir_2017_2018
teboulba,jllet_18,387.0,pluviométrie_monastir_2017_2018
bekalta,jllet_18,206.0,pluviométrie_monastir_2017_2018
sahline,jllet_18,219.0,pluviométrie_monastir_2017_2018
bembla,jllet_18,240.0,pluviométrie_monastir_2017_2018
beni_hassen,jllet_18,204.5,pluviométrie_monastir_2017_2018
monastir,aout_18,259.5,pluviométrie_monastir_2017_2018
ouardanine,aout_18,397.0,pluviométrie_monastir_2017_2018
jemmel,aout_18,332.0,pluviométrie_monastir_2017_2018
zermedine,aout_18,241.5,pluviométrie_monastir_2017_2018
ksibet_medyouni,aout_18,234.5,pluviométrie_monastir_2017_2018
sayada,aout_18,243.0,pluviométrie_monastir_2017_2018
ksar_helal,aout_18,240.0,pluviométrie_monastir_2017_2018
moknine,aout_18,247.0,pluviométrie_monastir_2017_2018
