delegation,mois,cumul_mm,pluviometrie_du_mois_mm,feuille
monastir,sept_24,65,65,pluviométrie_monastir_2024_2025
sahline,sept_24,61,61,pluviométrie_monastir_2024_2025
ouardanine,sept_24,36,36,pluviométrie_monastir_2024_2025
bembla,sept_24,77,77,pluviométrie_monastir_2024_2025
ksibet_medyouni,sept_24,58,58,pluviométrie_monastir_2024_2025
sayada,sept_24,89,89,pluviométrie_monastir_2024_2025
ksar_helal,sept_24,112,112,pluviométrie_monastir_2024_2025
moknine,sept_24,126,126,pluviométrie_monastir_2024_2025
teboulba,sept_24,103,103,pluviométrie_monastir_2024_2025
bekalta,sept_24,125,125,pluviométrie_monastir_2024_2025
jemmel,sept_24,71,71,pluviométrie_monastir_2024_2025
zermedine,sept_24,110,110,pluviométrie_monastir_2024_2025
beni_hassen,sept_24,149,149,pluviométrie_monastir_2024_2025
monastir,oct_24,202,137,pluviométrie_monastir_2024_2025
sahline,oct_24,227,166,pluviométrie_monastir_2024_2025
ouardanine,oct_24,162,126,pluviométrie_monastir_2024_2025
bembla,oct_24,185,108,pluviométrie_monastir_2024_2025
ksibet_medyouni,oct_24,209,151,pluviométrie_monastir_2024_2025
sayada,oct_24,307,218,pluviométrie_monastir_2024_2025
ksar_helal,oct_24,239,127,pluviométrie_monastir_2024_2025
moknine,oct_24,280,154,pluviométrie_monastir_2024_2025
teboulba,oct_24,245,142,pluviométrie_monastir_2024_2025
bekalta,oct_24,291,166,pluviométrie_monastir_2024_2025
jemmel,oct_24,182,111,pluviométrie_monastir_2024_2025
zermedine,oct_24,239,129,pluviométrie_monastir_2024_2025
beni_hassen,oct_24,310,161,pluviométrie_monastir_2024_2025
monastir,nov_24,220,18,pluviométrie_monastir_2024_2025
sahline,nov_24,239,12,pluviométrie_monastir_2024_2025
ouardanine,nov_24,198,36,pluviométrie_monastir_2024_2025
bembla,nov_24,188,3,pluviométrie_monastir_2024_2025
ksibet_medyouni,nov_24,231,22,pluviométrie_monastir_2024_2025
sayada,nov_24,322,15,pluviométrie_monastir_2024_2025
ksar_helal,nov_24,247,8,pluviométrie_monastir_2024_2025
moknine,nov_24,295,15,pluviométrie_monastir_2024_2025
teboulba,nov_24,262,17,pluviométrie_monastir_2024_2025
bekalta,nov_24,337,46,pluviométrie_monastir_2024_2025
jemmel,nov_24,212,30,pluviométrie_monastir_2024_2025
zermedine,nov_24,251,12,pluviométrie_monastir_2024_2025
beni_hassen,nov_24,360,50,pluviométrie_monastir_2024_2025
monastir,dec_24,299,79,pluviométrie_monastir_2024_2025
sahline,dec_24,252,13,pluviométrie_monastir_2024_2025
ouardanine,dec_24,212,14,pluviométrie_monastir_2024_2025
bembla,dec_24,279,91,pluviométrie_monastir_2024_2025
ksibet_medyouni,dec_24,283,52,pluviométrie_monastir_2024_2025
sayada,dec_24,406,84,pluviométrie_monastir_2024_2025
ksar_helal,dec_24,317,70,pluviométrie_monastir_2024_2025
moknine,dec_24,358,63,pluviométrie_monastir_2024_2025
teboulba,dec_24,348,86,pluviométrie_monastir_2024_2025
bekalta,dec_24,440,103,pluviométrie_monastir_2024_2025
jemmel,dec_24,269,57,pluviométrie_monastir_2024_2025
zermedine,dec_24,275,24,pluviométrie_monastir_2024_2025
beni_hassen,dec_24,401,41,pluviométrie_monastir_2024_2025
monastir,jan_25,396,97,pluviométrie_monastir_2024_2025
sahline,jan_25,342,90,pluviométrie_monastir_2024_2025
ouardanine,jan_25,310,98,pluviométrie_monastir_2024_2025
bembla,jan_25,373,94,pluviométrie_monastir_2024_2025
ksibet_medyouni,jan_25,384,101,pluviométrie_monastir_2024_2025
sayada,jan_25,517,111,pluviométrie_monastir_2024_2025
ksar_helal,jan_25,412,95,pluviométrie_monastir_2024_2025
