annee,delegation,olives_ha,dattes_ha,grenades_ha,raisins_ha,figues_ha,amandes_ha,autres_ha,feuille
2023,كامل الولاية,60000,7325,3200,110,487,397,512,Feuil1
2024,كامل الولاية,75023,7325,3200,110,487,397,512,Feuil1
