annee,delegation,superficie_ha,production_t,feuille
2023-2024,مارث,20476.16,29328,Feuil1
2023-2024,دخيلة توجان,3449.93,182,Feuil1
2023-2024,مطماطة الجديدة,7183.14,3125,Feuil1
2023-2024,مطماطة,1572.06,127,Feuil1
2023-2024,الحامة و الحامة الغربية,6547.53,7355,Feuil1
2023-2024,المطوية و وذرف,8904.38,16039,Feuil1
2023-2024,قابس الجنوبية,6772.1,5342,Feuil1
2023-2024,قابس الغربية,2306.93,2091,Feuil1
2023-2024,قلبس المدينة,13.99,96,Feuil1
2023-2024,منزل الحبيب,10948.0,3850,Feuil1
2023-2024,غنوش,518.83,2465,Feuil1
2023-2024,المجموع,68694.0,70000,Feuil1
