annee,delegation,olives_t,dattes_t,grenades_t,raisins_t,figues_t,amandes_t,autres_t,feuille
2023,كامل الولاية,75023,22000,25000,375,980,1980,3606,Feuil1
2024,كامل الولاية,70000,22000,25000,375,980,1980,3606,Feuil1
