annee,delegation,superficie_ha,production_t,feuille
2023-2024,الحامة و الحامة الغربية,2016,6000,Feuil1
2023-2024,قابس الغربية,345,1800,Feuil1
2023-2024,قابس المدينة,590,1700,Feuil1
2023-2024,قابس الجنوبية,925,1000,Feuil1
2023-2024,المطوية و وذرف,540,3500,Feuil1
2023-2024,مارث,2323,5500,Feuil1
2023-2024,غنوش,773,500,Feuil1
2023-2024,المجموع,7512,20000,Feuil1
