الميناء,جانفي,فيفري,مارس,افريل,ماي,جوان,جويلية,اوت,سبتمبر,اكتوبر,نوفمبر,ديسمبر,المجموع,feuille
غنوش,68866.0,59171.0,85999.0,81002.0,61228.0,141105.0,123086.0,179291.0,140367.0,456418.0,399582.0,188597.0,1984712.0,ص س
الزرات,206440.0,296468.0,287905.0,207888.00000000003,170528.0,390543.0,269005.0,414086.0,575157.0,475160.0,683219.0,375959.0,4352358.0,ص س
مجموع 11,362977.0,417622.0,557425.0,698929.0,620495.0,1048798.0,936305.9999999999,1251618.0,2071170.0,2260599.0,2199304.0,743533.0,13168776.0,ص س
جرجيس,242170.0,217156.0,194311.0,151798.00000000003,265639.0,158341.0,80828.0,162329.0,125667.0,287304.0,249619.0,265003.0,2400165.0,ص س
حومة السوق,63659.0,122546.0,170059.0,123881.0,181547.00000000003,387958.0,499719.0,496034.0,611438.0,468657.0,367439.0,237949.0,3730886.0,ص س
أجيم,87202.0,110404.99999999999,143065.00000000003,121551.99999999999,60847.0,100819.99999999999,93436.00000000001,237495.00000000003,205757.99999999997,164436.0,134261.0,65675.0,1524952.0,ص س
بوغرارة,105762.0,126237.99999999999,280713.0,393723.0,571087.0,858844.0,585016.0,759761.0,521310.0,695601.0,817267.0,202904.0,5918226.0,ص س
الكتف,81054.0,108062.0,134730.0,122489.0,118953.0,98833.0,64780.0,32498.0,15080.0,24566.0,51063.0,76815.0,928923.0,ص س
حاسي جلابة,22649.0,13490.0,19127.0,24140.0,19170.0,22961.0,17182.0,15620.0,12496.0,15052.0,20448.0,15194.0,217529.0,ص س
القرين,19028.0,24424.0,26199.0,16614.0,14015.0,18971.0,21023.0,19752.0,18219.0,80429.0,86762.0,82701.0,428137.0,ص س
مجموع 12,621524.0,722321.0,968204.0,954197.0,1231258.0,1646728.0,1361984.0,1723489.0,1509968.0,1736045.0,1726859.0,946241.0,15148818.0,ص س
المجموع العام,3504154.96,3596099.06,4167626.0,3662538.0,4173328.0,4836259.0,4311418.0,5254946.0,5278203.0,6157495.0,6183789.0,3861458.0,54987314.02,ص س
الانتاج بالكغ,,,,,,,,,,,,,,ص س
