delegation,nom_du_lac_collinaire,capacite_de_stockage_mille_m3,stock_actuel_mille_m3,feuille
بنزرت الشمالية,عين الباردة,100.0,20.0,Feuil1
مجموع المعتمدية,,100.0,20.0,Feuil1
بنزرت الجنوبية,واد القرع,104.0,15.0,Feuil1
بنزرت الجنوبية,واد الشطيب- ب6,104.0,20.0,Feuil1
بنزرت الجنوبية,واد النية,,,Feuil1
بنزرت الجنوبية,واد المرّة,22.0,0.0,Feuil1
بنزرت الجنوبية,واد المرازيق,48.0,10.0,Feuil1
بنزرت الجنوبية,واد المعو,90.0,18.0,Feuil1
بنزرت الجنوبية,عين السّردوك,60.0,0.0,Feuil1
بنزرت الجنوبية,واد الصفصاف,60.0,2.0,Feuil1
بنزرت الجنوبية,واد الكريمة,,0.0,Feuil1
بنزرت الجنوبية,واد الميو,60.0,15.0,Feuil1
بنزرت الجنوبية,واد حصحاصية,120.0,30.0,Feuil1
بنزرت الجنوبية,بني وذيل,110.0,10.0,Feuil1
بنزرت الجنوبية,المشرع,0.0,,Feuil1
بنزرت الجنوبية,كاف الذيبة,36.0,0.0,Feuil1
بنزرت الجنوبية,الحميمين,270.0,140.0,Feuil1
بنزرت الجنوبية,وادي دار الرمل,140.0,65.0,Feuil1
مجموع المعتمدية,,1224.0,325.0,Feuil1
منزل بورقيبة,واد طليبة,,,Feuil1
منزل بورقيبة,الشاقي,14.0,5.0,Feuil1
مجموع المعتمدية,,14.0,5.0,Feuil1
رأس الجبل,,,,Feuil1
مجموع المعتمدية,,,,Feuil1
العالية,الطرفة- ب1,,,Feuil1
العالية,واد ديكارة,70.0,0.0,Feuil1
العالية,واد الذهيلة,70.0,0.0,Feuil1
مجموع المعتمدية,,140.0,0.0,Feuil1
جومين,عين الغدر,35.0,15.0,Feuil1
جومين,الزيتونة,60.0,20.0,Feuil1
جومين,واد الداموس,110.0,25.0,Feuil1
جومين,واد السوايدية,105.0,50.0,Feuil1
جومين,المغرة,50.0,25.0,Feuil1
جومين,الطيحان,75.0,5.0,Feuil1
جومين,عين البيضة,185.0,80.0,Feuil1
جومين,سبعة عوينات,110.0,75.0,Feuil1
مجموع المعتمدية,,730.0,295.0,Feuil1
سجنان,الصخيرة,56.0,20.0,Feuil1
سجنان,طواجنية,,,Feuil1
سجنان,حكارة,12.0,4.0,Feuil1
سجنان,بوفرينينة,,,Feuil1
سجنان,سوقمان 2,,,Feuil1
سجنان,فيض الخزين,12.0,3.0,Feuil1
سجنان,أم جنيب,15.0,4.0,Feuil1
سجنان,سوقمان 1,16.0,4.0,Feuil1
سجنان,بني يصلي,16.0,4.0,Feuil1
سجنان,السميرة,32.0,6.0,Feuil1
سجنان,كناينيةب4,12.0,2.0,Feuil1
سجنان,الحدادة- ب5,40.0,8.0,Feuil1
سجنان,الحنية- ب3,12.0,6.0,Feuil1
سجنان,عيشون,12.0,6.0,Feuil1
سجنان,بيض الغول,28.0,7.0,Feuil1
سجنان,المخيش,12.0,3.0,Feuil1
سجنان,الهميل,12.0,3.0,Feuil1
سجنان,الشقيفة(الشلايبية),,0.0,Feuil1
سجنان,سيدي  الزين,40.0,4.0,Feuil1
سجنان,أم الطبل,16.0,3.0,Feuil1
سجنان,واد الزان,28.0,5.0,Feuil1
سجنان,الزبوز,312.0,85.0,Feuil1
مجموع المعتمدية,,683.0,177.0,Feuil1
غزالة,واد العومان 2,85.0,4.0,Feuil1
غزالة,واد الشرشارة,,0.0,Feuil1
غزالة,واد الزيتون,20.0,2.0,Feuil1
غزالة,مشارقة,85.0,8.0,Feuil1
غزالة,المراديم,146.0,40.0,Feuil1
غزالة,سيدي بن بدر,88.0,30.0,Feuil1
غزالة,فرع بن نصر,117.0,30.0,Feuil1
مجموع المعتمدية,,541.0,114.0,Feuil1
ماطر,واد العومان 1,78.0,15.0,Feuil1
ماطر,مسفطين,,,Feuil1
ماطر,واد الكوشة,,,Feuil1
ماطر,واد بصارية,,,Feuil1
ماطر,واد الأحمر,112.0,15.0,Feuil1
ماطر,النشمة,55.0,20.0,Feuil1
ماطر,المعيزة,96.0,35.0,Feuil1
ماطر,المطوية,0.0,,Feuil1
ماطر,الخروبة,96.0,75.0,Feuil1
مجموع المعتمدية,,437.0,160.0,Feuil1
أوتيك,واد عين الصفصاف,35.0,0.0,Feuil1
أوتيك,واد الكوم,48.0,0.0,Feuil1
أوتيك,زعرورة,,,Feuil1
أوتيك,واد السمار,60.0,3.0,Feuil1
أوتيك,شعبة جورج,45.0,0.0,Feuil1
أوتيك,زويتينة البي,36.0,3.0,Feuil1
أوتيك,كاف الغارق,120.0,18.0,Feuil1
أوتيك,قورقيبة,25.0,5.0,Feuil1
أوتيك,دويميس,0.0,,Feuil1
أوتيك,الحنايا السفلى,,,Feuil1
أوتيك,الفرتوت,15.0,0.0,Feuil1
أوتيك,الرمان,400.0,15.0,Feuil1
مجموع المعتمدية,,784.0,44.0,Feuil1
مجموع الولاية,,4653.0,1140.0,Feuil1
