numero_agrement,nom_etablissement_fr,delegation_fr,adresse_fr,activite,etat,feuille
PL0501,société Elbène Tunisie,sidi bou ali,Sidi bouali - Sousse,lait UHT - beurre - yahourt lait férmenté - lait régénéré produit laitier à base de lait régénéré,suspendu le 10/01/2019,Feuil1
PL0502,société Pharmalys Tunisie,kondar,ZI Kondar - Sousse,Conditionnement de lait infantile en poudre,valide,Feuil1
PL0503,société 7M,enfidha,ZI Enfidha,découpe et rapage de Fromage  / conditionnement,valide,Feuil1
