delegation,secteur,insemination_artificielle_2017_nb,insemination_artificielle_2018_nb,feuille
نبر,بهرة,119,147,Feuil1
نبر,الشتاتلة,54,39,Feuil1
نبر,تل الغزلان,133,72,Feuil1
نبر,سيدي مدين,64,60,Feuil1
الطويرف,الطويرف,37,17,Feuil1
الطويرف,ولجة السدرة,37,54,Feuil1
الطويرف,الاذياب,78,25,Feuil1
الطويرف,ملالة,76,115,Feuil1
السرس,السرس الشمالي,0,0,Feuil1
السرس,الاربص,0,0,Feuil1
السرس,بوصليعة,0,0,Feuil1
الكاف الغربية,وادي الرمل الشمالي,0,0,Feuil1
الكاف الغربية,وادي الرمل الجنوبي,18,24,Feuil1
الكاف الشرقبة,وادي السوني الجنوبي,72,48,Feuil1
الكاف الشرقبة,الزعفران,35,0,Feuil1
الكاف الشرقبة,وادي السوني الشمالي,39,47,Feuil1
الساقية,عين الكرمة,0,0,Feuil1
الساقية,فرشان,16,0,Feuil1
الساقية,جرادو,14,48,Feuil1
الساقية,سيدي رابح,0,0,Feuil1
