annee,gouvernorat,production,feuille
2022,تونس,14.6,انتاج-ولاية
2022,أريانة,4004.0,انتاج-ولاية
2022,منوبة,3148.0,انتاج-ولاية
2022,بن عروس,25000.0,انتاج-ولاية
2022,نابل,241000.0,انتاج-ولاية
2022,بنزرت,18086.0,انتاج-ولاية
2022,باجة,8500.0,انتاج-ولاية
2022,جندوبة,8402.97,انتاج-ولاية
2022,الكاف,120.0,انتاج-ولاية
2022,سليانة,394.0,انتاج-ولاية
2022,زغوان,2900.0,انتاج-ولاية
2022,سوسة,338.0,انتاج-ولاية
2022,المنستير,246.66000000000003,انتاج-ولاية
2022,المهدية,0.0,انتاج-ولاية
2022,صفاقس,0.0,انتاج-ولاية
2022,القيروان,17400.0,انتاج-ولاية
2022,القصرين,0.0,انتاج-ولاية
2022,سيدي بوزيد,10500.0,انتاج-ولاية
2022,قفصة,1935.0,انتاج-ولاية
2022,توزر,650.0,انتاج-ولاية
2022,قبلي,0.0,انتاج-ولاية
2022,قابس,2419.0,انتاج-ولاية
2022,مدنين,220.0,انتاج-ولاية
2022,تطاوين,0.0,انتاج-ولاية
2023,تونس,28.0,انتاج-ولاية
2023,أريانة,3205.0,انتاج-ولاية
2023,منوبة,3350.0,انتاج-ولاية
2023,بن عروس,20000.0,انتاج-ولاية
2023,نابل,200600.0,انتاج-ولاية
2023,بنزرت,16500.0,انتاج-ولاية
2023,باجة,8200.0,انتاج-ولاية
2023,جندوبة,7005.0,انتاج-ولاية
2023,الكاف,40.0,انتاج-ولاية
2023,سليانة,283.0,انتاج-ولاية
2023,زغوان,2600.0,انتاج-ولاية
2023,سوسة,462.5,انتاج-ولاية
2023,المنستير,245.0,انتاج-ولاية
2023,المهدية,0.0,انتاج-ولاية
2023,صفاقس,0.0,انتاج-ولاية
2023,القيروان,16000.0,انتاج-ولاية
2023,القصرين,8.0,انتاج-ولاية
2023,سيدي بوزيد,4400.0,انتاج-ولاية
2023,قفصة,1980.0,انتاج-ولاية
2023,توزر,1125.0,انتاج-ولاية
2023,قبلي,0.0,انتاج-ولاية
2023,قابس,2186.0,انتاج-ولاية
2023,مدنين,230.0,انتاج-ولاية
2023,تطاوين,0.0,انتاج-ولاية
2024,تونس,28.0,انتاج-ولاية
2024,أريانة,1719.0,انتاج-ولاية
2024,منوبة,1340.0,انتاج-ولاية
2024,بن عروس,23700.0,انتاج-ولاية
2024,نابل,267000.0,انتاج-ولاية
2024,بنزرت,13870.0,انتاج-ولاية
2024,باجة,7000.0,انتاج-ولاية
2024,جندوبة,9445.0,انتاج-ولاية
2024,الكاف,90.0,انتاج-ولاية
2024,سليانة,195.03,انتاج-ولاية
2024,زغوان,2950.0,انتاج-ولاية
2024,سوسة,1274.0,انتاج-ولاية
2024,المنستير,234.0,انتاج-ولاية
2024,المهدية,0.0,انتاج-ولاية
2024,صفاقس,0.0,انتاج-ولاية
2024,القيروان,17000.0,انتاج-ولاية
2024,القصرين,0.0,انتاج-ولاية
2024,سيدي بوزيد,12850.0,انتاج-ولاية
2024,قفصة,2850.0,انتاج-ولاية
2024,توزر,1310.0,انتاج-ولاية
2024,قبلي,0.0,انتاج-ولاية
2024,قابس,2279.0,انتاج-ولاية
2024,مدنين,200.0,انتاج-ولاية
2024,تطاوين,0.0,انتاج-ولاية
2025,تونس,28.0,انتاج-ولاية
2025,أريانة,1273.0,انتاج-ولاية
2025,منوبة,3200.0,انتاج-ولاية
2025,بن عروس,28000.0,انتاج-ولاية
2025,نابل,272198.0,انتاج-ولاية
2025,بنزرت,18217.0,انتاج-ولاية
2025,باجة,9000.0,انتاج-ولاية
2025,جندوبة,6486.534,انتاج-ولاية
2025,الكاف,40.0,انتاج-ولاية
2025,سليانة,471.64000000000004,انتاج-ولاية
2025,زغوان,3650.0,انتاج-ولاية
2025,سوسة,930.0,انتاج-ولاية
2025,المنستير,269.40000000000003,انتاج-ولاية
2025,المهدية,0.0,انتاج-ولاية
2025,صفاقس,0.0,انتاج-ولاية
2025,القيروان,18500.0,انتاج-ولاية
2025,القصرين,0.0,انتاج-ولاية
2025,سيدي بوزيد,14120.0,انتاج-ولاية
2025,قفصة,3440.0,انتاج-ولاية
2025,توزر,1377.0,انتاج-ولاية
2025,قبلي,0.0,انتاج-ولاية
2025,قابس,2017.0,انتاج-ولاية
2025,مدنين,230.0,انتاج-ولاية
2025,تطاوين,0.0,انتاج-ولاية
