composante,date,prixmin,prixmax,prix,feuille
Concentré engraissement bovin,2011-01-01 00:00:00,,,475.0,Feuil1
Concentré engraissement bovin,2012-01-01 00:00:00,,,520.0,Feuil1
Concentré engraissement bovin,2013-01-01 00:00:00,,,570.0,Feuil1
Concentré engraissement bovin,2014-01-01 00:00:00,,,650.0,Feuil1
Concentré engraissement bovin,2015-01-01 00:00:00,,,670.0,Feuil1
Concentré engraissement bovin,2016-01-01 00:00:00,,,680.0,Feuil1
Concentré engraissement bovin,2017-01-01 00:00:00,,,685.0,Feuil1
Concentré engraissement bovin,2018-01-01 00:00:00,,,650.0,Feuil1
Concentré engraissement bovin,2019-01-01 00:00:00,,,867.0,Feuil1
Concentré engraissement bovin,2020-12-01 00:00:00,,,911.0,Feuil1
Concentré engraissement bovin,2021-12-01 00:00:00,,,1080.0,Feuil1
Concentré engraissement bovin,2022-12-01 00:00:00,,,1280.0,Feuil1
Concentré engraissement bovin,2023-12-01 00:00:00,,,1530.0,Feuil1
Foin ( Centre et Sud),2020-01-01 00:00:00,9.0,12.0,,Feuil1
Foin ( Centre et Sud),2020-02-01 00:00:00,10.0,12.5,,Feuil1
Foin ( Centre et Sud),2020-03-01 00:00:00,10.5,13.0,,Feuil1
Foin ( Centre et Sud),2020-04-01 00:00:00,10.5,12.5,,Feuil1
Foin ( Centre et Sud),2020-05-01 00:00:00,10.0,12.0,,Feuil1
Foin ( Centre et Sud),2020-06-01 00:00:00,10.0,13.0,,Feuil1
Foin ( Centre et Sud),2020-07-01 00:00:00,10.0,13.0,,Feuil1
Foin ( Centre et Sud),2020-08-01 00:00:00,11.0,13.5,,Feuil1
Foin ( Centre et Sud),2020-09-01 00:00:00,10.0,14.0,,Feuil1
Foin ( Centre et Sud),2020-10-01 00:00:00,10.0,13.5,,Feuil1
Foin ( Centre et Sud),2020-12-01 00:00:00,12.0,14.0,,Feuil1
Foin ( Centre et Sud),2021-01-01 00:00:00,12.0,15.0,,Feuil1
Foin ( Centre et Sud),2021-02-01 00:00:00,12.0,16.0,,Feuil1
Foin ( Centre et Sud),2021-03-01 00:00:00,14.0,18.5,,Feuil1
Foin ( Centre et Sud),2021-04-01 00:00:00,17.0,20.0,,Feuil1
Foin ( Centre et Sud),2021-05-01 00:00:00,11.0,14.0,,Feuil1
Foin ( Centre et Sud),2021-06-01 00:00:00,12.5,14.5,,Feuil1
Foin ( Centre et Sud),2021-07-01 00:00:00,12.5,15.5,,Feuil1
Foin ( Centre et Sud),2021-08-01 00:00:00,14.0,16.0,,Feuil1
Foin ( Centre et Sud),2021-09-01 00:00:00,14.0,16.0,,Feuil1
Foin ( Centre et Sud),2021-10-01 00:00:00,14.0,17.0,,Feuil1
Foin ( Centre et Sud),2021-11-01 00:00:00,14.0,16.5,,Feuil1
Foin ( Centre et Sud),2021-12-01 00:00:00,14.0,18.0,,Feuil1
Foin ( Centre et Sud),2022-01-01 00:00:00,14.0,18.5,,Feuil1
Foin ( Centre et Sud),2022-02-01 00:00:00,16.0,18.0,,Feuil1
Foin ( Centre et Sud),2022-03-01 00:00:00,15.0,17.5,,Feuil1
Foin ( Centre et Sud),2022-04-01 00:00:00,15.0,16.5,,Feuil1
Foin ( Centre et Sud),2022-05-01 00:00:00,13.0,15.0,,Feuil1
Foin ( Centre et Sud),2022-06-01 00:00:00,13.0,14.0,,Feuil1
Foin ( Centre et Sud),2022-07-01 00:00:00,13.0,14.0,,Feuil1
Foin ( Centre et Sud),2022-08-01 00:00:00,13.0,16.0,,Feuil1
Foin ( Centre et Sud),2022-09-01 00:00:00,13.0,16.0,,Feuil1
Foin ( Centre et Sud),2022-10-01 00:00:00,13.0,17.0,,Feuil1
Foin ( Centre et Sud),2022-11-01 00:00:00,14.0,16.5,,Feuil1
Foin ( Centre et Sud),2022-12-01 00:00:00,14.0,17.0,,Feuil1
Betterave fourrager,2020-12-01 00:00:00,,,,Feuil1
CF2 granulé (vrac),2020-12-01 00:00:00,,,1171.43,Feuil1
CF3 granulé (vrac),2020-12-01 00:00:00,,,1136.63,Feuil1
Concentré engraissement ovin,2011,,,445.0,Feuil1
Concentré engraissement ovin,2012,,,470.0,Feuil1
Concentré engraissement ovin,2013,,,530.0,Feuil1
Concentré engraissement ovin,2014,,,550.0,Feuil1
Concentré engraissement ovin,2015-12-01 00:00:00,,,580.0,Feuil1
Concentré engraissement ovin,2016-12-01 00:00:00,,,590.0,Feuil1
Concentré engraissement ovin,2017-12-01 00:00:00,,,605.0,Feuil1
Concentré engraissement ovin,2018-12-01 00:00:00,,,670.0,Feuil1
Concentré engraissement ovin,2019-12-01 00:00:00,,,700.0,Feuil1
Concentré engraissement ovin,2020-12-01 00:00:00,,,820.0,Feuil1
Concentré vache laitière,2011-12-01 00:00:00,,,560.0,Feuil1
Concentré vache laitière,2012-12-01 00:00:00,,,620.0,Feuil1
Concentré vache laitière,2013-12-01 00:00:00,,,670.0,Feuil1
Concentré vache laitière,2014-12-01 00:00:00,,,710.0,Feuil1
Concentré vache laitière,2015-12-01 00:00:00,,,718.0,Feuil1
Concentré vache laitière,2016-12-01 00:00:00,,,725.0,Feuil1
Concentré vache laitière,2017-12-01 00:00:00,,,740.0,Feuil1
Concentré vache laitière,2018-12-01 00:00:00,,,800.0,Feuil1
Concentré vache laitière,2019-12-01 00:00:00,,,932.0,Feuil1
Concentré vache laitière,2020-12-01 00:00:00,,,987.0,Feuil1
Concentré vache laitière,2021-12-01 00:00:00,,,1140.0,Feuil1
Concentré vache laitière,2022-12-01 00:00:00,,,1330.0,Feuil1
Concentré vache laitière,2023-12-01 00:00:00,,,1610.0,Feuil1
D1,2020-12-01 00:00:00,,,1400.12,Feuil1
D2,2020-12-01 00:00:00,,,1360.52,Feuil1
Févrole,2020-12-01 00:00:00,,,,Feuil1
Foin (Nord),2020-01-01 00:00:00,6.5,10.0,,Feuil1
Foin (Nord),2020-02-01 00:00:00,7.0,10.5,,Feuil1
Foin (Nord),2020-03-01 00:00:00,9.0,11.0,,Feuil1
Foin (Nord),2020-04-01 00:00:00,9.0,10.0,,Feuil1
Foin (Nord),2020-05-01 00:00:00,9.0,10.0,,Feuil1
Foin (Nord),2020-06-01 00:00:00,8.0,10.5,,Feuil1
Foin (Nord),2020-07-01 00:00:00,8.0,10.0,,Feuil1
Foin (Nord),2020-08-01 00:00:00,9.0,11.5,,Feuil1
Foin (Nord),2020-09-01 00:00:00,9.0,12.0,,Feuil1
Foin (Nord),2020-10-01 00:00:00,9.0,11.5,,Feuil1
Foin (Nord),2020-11-01 00:00:00,9.0,11.0,,Feuil1
Foin (Nord),2020-12-01 00:00:00,9.0,11.5,,Feuil1
Foin (Nord),2021-01-01 00:00:00,9.0,11.5,,Feuil1
Foin (Nord),2021-02-01 00:00:00,10.5,12.5,,Feuil1
Foin (Nord),2021-03-01 00:00:00,13.0,14.0,,Feuil1
Foin (Nord),2021-04-01 00:00:00,12.0,14.0,,Feuil1
Foin (Nord),2021-05-01 00:00:00,9.0,12.0,,Feuil1
Foin (Nord),2021-06-01 00:00:00,11.0,12.5,,Feuil1
Foin (Nord),2021-07-01 00:00:00,11.0,13.0,,Feuil1
Foin (Nord),2021-08-01 00:00:00,11.0,13.5,,Feuil1
Foin (Nord),2021-09-01 00:00:00,11.0,13.0,,Feuil1
Foin (Nord),2021-10-01 00:00:00,10.0,13.5,,Feuil1
Foin (Nord),2021-11-01 00:00:00,11.0,13.0,,Feuil1
Foin (Nord),2021-12-01 00:00:00,11.0,14.0,,Feuil1
Foin (Nord),2022-01-01 00:00:00,11.0,13.5,,Feuil1
Foin (Nord),2022-02-01 00:00:00,11.0,14.0,,Feuil1
Foin (Nord),2022-03-01 00:00:00,11.5,13.5,,Feuil1
Foin (Nord),2022-04-01 00:00:00,8.0,10.5,,Feuil1
Foin (Nord),2022-05-01 00:00:00,7.0,10.0,,Feuil1
Foin (Nord),2022-06-01 00:00:00,9.0,10.0,,Feuil1
Foin (Nord),2022-07-01 00:00:00,9.0,10.0,,Feuil1
Foin (Nord),2022-08-01 00:00:00,9.0,11.0,,Feuil1
Foin (Nord),2022-09-01 00:00:00,8.0,12.5,,Feuil1
Foin (Nord),2022-10-01 00:00:00,8.0,13.0,,Feuil1
Foin (Nord),2022-11-01 00:00:00,9.0,13.0,,Feuil1
Foin (Nord),2022-12-01 00:00:00,9.0,14.0,,Feuil1
Paille ( Centre et Sud),2020-01-01 00:00:00,4.5,6.0,,Feuil1
Paille ( Centre et Sud),2020-02-01 00:00:00,5.0,6.5,,Feuil1
Paille ( Centre et Sud),2020-03-01 00:00:00,5.0,7.0,,Feuil1
Paille ( Centre et Sud),2020-04-01 00:00:00,5.0,6.5,,Feuil1
Paille ( Centre et Sud),2020-05-01 00:00:00,5.0,6.0,,Feuil1
Paille ( Centre et Sud),2020-06-01 00:00:00,4.0,6.5,,Feuil1
Paille ( Centre et Sud),2020-07-01 00:00:00,4.0,6.5,,Feuil1
Paille ( Centre et Sud),2020-08-01 00:00:00,5.0,7.0,,Feuil1
Paille ( Centre et Sud),2020-09-01 00:00:00,5.0,7.5,,Feuil1
Paille ( Centre et Sud),2020-10-01 00:00:00,5.0,7.0,,Feuil1
Paille ( Centre et Sud),2020-11-01 00:00:00,5.0,7.0,,Feuil1
Paille ( Centre et Sud),2020-12-01 00:00:00,5.0,7.5,,Feuil1
Paille ( Centre et Sud),2021-01-01 00:00:00,5.0,7.5,,Feuil1
Paille ( Centre et Sud),2021-02-01 00:00:00,5.0,10.0,,Feuil1
Paille ( Centre et Sud),2021-03-01 00:00:00,8.0,12.5,,Feuil1
Paille ( Centre et Sud),2021-04-01 00:00:00,10.0,13.0,,Feuil1
Paille ( Centre et Sud),2021-05-01 00:00:00,7.0,8.0,,Feuil1
Paille ( Centre et Sud),2021-06-01 00:00:00,6.5,7.5,,Feuil1
Paille ( Centre et Sud),2021-07-01 00:00:00,6.5,8.0,,Feuil1
Paille ( Centre et Sud),2021-08-01 00:00:00,6.5,8.5,,Feuil1
Paille ( Centre et Sud),2021-09-01 00:00:00,6.0,9.0,,Feuil1
Paille ( Centre et Sud),2021-10-01 00:00:00,6.0,10.0,,Feuil1
Paille ( Centre et Sud),2021-11-01 00:00:00,6.0,9.5,,Feuil1
Paille ( Centre et Sud),2021-12-01 00:00:00,9.0,11.5,,Feuil1
Paille ( Centre et Sud),2022-01-01 00:00:00,9.0,11.0,,Feuil1
Paille ( Centre et Sud),2022-02-01 00:00:00,9.0,11.5,,Feuil1
Paille ( Centre et Sud),2022-03-01 00:00:00,9.0,11.5,,Feuil1
Paille ( Centre et Sud),2022-04-01 00:00:00,8.0,10.5,,Feuil1
Paille ( Centre et Sud),2022-05-01 00:00:00,8.0,9.5,,Feuil1
Paille ( Centre et Sud),2022-06-01 00:00:00,7.0,7.5,,Feuil1
Paille ( Centre et Sud),2022-07-01 00:00:00,7.0,8.0,,Feuil1
Paille ( Centre et Sud),2022-08-01 00:00:00,7.0,8.5,,Feuil1
Paille ( Centre et Sud),2022-09-01 00:00:00,7.0,9.0,,Feuil1
Paille ( Centre et Sud),2022-10-01 00:00:00,7.0,9.5,,Feuil1
Paille ( Centre et Sud),2022-11-01 00:00:00,7.0,10.0,,Feuil1
Paille ( Centre et Sud),2022-12-01 00:00:00,7.0,11.0,,Feuil1
Paille (Nord),2020-01-01 00:00:00,3.5,5.0,,Feuil1
Paille (Nord),2020-02-01 00:00:00,4.0,5.5,,Feuil1
Paille (Nord),2020-03-01 00:00:00,5.0,6.0,,Feuil1
Paille (Nord),2020-04-01 00:00:00,5.0,5.5,,Feuil1
Paille (Nord),2020-05-01 00:00:00,3.5,4.5,,Feuil1
Paille (Nord),2020-06-01 00:00:00,4.0,5.0,,Feuil1
Paille (Nord),2020-07-01 00:00:00,4.0,5.5,,Feuil1
Paille (Nord),2020-08-01 00:00:00,4.5,6.0,,Feuil1
Paille (Nord),2020-09-01 00:00:00,4.5,6.5,,Feuil1
Paille (Nord),2020-10-01 00:00:00,4.5,6.0,,Feuil1
Paille (Nord),2020-11-01 00:00:00,4.0,6.0,,Feuil1
Paille (Nord),2020-12-01 00:00:00,4.0,6.0,,Feuil1
Paille (Nord),2021-01-01 00:00:00,4.0,6.5,,Feuil1
Paille (Nord),2021-02-01 00:00:00,6.0,8.0,,Feuil1
Paille (Nord),2021-03-01 00:00:00,7.0,11.0,,Feuil1
Paille (Nord),2021-04-01 00:00:00,9.0,10.0,,Feuil1
Paille (Nord),2021-05-01 00:00:00,6.0,7.0,,Feuil1
Paille (Nord),2021-06-01 00:00:00,4.5,5.5,,Feuil1
Paille (Nord),2021-07-01 00:00:00,4.5,6.0,,Feuil1
Paille (Nord),2021-08-01 00:00:00,5.5,6.5,,Feuil1
Paille (Nord),2021-09-01 00:00:00,5.5,7.0,,Feuil1
Paille (Nord),2021-10-01 00:00:00,5.5,7.5,,Feuil1
Paille (Nord),2021-11-01 00:00:00,5.5,7.5,,Feuil1
Paille (Nord),2021-12-01 00:00:00,6.5,8.5,,Feuil1
Paille (Nord),2022-01-01 00:00:00,6.5,8.0,,Feuil1
Paille (Nord),2022-02-01 00:00:00,6.5,8.0,,Feuil1
Paille (Nord),2022-03-01 00:00:00,6.5,8.5,,Feuil1
Paille (Nord),2022-04-01 00:00:00,6.0,8.0,,Feuil1
Paille (Nord),2022-05-01 00:00:00,4.0,6.0,,Feuil1
Paille (Nord),2022-06-01 00:00:00,4.0,5.0,,Feuil1
Paille (Nord),2022-07-01 00:00:00,4.0,5.0,,Feuil1
Paille (Nord),2022-08-01 00:00:00,4.0,5.5,,Feuil1
Paille (Nord),2022-09-01 00:00:00,4.0,6.0,,Feuil1
Paille (Nord),2022-10-01 00:00:00,4.0,7.0,,Feuil1
Paille (Nord),2022-11-01 00:00:00,6.0,7.5,,Feuil1
Paille (Nord),2022-12-01 00:00:00,6.0,8.0,,Feuil1
PP1,2020-12-01 00:00:00,,,1138.45,Feuil1
PP2,2020-12-01 00:00:00,,,1088.88,Feuil1
PP3 FARINE,2020-12-01 00:00:00,,,1083.4,Feuil1
PP4 FARINE,2020-12-01 00:00:00,,,921.42,Feuil1
R1,2020-12-01 00:00:00,,,1131.18,Feuil1
R2,2020-12-01 00:00:00,,,1082.16,Feuil1
R3,2020-12-01 00:00:00,,,1078.24,Feuil1
R4,2020-12-01 00:00:00,,,918.43,Feuil1
Son (prix de gros),2020-12-01 00:00:00,,,23.2,Feuil1
Son (prix détail),2020-12-01 00:00:00,,,25.0,Feuil1
