composante,frequence_ar,frequence,source_ar,source,unite_ar,unite,composante_ar,images,feuille
Concentré vache laitière,سنويا,ANNUELLE,ديوان تربية الماشية و توفير المرعى,OEP,دينار/طن,TND/t,أعلاف مركزة للابقار,https://drive.google.com/file/d/1wMx0Wib2i-aKHjsc0yYWH8KuhFhcTUXj/view?usp=sharing,Feuil1
Concentré engraissement bovin,سنويا,ANNUELLE,ديوان تربية الماشية و توفير المرعى,OEP,دينار/طن,TND/t,اعلاف مركزة للتسمين,https://drive.google.com/file/d/1QDSdlqGetN0jmfkD_ugjq6h5MSm93PYN/view?usp=sharing,Feuil1
Concentré engraissement ovin,سنويا,ANNUELLE,ديوان تربية الماشية و توفير المرعى,OEP,دينار/طن,TND/t,اعلاف مركزة للاغنام,https://drive.google.com/file/d/1iZtM4wENQUfy3E4dSZw-kJeitEN_e2uK/view?usp=sharing,Feuil1
Son (prix détail),سنويا,ANNUELLE,ديوان الحبوب,OC,دينار/القنطار,TND/q,النخالة (سعر التفصيل),https://drive.google.com/file/d/1iZtM4wENQUfy3E4dSZw-kJeitEN_e2uK/view?usp=sharing,Feuil1
Son (prix de gros),سنويا,ANNUELLE,ديوان الحبوب,OC,دينار/القنطار,TND/q,النخالة (سعر المزودين),https://drive.google.com/file/d/1iZtM4wENQUfy3E4dSZw-kJeitEN_e2uK/view?usp=sharing,Feuil1
Foin (Nord),شهريا,MENSUELLE,ديوان تربية الماشية و توفير المرعى,OEP,دينار/البالة,TND/balle,القرط (الشمال),,Feuil1
Foin ( Centre et Sud),شهريا,MENSUELLE,ديوان تربية الماشية و توفير المرعى,OEP,دينار/البالة,TND/balle,القرط (الوسط و الجنوب),,Feuil1
Paille (Nord),شهريا,MENSUELLE,ديوان تربية الماشية و توفير المرعى,OEP,دينار/البالة,TND/balle,التبن(الشمال),https://drive.google.com/file/d/1iZtM4wENQUfy3E4dSZw-kJeitEN_e2uK/view?usp=sharing,Feuil1
Paille ( Centre et Sud),شهريا,MENSUELLE,ديوان تربية الماشية و توفير المرعى,OEP,دينار/البالة,TND/balle,التبن (الوسط و الجنوب),,Feuil1
CF1 émietté (vrac),شهريا,MENSUELLE,المجمع المهني المشترك لمنتوجات الدواجن والأرانب,GIPAC,دينار/طن,TND/t,علف دجاج اللحم رقم1,,Feuil1
CF2 émietté (vrac),شهريا,MENSUELLE,المجمع المهني المشترك لمنتوجات الدواجن والأرانب,GIPAC,دينار/طن,TND/t,علف دجاج اللحم رقم2,,Feuil1
CF2 granulé (vrac),شهريا,MENSUELLE,المجمع المهني المشترك لمنتوجات الدواجن والأرانب,GIPAC,دينار/طن,TND/t,علف دجاج اللحم محبب رقم 2,,Feuil1
CF3 granulé (vrac),شهريا,MENSUELLE,المجمع المهني المشترك لمنتوجات الدواجن والأرانب,GIPAC,دينار/طن,TND/t,علف دجاج اللحم محبب رقم 3,,Feuil1
PP1,شهريا,MENSUELLE,المجمع المهني المشترك لمنتوجات الدواجن والأرانب,GIPAC,دينار/طن,TND/t,علف دجاج البيضPP1,,Feuil1
PP2,شهريا,MENSUELLE,المجمع المهني المشترك لمنتوجات الدواجن والأرانب,GIPAC,دينار/طن,TND/t,علف دجاج البيض PP2,,Feuil1
PP3 FARINE,شهريا,MENSUELLE,المجمع المهني المشترك لمنتوجات الدواجن والأرانب,GIPAC,دينار/طن,TND/t,علف دجاج البيض PP3,,Feuil1
PP4 FARINE,شهريا,MENSUELLE,المجمع المهني المشترك لمنتوجات الدواجن والأرانب,GIPAC,دينار/طن,TND/t,علف دجاج البيض   PP4,,Feuil1
