stations,p_ann_2022,p_ann_moy,ecart_pmm_p_moy,feuille
Ain Dekouk,10.5,,,Feuil1
Ajej EP,30.0,95.0,-65.0,Feuil1
Béni Barka,13.7,140.0,-126.3,Feuil1
Bir Amir EP,5.5,64.0,-58.5,Feuil1
Bir Lahmar CTV,33.5,139.0,-105.5,Feuil1
Borj Bourguiba EP,0.0,50.0,-50.0,Feuil1
Béni Mhira EP,34.3,123.0,-88.7,Feuil1
Chenini,10.0,103.0,-93.0,Feuil1
Déhibat CRA,37.7,90.0,-52.3,Feuil1
Douiret EP,9.0,114.0,-105.0,Feuil1
El Morra EP,30.5,99.0,-68.5,Feuil1
Smar CTV,48.0,131.0,-83.0,Feuil1
El Ferch EP,12.3,103.0,-90.7,Feuil1
Ghomrassen CTV,25.0,135.0,-110.0,Feuil1
Guermassa EP,14.8,127.0,-112.2,Feuil1
Jabbas,0.0,,,Feuil1
Kambout EP,26.0,50.0,-24.0,Feuil1
Maghni EP,26.0,72.0,-46.0,Feuil1
Maouna CRA,15.5,115.0,-99.5,Feuil1
Maztouria EP,38.5,132.0,-93.5,Feuil1
Messreb CRA,10.5,103.0,-92.5,Feuil1
Nekrif EP,28.0,59.0,-31.0,Feuil1
Oued El Khil EP,16.2,142.0,-125.8,Feuil1
Rass El Oued EP,4.5,85.0,-80.5,Feuil1
Remada CTV,10.0,87.0,-77.0,Feuil1
Remtha EP,4.4,55.0,-50.6,Feuil1
Bir 30 EP,15.7,90.0,-74.3,Feuil1
Tataouine CRDA,19.7,124.0,-104.3,Feuil1
Tataouine CTV,29.5,129.0,-99.5,Feuil1
