annee,ble_dur,ble_tendre,orge_et_triticale,feuille
1988,598,102,490,sup en 1000 ha
1989,825,174,711,sup en 1000 ha
1990,795,161,595,sup en 1000 ha
1991,894,179,589,sup en 1000 ha
1992,836,145,518,sup en 1000 ha
1993,909,178,575,sup en 1000 ha
1994,810,139,531,sup en 1000 ha
1995,774,139,427,sup en 1000 ha
1996,1190,167,736,sup en 1000 ha
1997,673,142,311,sup en 1000 ha
1998,822,144,480,sup en 1000 ha
1999,850,148,520,sup en 1000 ha
2000,857,134,597,sup en 1000 ha
2001,705,119,437,sup en 1000 ha
2002,639,117,404,sup en 1000 ha
2003,794,133,592,sup en 1000 ha
2004,881,154,608,sup en 1000 ha
2005,813,148,473,sup en 1000 ha
2006,857,143,588,sup en 1000 ha
2007,732,124,500,sup en 1000 ha
2008,649,136,548,sup en 1000 ha
2009,679,124,588,sup en 1000 ha
2010,596,118,520,sup en 1000 ha
2011,678,129,658,sup en 1000 ha
2012,663,126,639,sup en 1000 ha
2013,548,117,481,sup en 1000 ha
2014,596,125,590,sup en 1000 ha
2015,540,111,538,sup en 1000 ha
2016,515,95,516,sup en 1000 ha
2017,580,95,555,sup en 1000 ha
2018,534,85,535,sup en 1000 ha
2019,563,80,581,sup en 1000 ha
2020,543,63,568,sup en 1000 ha
2021,545,65,522,sup en 1000 ha
