designation,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,feuille
domestique branché Intérieur Tunisie,116.71518485321653,116.67677540149258,116.4688576930938,117.20663957051487,117.66690591573251,117.42558753907946,119.40486682533364,117.95932266912868,120.72903072814903,120.59150596080939,126.18042507706664,118.74060289360092,121.90340407278886,122.95017746770132,122.06028324804879,124.36834672000987,119.55495223715677,122.0,Feuil1
domestique branchéGrand Tunis,150.42354218602847,150.03476866609535,140.17841600069048,143.95988957292104,146.28126960527248,144.0860872743922,144.82669903602306,143.32925386543585,145.08343884003858,145.1147652055249,148.2458980293602,144.69444357274256,143.3215007672413,142.86542655907198,141.96167911233718,142.88316465024548,139.16014175198646,139.0,Feuil1
domestique branché Ensemble Tunisie,126.13463820058851,125.99340865451146,123.06584721743361,124.59912958875736,125.57120791562245,124.78756835929035,126.42049272884819,124.9562026814048,127.4490647357829,127.37029816498601,132.29678754167696,125.84498151710663,127.81997687520771,128.44411054483962,127.5440444250561,129.44314744988654,124.90723982385964,126.4,Feuil1
domestique non  branché Intérieur Tunisie,5234.362470862471,4953.56738391846,5352.401268821472,6377.789659241025,6988.630733944953,7815.568287037037,9503.186540731995,9393.004807692307,12329.130381303814,11999.433617539586,13496.26772616137,14272.062266500623,13340.24565756824,15832.97760210804,16562.13466666667,16987.40026954178,16906.152472527472,17072.0,Feuil1
domestique non  branché Grand Tunis,3380.5384615384614,3428.5714285714284,2880.6151848151853,3587.4241870842134,4285.949367088609,4291.75,4943.583333333333,5133.4285714285725,5746.511904761905,6892.781609195402,9282.423529411764,11762.361445783132,12408.10465116279,12449.602272727276,15546.558139534882,14212.609195402301,14699.162790697674,15965.0,Feuil1
domestique non  branché Ensemble Tunisie,5103.811484290358,4841.552990556139,5154.761052343295,6146.759399718365,6764.1177707676125,7516.939618644068,9091.793770139633,9002.38864628821,11712.697881828317,11510.13986784141,13099.615725359912,14036.954853273137,13250.37556053812,15481.45808736718,16457.661483253592,16696.19782870929,16672.98157248157,16959.0,Feuil1
