annee,delegation,nombre_centres_de_collecte_lait,capacite_de_refrigeration_litre_jour,quantite_collectee_tonne,feuille
2023,بنزرت الجنوبية,3,20000,97123.83,Feuil1
2023,منزل جميـــل,1,11000,43213.0,Feuil1
2023,تينجـــــــة,1,20000,6306.5599999999995,Feuil1
2023,ماطــــــر,2,41200,116412.87,Feuil1
2023,غزالـــــة,2,39000,120980.40000000001,Feuil1
2023,جوميــــن,3,55600,236684.37000000002,Feuil1
2023,سجنــــان,3,27200,171503.15,Feuil1
2023,العاليـــــة,2,29700,104723.81999999999,Feuil1
2023,راس الجبل,4,40400,109495.63,Feuil1
2023,غار الملــح,1,18200,42464.95,Feuil1
2023,أوتيــــــــك,6,86400,297538.73,Feuil1
2023,الجملة,28,388700,1346447.31,Feuil1
