annee,pays,export_valeurmille_dt,feuille
2019,France,20452.4,Feuil1
2019,Libye,340.5,Feuil1
2019,Qatar,956.4,Feuil1
2019,Koweit,1458.6,Feuil1
2019,Ar. Saoudite,6.2,Feuil1
2019,EAU,644.6,Feuil1
2019,Omen,343.7,Feuil1
2019,Allemagne,129.4,Feuil1
2019,Angleterre,89.0,Feuil1
2019,Italie,126.6,Feuil1
2019,Suède,320.6,Feuil1
2019,Suisse,19.5,Feuil1
2019,Canada,207.7,Feuil1
2020,France,16446.1,Feuil1
2020,Libye,6315.0,Feuil1
2020,Qatar,567.7,Feuil1
2020,Koweit,364.8,Feuil1
2020,Ar. Saoudite,27.1,Feuil1
2020,EAU,11.2,Feuil1
2020,Omen,98.0,Feuil1
2020,Allemagne,,Feuil1
2020,Angleterre,65.1,Feuil1
2020,Italie,,Feuil1
2020,Suède,,Feuil1
2020,Suisse,,Feuil1
2020,Canada,31.7,Feuil1
2021,France,22123.0,Feuil1
2021,Libye,11335.0,Feuil1
2021,Qatar,697.6,Feuil1
2021,Koweit,768.8,Feuil1
2021,Ar. Saoudite,31.5,Feuil1
2021,EAU,334.4,Feuil1
2021,Omen,,Feuil1
2021,Allemagne,,Feuil1
2021,Angleterre,,Feuil1
2021,Italie,69.2,Feuil1
2021,Suède,,Feuil1
2021,Suisse,,Feuil1
2021,Canada,221.0,Feuil1
2022,France,23176.0,Feuil1
2022,Libye,8049.0,Feuil1
2022,Qatar,325.1,Feuil1
2022,Koweit,629.1,Feuil1
2022,Ar. Saoudite,37.3,Feuil1
2022,EAU,43.6,Feuil1
2022,Omen,,Feuil1
2022,Allemagne,20.5,Feuil1
2022,Angleterre,,Feuil1
2022,Italie,,Feuil1
2022,Suède,,Feuil1
2022,Suisse,6.5,Feuil1
2022,Canada,181.0,Feuil1
2023,France,22413.5,Feuil1
2023,Libye,1672.0,Feuil1
2023,Qatar,474.1,Feuil1
2023,Koweit,825.4,Feuil1
2023,Ar. Saoudite,0.6,Feuil1
2023,EAU,14.9,Feuil1
2023,Omen,,Feuil1
2023,Allemagne,19.4,Feuil1
2023,Angleterre,,Feuil1
2023,Italie,,Feuil1
2023,Suède,,Feuil1
2023,Suisse,,Feuil1
2023,Canada,64.8,Feuil1
2024,France,26019.3,Feuil1
2024,Libye,1547.5,Feuil1
2024,Qatar,905.4,Feuil1
2024,Koweit,380.2,Feuil1
2024,Ar. Saoudite,48.2,Feuil1
2024,EAU,497.7,Feuil1
2024,Omen,,Feuil1
2024,Allemagne,14.5,Feuil1
2024,Angleterre,,Feuil1
2024,Italie,,Feuil1
2024,Suède,,Feuil1
2024,Suisse,,Feuil1
2024,Canada,,Feuil1
2025,France,17888.0,Feuil1
2025,Libye,13829.0,Feuil1
2025,Qatar,472.0,Feuil1
2025,Koweit,256.0,Feuil1
2025,Ar. Saoudite,46.0,Feuil1
2025,EAU,1146.0,Feuil1
2025,Omen,,Feuil1
2025,Allemagne,,Feuil1
2025,Angleterre,,Feuil1
2025,Italie,,Feuil1
2025,Suède,,Feuil1
2025,Suisse,,Feuil1
2025,Canada,169.0,Feuil1
