annee,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,feuille
production_أنتاج الحليب,1010,1030,1059,1096.0,1124.0,1175.0,1251.0,1376.0,1408.0,1424.0,1310.0,1352.0,1392.0,1462.0,1330.0,1224.0,1248.0,1230.0,Feuil1
lait consomé_أستهلاك حليب الشرب,326,276,264,335.5,304.0,296.0,347.5,392.1,441.3,449.8,395.2,443.8,418.3,495.2,414.6,318.6,325.5,311.4,Feuil1
collecte_الكميات المجمعة,595,602,650,664.0,709.2,747.7,782.9,847.9,865.2,891.97,845.44,852.3,880.5,855.0,811.5,776.2,747.3,724.3,Feuil1
quantité transferée au centrales laitieres_الكمية المرسلة للمركزيات,146,152,110,89.0,140.0,140.0,145.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,Feuil1
stock de regulation(decembre)_مخزون التعديل (ديسمبر),16,14,35,7.5,8.4,21.2,13.5,53.9,34.7,29.2,14.8,21.2,38.7,26.8,5.4,5.4,7.5,8.6,Feuil1
quantité transformée_كميات التصنيع,725,740,760,753.0,820.0,850.0,890.0,975.0,985.0,945.0,904.0,927.0,935.0,940.0,910.0,900.0,915.0,910.0,Feuil1
production lait de consommation_إنتاج حليب الشراب,419,400,456,447.0,509.0,510.0,546.0,610.0,600.0,617.0,583.0,592.0,646.0,616.0,554.0,553.0,557.0,553.0,Feuil1
produits derivés_إنتاج المشتقات,306,340,304,306.0,311.0,340.0,344.0,365.0,385.0,328.0,321.0,335.0,289.0,324.0,356.0,347.0,358.0,357.0,Feuil1
