date,gouvernorat,production_tonne,feuille
2019,تونس,0.0,Evo-grenadier
2019,أريانة,2396.0,Evo-grenadier
2019,منوبة,3540.0,Evo-grenadier
2019,بن عروس,1150.0,Evo-grenadier
2019,نابل,9500.0,Evo-grenadier
2019,بنزرت,1104.0,Evo-grenadier
2019,باجة,20000.0,Evo-grenadier
2019,جندوبة,3071.0,Evo-grenadier
2019,الكاف,285.0,Evo-grenadier
2019,سليانة,1120.0,Evo-grenadier
2019,زغوان,2821.0,Evo-grenadier
2019,سوسة,1236.0,Evo-grenadier
2019,المنستير,1600.0,Evo-grenadier
2019,المهدية,773.0,Evo-grenadier
2019,صفاقس,275.0,Evo-grenadier
2019,القيروان,13270.0,Evo-grenadier
2019,القصرين,300.0,Evo-grenadier
2019,سيدي بوزيد,2902.0,Evo-grenadier
2019,قفصة,570.0,Evo-grenadier
2019,توزر,1173.0,Evo-grenadier
2019,قبلي,250.0,Evo-grenadier
2019,قابس,30000.0,Evo-grenadier
2019,مدنين,455.0,Evo-grenadier
2019,تطاوين,254.0,Evo-grenadier
2018,تونس,0.0,Evo-grenadier
2018,أريانة,1896.0,Evo-grenadier
2018,منوبة,1400.0,Evo-grenadier
2018,بن عروس,1150.0,Evo-grenadier
2018,نابل,6729.0,Evo-grenadier
2018,بنزرت,1104.0,Evo-grenadier
2018,باجة,13000.0,Evo-grenadier
2018,جندوبة,2662.4,Evo-grenadier
2018,الكاف,241.0,Evo-grenadier
2018,سليانة,986.0,Evo-grenadier
2018,زغوان,1671.0,Evo-grenadier
2018,سوسة,2035.0,Evo-grenadier
2018,المنستير,1539.5,Evo-grenadier
2018,المهدية,712.0,Evo-grenadier
2018,صفاقس,228.0,Evo-grenadier
2018,القيروان,9564.0,Evo-grenadier
2018,القصرين,300.0,Evo-grenadier
2018,سيدي بوزيد,2670.0,Evo-grenadier
2018,قفصة,214.0,Evo-grenadier
2018,توزر,682.5,Evo-grenadier
2018,قبلي,200.0,Evo-grenadier
2018,قابس,25000.0,Evo-grenadier
2018,مدنين,510.0,Evo-grenadier
2018,تطاوين,200.0,Evo-grenadier
2017,تونس,0.0,Evo-grenadier
2017,أريانة,1260.0,Evo-grenadier
2017,منوبة,1400.0,Evo-grenadier
2017,بن عروس,1260.0,Evo-grenadier
2017,نابل,5485.0,Evo-grenadier
2017,بنزرت,1104.0,Evo-grenadier
2017,باجة,8500.0,Evo-grenadier
2017,جندوبة,883.0,Evo-grenadier
2017,الكاف,127.0,Evo-grenadier
2017,سليانة,856.0,Evo-grenadier
2017,زغوان,1121.0,Evo-grenadier
2017,سوسة,2035.0,Evo-grenadier
2017,المنستير,1512.0,Evo-grenadier
2017,المهدية,606.0,Evo-grenadier
