annee,delegation_ar,delegation_fr,total_population,populaion_rurale_desservie_gr_habitant,population_desservie_gr,populaion_rurales_desservie_sonede_habitant,population_desservie_sonede,total_population_desservie_habitant,population_totale_desservie,feuille
2024,باجة الشمالية,Béja Nord,22600,17090,0.7561946902654867,4970,0.21991150442477875,22060,0.9761061946902655,Feuil1
2024,باجة الجنوبية,Béja Sud,17309,6060,0.35010688081344965,11215,0.6479288231555838,17275,0.9980357039690334,Feuil1
2024,عمدون,Amdoun,16207,12257,0.7562781514160548,3532,0.21793052384772013,15789,0.9742086752637749,Feuil1
2024,مجاز الباب,Medjez El Bab,19869,3939,0.1982485278574664,15756,0.7929941114298656,19695,0.991242639287332,Feuil1
2024,تستور,Testour,20497,5626,0.2744791920768893,14839,0.723959603844465,20465,0.9984387959213543,Feuil1
2024,تبرسق,Téboursouk,10358,6153,0.5940335972195404,3721,0.35923923537362423,9874,0.9532728325931648,Feuil1
2024,قبلاط,Goubellat,11758,7994,0.6798775301922095,3747,0.31867664568804216,11741,0.9985541758802517,Feuil1
2024,تيبار,Thibar,11371,911,0.08011608477706446,10459,0.9197959722100079,11370,0.9999120569870724,Feuil1
2024,نفزة,Nefza,40531,27085,0.6682539290913129,12640,0.31186005773358666,39725,0.9801139868248995,Feuil1
2024,كامل الولاية,,170500,87223,0.5115718475073314,80879,0.4743636363636364,168102,0.9859354838709677,Feuil1
