annees,delegation,secteur,seuils_en_pierres_seches_ha,seuils_en_gabion_ha,amelioration_parcours_avec_sulla_ha,agroforesterie_ha,feuille
2018,تيبار,دجبة,0.0,0.0,12.0,52.85,Feuil1
2018,تيبار,عين الدفالي,0.0,0.0,8.0,37.15,Feuil1
2018,تبرسق,عين الحمام,0.0,0.0,0.0,16.25,Feuil1
2018,تبرسق,عين مليتي,0.0,0.0,23.0,47.35,Feuil1
2018,تبرسق,ريحانة,0.0,0.0,7.0,30.75,Feuil1
2018,تبرسق,بئر التوتة,0.0,0.0,10.0,10.65,Feuil1
2018,نفزة,زاقة,0.0,0.0,10.0,40.75,Feuil1
2018,نفزة,الجميلة,0.0,0.0,10.0,19.75,Feuil1
2018,نفزة,غياضة,0.0,0.0,10.0,16.0,Feuil1
2018,نفزة,الطبابة,0.0,0.0,10.0,21.0,Feuil1
2018,نفزة,واد المعدن,0.0,0.0,10.0,15.0,Feuil1
2018,نفزة,بوزنة,0.0,0.0,10.0,23.5,Feuil1
2018,نفزة,فطناسة,0.0,0.0,10.0,22.25,Feuil1
2018,نفزة,الظهيرات,0.0,0.0,10.0,44.25,Feuil1
2018,نفزة,نفزة الشرقية,0.0,0.0,0.0,18.5,Feuil1
2018,باجة الجنوبيّة,مستوتة,0.0,0.0,10.0,25.6,Feuil1
2018,باجة الجنوبيّة,سيدي إسماعيل,0.0,0.0,10.0,73.6,Feuil1
2018,باجة الجنوبيّة,المخشبية,0.0,0.0,10.0,25.8,Feuil1
2018,عمدون,زهرة مدين الجنوبيّة,0.0,0.0,10.0,21.4,Feuil1
2018,عمدون,المجالس,0.0,0.0,12.0,3.75,Feuil1
2018,عمدون,الفرايجية,0.0,0.0,10.0,0.5,Feuil1
2018,عمدون,الحمراء,0.0,0.0,5.0,19.4,Feuil1
2018,عمدون,الجوزة,0.0,0.0,11.0,3.75,Feuil1
2018,عمدون,غزية,0.0,0.0,10.0,2.8,Feuil1
2018,عمدون,بني مالك,0.0,0.0,12.0,7.4,Feuil1
2018,تستور,مزوغة,0.0,0.0,10.0,40.7,Feuil1
2018,تستور,زلدو,0.0,0.0,10.0,48.8,Feuil1
2018,مجاز الباب,توكابر,0.0,0.0,10.0,21.75,Feuil1
2018,مجاز الباب,شواش,0.0,0.0,5.0,10.75,Feuil1
2018,مجاز الباب,حيدوس,0.0,0.0,5.0,6.5,Feuil1
2018,قبلاط,قمرتي,0.0,0.0,12.0,17.2,Feuil1
2018,قبلاط,بئر العش,0.0,0.0,8.0,46.4,Feuil1
2018,قبلاط,قرام,0.0,0.0,0.0,29.05,Feuil1
2018,قبلاط,شيخ الوديان,0.0,0.0,0.0,6.0,Feuil1
2018,قبلاط,خشاب,0.0,0.0,0.0,54.35,Feuil1
2018,قبلاط,خنيقة الدهان,0.0,0.0,0.0,24.5,Feuil1
2017,تيبار,دجبة,0.0,0.0,11.0,29.8,Feuil1
2017,تيبار,عين الدفالي,0.0,0.0,9.0,35.2,Feuil1
2017,تبرسق,عين الحمام,0.0,0.0,0.0,2.3,Feuil1
2017,تبرسق,عين مليتي,0.0,0.0,15.0,37.7,Feuil1
2017,تبرسق,ريحانة,0.0,0.0,0.0,30.5,Feuil1
2017,تبرسق,بئر التوتة,0.0,0.0,5.0,26.5,Feuil1
2017,نفزة,زاقة,0.0,0.0,13.0,0.0,Feuil1
2017,نفزة,الجميلة,0.0,0.0,11.0,10.0,Feuil1
2017,نفزة,غياضة,0.0,0.0,6.5,0.0,Feuil1
2017,نفزة,الطبابة,0.0,0.0,6.5,0.0,Feuil1
2017,نفزة,واد المعدن,0.0,0.0,6.5,3.5,Feuil1
2017,نفزة,بوزنة,0.0,0.0,6.5,0.0,Feuil1
2017,نفزة,فطناسة,0.0,0.0,0.0,3.0,Feuil1
2017,نفزة,الظهيرات,0.0,10.15,10.0,0.0,Feuil1
2017,نفزة,نفزة الشرقية,0.0,0.0,0.0,0.0,Feuil1
2017,باجة الجنوبيّة,مستوتة,0.0,0.0,3.0,23.9,Feuil1
2017,باجة الجنوبيّة,سيدي إسماعيل,0.0,0.0,7.0,37.8,Feuil1
2017,باجة الجنوبيّة,المخشبية,0.0,0.0,5.0,28.8,Feuil1
2017,عمدون,زهرة مدين الجنوبيّة,0.0,0.0,9.0,27.8,Feuil1
2017,عمدون,المجالس,0.0,0.0,9.0,4.5,Feuil1
2017,عمدون,الفرايجية,0.0,0.0,9.0,7.3,Feuil1
2017,عمدون,الحمراء,0.0,0.0,9.0,5.9,Feuil1
2017,عمدون,الجوزة,6.27,5.89,9.0,9.4,Feuil1
2017,عمدون,غزية,0.0,0.0,3.0,8.9,Feuil1
2017,عمدون,بني مالك,0.0,0.0,9.0,11.4,Feuil1
2017,تستور,مزوغة,0.0,0.0,12.5,15.5,Feuil1
2017,تستور,زلدو,0.0,0.0,7.5,54.5,Feuil1
2017,مجاز الباب,توكابر,2.69,11.43,11.0,39.6,Feuil1
2017,مجاز الباب,شواش,5.39,12.71,4.0,20.4,Feuil1
2017,مجاز الباب,حيدوس,0.0,10.27,5.0,2.0,Feuil1
2017,قبلاط,قمرتي,0.0,0.0,5.0,19.8,Feuil1
2017,قبلاط,بئر العش,0.0,0.0,5.0,24.3,Feuil1
2017,قبلاط,قرام,0.0,0.0,0.0,11.0,Feuil1
2017,قبلاط,شيخ الوديان,0.0,0.0,0.0,3.2,Feuil1
2017,قبلاط,خشاب,0.0,0.0,0.0,38.7,Feuil1
2017,قبلاط,خنيقة الدهان,0.0,0.0,0.0,11.0,Feuil1
