annee,culture,superficie_hectare,feuille
2024,oignon,19.5,Feuil1
2024,ail,0.0,Feuil1
2024,carotte,16.7,Feuil1
2024,petit pois,8.0,Feuil1
2024,laitue,1.75,Feuil1
2024,feve,49.0,Feuil1
2024,navet,20.0,Feuil1
2024,divers,1.0,Feuil1
2024,legumes_feuille,30.0,Feuil1
2023,oignon,43.0,Feuil1
2023,ail,2.0,Feuil1
2023,carotte,36.0,Feuil1
2023,petit pois,38.0,Feuil1
2023,laitue,22.0,Feuil1
2023,feve,56.0,Feuil1
2023,navet,37.0,Feuil1
2023,divers,19.0,Feuil1
2023,legumes_feuille,55.0,Feuil1
2022,oignon,57.6,Feuil1
2022,ail,0.5,Feuil1
2022,carotte,47.7,Feuil1
2022,petit pois,32.0,Feuil1
2022,laitue,21.0,Feuil1
2022,feve,72.8,Feuil1
2022,navet,47.6,Feuil1
2022,divers,21.05,Feuil1
2022,legumes_feuille,85.5,Feuil1
2021,oignon,72.75999999999999,Feuil1
2021,ail,3.0,Feuil1
2021,carotte,74.0,Feuil1
2021,petit pois,58.0,Feuil1
2021,laitue,50.709999999999994,Feuil1
2021,feve,106.79999999999998,Feuil1
2021,navet,92.81,Feuil1
2021,divers,37.150000000000006,Feuil1
2021,legumes_feuille,135.76999999999998,Feuil1
2020,oignon,53.95,Feuil1
2020,ail,2.0,Feuil1
2020,carotte,55.0,Feuil1
2020,petit pois,45.4,Feuil1
2020,laitue,46.0,Feuil1
2020,feve,85.78,Feuil1
2020,navet,61.31,Feuil1
2020,divers,41.59,Feuil1
2020,legumes_feuille,109.74,Feuil1
2019,oignon,76.1,Feuil1
2019,ail,3.5,Feuil1
2019,carotte,60.72,Feuil1
2019,petit pois,71.0,Feuil1
2019,laitue,39.95,Feuil1
2019,feve,122.85,Feuil1
2019,navet,80.85000000000001,Feuil1
2019,divers,46.65,Feuil1
2019,legumes_feuille,117.58000000000001,Feuil1
2018,oignon,49.87,Feuil1
2018,ail,1.5,Feuil1
2018,carotte,53.96,Feuil1
2018,petit pois,34.300000000000004,Feuil1
2018,laitue,32.73,Feuil1
2018,feve,58.64999999999999,Feuil1
2018,navet,54.54,Feuil1
2018,divers,22.65,Feuil1
2018,legumes_feuille,88.0,Feuil1
2017,oignon,58.120000000000005,Feuil1
2017,ail,2.15,Feuil1
2017,carotte,31.359999999999996,Feuil1
2017,petit pois,32.57,Feuil1
2017,laitue,37.0,Feuil1
2017,feve,57.92,Feuil1
2017,navet,41.53,Feuil1
2017,divers,40.75,Feuil1
2017,legumes_feuille,76.0,Feuil1
2016,oignon,62.05,Feuil1
2016,ail,1.0,Feuil1
2016,carotte,35.33,Feuil1
2016,petit pois,20.5,Feuil1
2016,laitue,57.7,Feuil1
2016,feve,72.7,Feuil1
2016,navet,55.93,Feuil1
2016,divers,28.18,Feuil1
2016,legumes_feuille,111.0,Feuil1
2015,oignon,80.6,Feuil1
2015,ail,1.0,Feuil1
2015,carotte,67.2,Feuil1
2015,petit pois,65.5,Feuil1
2015,laitue,53.0,Feuil1
2015,feve,144.5,Feuil1
2015,navet,83.5,Feuil1
2015,divers,27.5,Feuil1
2015,legumes_feuille,115.0,Feuil1
2014,oignon,76.0,Feuil1
2014,ail,0.5,Feuil1
2014,carotte,76.45,Feuil1
2014,petit pois,50.8,Feuil1
2014,laitue,96.75,Feuil1
2014,feve,137.10000000000002,Feuil1
2014,navet,81.25,Feuil1
2014,divers,41.85,Feuil1
2014,legumes_feuille,140.0,Feuil1
2013,oignon,71.8,Feuil1
2013,ail,1.0,Feuil1
2013,carotte,48.150000000000006,Feuil1
2013,petit pois,46.9,Feuil1
2013,laitue,80.1,Feuil1
2013,feve,89.19999999999999,Feuil1
2013,navet,81.65,Feuil1
2013,divers,21.5,Feuil1
2013,legumes_feuille,149.0,Feuil1
