annee,delegation,superficie_pomme_de_terre_ha,production_pomme_de_terre_tonne,superficie_tomate_ha,production_tomate_tonne,superficie_piement_ha,production_piment_tonne,superficie_oignon_ha,production_oignon_tonne,superficie_melon_ha,production_melon_tonne,superficie_pasteque_ha,production_pasteque_tonne,superficie_concombre_ha,production_concombre_tonne,superficie_courge_ha,production_courge_tonne,superficie_legumes_a_feuille_ha,production_legumes_a_feuille_tonne,superficie_gnawia,production_gnawia_tonne,total_superficie_ha,total_production_tonne,feuille
2020,القيروان الشمالية,0,0.0,180,13500.0,200,2800.0,100,2000,10,270.0,10,300.0,5,135.0,5,125.0,50,600,0,0.0,560,19730,الخضروات الصيفية
2020,القيروان الجنوبية,30,810.0,350,26250.0,600,8400.0,25,500,150,4050.0,30,900.0,5,135.0,10,250.0,25,300,0,0.0,1225,41595,الخضروات الصيفية
2020,الشبيكة,10,270.0,320,24000.0,170,2380.0,130,2600,140,3780.0,100,3000.0,50,1350.0,20,500.0,15,180,20,460.0,975,38520,الخضروات الصيفية
2020,السبيخة,40,1080.0,200,15000.0,3450,48300.0,220,4400,40,1080.0,50,1500.0,50,1350.0,20,500.0,50,600,0,0.0,4120,73810,الخضروات الصيفية
2020,حفوز,85,2295.0,420,31500.0,260,3640.0,15,300,65,1755.0,160,4800.0,20,540.0,5,125.0,5,60,0,0.0,1035,45015,الخضروات الصيفية
2020,حاجب العيون,300,8100.0,30,2250.0,0,0.0,100,2000,0,0.0,0,0.0,5,135.0,10,250.0,5,60,0,0.0,450,12795,الخضروات الصيفية
2020,بوحجلة,5,135.0,100,7500.0,1560,21840.0,30,600,150,4050.0,250,7500.0,10,270.0,10,250.0,25,300,0,0.0,2140,42445,الخضروات الصيفية
2020,نصرالله,0,0.0,185,13875.0,220,3080.0,12,240,40,1080.0,70,2100.0,0,0.0,0,0.0,2,24,0,0.0,529,20399,الخضروات الصيفية
2020,الشراردة,280,7560.0,15,1125.0,40,560.0,5,100,5,135.0,30,900.0,5,135.0,0,0.0,10,120,0,0.0,390,10635,الخضروات الصيفية
2020,الوسلاتية,0,,0,,0,,5,100,0,,0,,0,,0,,3,36,0,,8,136,الخضروات الصيفية
2020,العلا,0,,0,,0,,8,160,0,,0,,0,,0,,10,120,0,,18,280,الخضروات الصيفية
2020,المجموع,750,20250.0,1800,135000.0,6500,91000.0,650,13000,600,16200.0,700,21000.0,150,4050.0,80,2000.0,200,2400,20,460.0,11450,305360,الخضروات الصيفية
2021,القيروان الشمالية,0,0.0,200,16000.0,200,3000.0,100,2000,10,270.0,10,300.0,2,60.0,5,125.0,50,600,0,0.0,577,22355,الخضروات الصيفية
2021,القيروان الجنوبية,20,560.0,640,51200.0,650,9750.0,40,800,140,3780.0,70,2100.0,20,600.0,5,125.0,30,360,0,0.0,1615,69275,الخضروات الصيفية
2021,الشبيكة,10,280.0,500,40000.0,100,1500.0,100,2000,120,3240.0,80,2400.0,10,300.0,10,250.0,10,120,0,0.0,940,50090,الخضروات الصيفية
2021,السبيخة,75,2100.0,150,12000.0,3420,51300.0,220,4400,40,1080.0,50,1500.0,60,1800.0,10,250.0,50,600,0,0.0,4075,75030,الخضروات الصيفية
2021,حفوز,130,3640.0,420,33600.0,145,2175.0,25,500,45,1215.0,150,4500.0,40,1200.0,5,125.0,5,60,0,0.0,965,47015,الخضروات الصيفية
2021,حاجب العيون,300,8400.0,20,1600.0,220,3300.0,100,2000,15,405.0,120,3600.0,20,600.0,15,375.0,5,60,0,0.0,815,20340,الخضروات الصيفية
2021,بوحجلة,5,140.0,80,6400.0,1800,27000.0,70,1400,120,3240.0,120,3600.0,10,300.0,5,125.0,40,480,0,0.0,2250,42685,الخضروات الصيفية
2021,نصرالله,5,140.0,250,20000.0,100,1500.0,25,500,30,810.0,25,750.0,5,150.0,0,0.0,5,60,0,0.0,445,23910,الخضروات الصيفية
2021,الشراردة,350,9800.0,80,6400.0,40,600.0,15,300,25,675.0,50,1500.0,3,90.0,0,0.0,0,0,0,0.0,563,19365,الخضروات الصيفية
2021,الوسلاتية,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0,الخضروات الصيفية
2021,العلا,5,140.0,10,800.0,25,375.0,5,100,5,135.0,25,750.0,0,0.0,5,125.0,5,60,0,0.0,85,2485,الخضروات الصيفية
2021,المجموع,900,25200.0,2350,188000.0,6700,100500.0,650,14000,550,14850.0,700,21000.0,170,5100.0,60,1500.0,200,2400,0,0.0,12330,372550,الخضروات الصيفية
2022,القيروان الشمالية,0,0.0,200,13000.0,250,3750.0,80,1600,0,0.0,5,150.0,5,150.0,1,25.0,45,540,0,0.0,586,19215,الخضروات الصيفية
2022,القيروان الجنوبية,5,140.0,700,45500.0,580,8700.0,100,2000,105,2835.0,90,2700.0,15,450.0,7,175.0,60,720,0,0.0,1662,63220,الخضروات الصيفية
2022,الشبيكة,15,420.0,450,29250.0,100,1500.0,120,2400,120,3240.0,100,3000.0,30,900.0,15,375.0,10,120,0,0.0,960,41205,الخضروات الصيفية
2022,السبيخة,40,1120.0,165,10725.0,3100,46500.0,128,2560,50,1350.0,62,1860.0,75,2250.0,9,225.0,65,780,0,0.0,3694,67370,الخضروات الصيفية
2022,حفوز,220,6160.0,400,26000.0,180,2700.0,12,240,50,1350.0,300,9000.0,50,1500.0,2,50.0,3,36,0,0.0,1225,47036,الخضروات الصيفية
2022,حاجب العيون,320,8960.0,50,3250.0,150,2250.0,70,1400,10,270.0,70,2100.0,5,150.0,10,250.0,5,60,0,0.0,690,18690,الخضروات الصيفية
2022,بوحجلة,15,420.0,80,5200.0,1800,2700.0,60,1200,120,3240.0,100,3000.0,10,300.0,1,25.0,50,600,0,0.0,2236,40985,الخضروات الصيفية
2022,نصرالله,0,0.0,45,2925.0,20,300.0,5,100,10,270.0,23,690.0,0,0.0,0,0.0,1,12,0,0.0,104,4297,الخضروات الصيفية
2022,الشراردة,280,7840.0,170,11050.0,20,300.0,5,100,30,810.0,30,900.0,0,0.0,0,0.0,1,12,0,0.0,536,21012,الخضروات الصيفية
2022,الوسلاتية,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0,الخضروات الصيفية
2022,العلا,20,560.0,5,325.0,0,0.0,0,0,5,135.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,30,1020,الخضروات الصيفية
2022,المجموع,915,25620.0,2265,147225.0,6200,93000.0,580,11600,500,13500.0,780,23400.0,190,5700.0,45,1125.0,240,2880,0,0.0,11743,342050,الخضروات الصيفية
