annee,delegation,vallees_public,vallees_prive,barrages_collinaires_public,barrages_collinaires_prive,lacs_collinaires_prive,oueds_sources_prive,total_public,total_prive,total,feuille
2020,Siliana  Nord,,,,431.0,200,,0.0,631,631,Feuil1
2020,Bouarada,,,83.0,94.0,16,,83.0,110,193,Feuil1
2020,Gaafour,,,165.0,25.0,12,,165.0,37,202,Feuil1
2020,El Krib,,,495.0,,42,,495.0,42,537,Feuil1
2020,Bourouis,,,,45.0,10,,0.0,55,55,Feuil1
2020,Makthar,,,20.0,220.0,210,,20.0,430,450,Feuil1
2020,Bargou,,,185.0,139.0,120,,185.0,259,444,Feuil1
2020,Kesra,,,,111.0,230,,0.0,341,341,Feuil1
2020,Rouhia,1455.0,,177.0,30.0,150,,1632.0,180,1812,Feuil1
2020,Siliana  Sud,,,95.0,150.0,200,,95.0,350,445,Feuil1
2020,Lâroussa,,,,155.0,10,,0.0,165,165,Feuil1
2020,Gouvernorat,1455.0,0.0,1220.0,1400.0,1200,0.0,2675.0,2600,5275,Feuil1
2021,Siliana  Nord,,,,431.0,200,,0.0,631,631,Feuil1
2021,Bouarada,,,83.0,94.0,16,,83.0,110,193,Feuil1
2021,Gaafour,,,165.0,25.0,12,,165.0,37,202,Feuil1
2021,El Krib,,,495.0,,42,,495.0,42,537,Feuil1
2021,Bourouis,,,,45.0,10,,0.0,55,55,Feuil1
2021,Makthar,,,20.0,220.0,210,,20.0,430,450,Feuil1
2021,Bargou,,,185.0,139.0,120,,185.0,259,444,Feuil1
2021,Kesra,,,,111.0,230,,0.0,341,341,Feuil1
2021,Rouhia,1455.0,,177.0,30.0,150,,1632.0,180,1812,Feuil1
2021,Siliana  Sud,,,95.0,150.0,200,,95.0,350,445,Feuil1
2021,Lâroussa,,,,155.0,10,,0.0,165,165,Feuil1
2021,Gouvernorat,1455.0,0.0,1220.0,1400.0,1200,0.0,2675.0,2600,5275,Feuil1
2022,Siliana  Nord,,,,431.0,200,,0.0,631,631,Feuil1
2022,Bouarada,,,83.0,94.0,16,,83.0,110,193,Feuil1
2022,Gaafour,,,165.0,25.0,12,,165.0,37,202,Feuil1
2022,El Krib,,,495.0,,42,,495.0,42,537,Feuil1
2022,Bourouis,,,,45.0,10,,0.0,55,55,Feuil1
2022,Makthar,,,20.0,220.0,210,,20.0,430,450,Feuil1
2022,Bargou,,,185.0,139.0,120,,185.0,259,444,Feuil1
2022,Kesra,,,,111.0,230,,0.0,341,341,Feuil1
2022,Rouhia,1455.0,,177.0,30.0,150,,1632.0,180,1812,Feuil1
2022,Siliana  Sud,,,95.0,150.0,200,,95.0,350,445,Feuil1
2022,Lâroussa,,,,155.0,10,,0.0,165,165,Feuil1
2022,Gouvernorat,1455.0,0.0,1220.0,1400.0,1200,0.0,2675.0,2600,5275,Feuil1
2023,Siliana  Nord,,,,,69,,,69,69,Feuil1
2023,Bouarada,,,,,66,,,66,66,Feuil1
2023,Gaafour,,,,,36,,,36,36,Feuil1
2023,El Krib,,,,,58,,,58,58,Feuil1
2023,Bourouis,,,,,35,,,35,35,Feuil1
2023,Makthar,,,,,188,,,188,188,Feuil1
2023,Bargou,,,,,195,,,195,195,Feuil1
2023,Kesra,,,,,350,,,350,350,Feuil1
2023,Rouhia,1455.0,,,,81,,1455.0,81,1536,Feuil1
2023,Siliana  Sud,,,,,79,,,79,79,Feuil1
2023,Lâroussa,,,,,43,,,43,43,Feuil1
2023,Gouvernorat,1455.0,0.0,,,1200,0.0,1455.0,1200,2655,Feuil1
2024,Siliana  Nord,,,,,69,,,69,69,Feuil1
2024,Bouarada,,,,,66,,,66,66,Feuil1
2024,Gaafour,,,,,36,,,36,36,Feuil1
2024,El Krib,,,,,58,,,58,58,Feuil1
2024,Bourouis,,,,,35,,,35,35,Feuil1
2024,Makthar,,,,,188,,,188,188,Feuil1
2024,Bargou,,,,,195,,,195,195,Feuil1
2024,Kesra,,,,,350,,,350,350,Feuil1
2024,Rouhia,1455.0,,,,81,,1455.0,81,1536,Feuil1
2024,Siliana  Sud,,,,,79,,,79,79,Feuil1
2024,Lâroussa,,,,,43,,,43,43,Feuil1
2024,Gouvernorat,1455.0,0.0,,,1200,0.0,1455.0,1200,2655,Feuil1
