type,annee,valeurs_dinars,volume_vendu_mɜ,feuille
maquis,2013,25820.0,26475.0,Feuil1
bois-sur-pieds,2013,3695590.0,97499.0,Feuil1
bois-faconnee,2013,404355.0,23196.0,Feuil1
maquis,2014,93000.0,47940.0,Feuil1
bois-sur-pieds,2014,6318720.0,212033.0,Feuil1
bois-faconnee,2014,430625.0,25707.0,Feuil1
maquis,2015,160300.0,28140.0,Feuil1
bois-sur-pieds,2015,5204910.0,236515.0,Feuil1
bois-faconnee,2015,704492.0,28992.0,Feuil1
maquis,2016,35950.0,17030.0,Feuil1
bois-sur-pieds,2016,3086350.0,88771.0,Feuil1
bois-faconnee,2016,746065.0,29052.0,Feuil1
maquis,2017,33900.0,14820.0,Feuil1
bois-sur-pieds,2017,2441560.0,113228.0,Feuil1
bois-faconnee,2017,1034577.0,33144.0,Feuil1
maquis,2018,162290.0,45535.0,Feuil1
bois-sur-pieds,2018,6900220.0,230094.0,Feuil1
bois-faconnee,2018,1397080.0,41727.0,Feuil1
maquis,2019,,,Feuil1
bois-sur-pieds,2019,441300.0,11245.0,Feuil1
bois-faconnee,2019,3240410.0,64946.0,Feuil1
maquis,2020,356150.0,22475.0,Feuil1
bois-sur-pieds,2020,6492250.0,197241.0,Feuil1
bois-faconnee,2020,15382.0,752450.0,Feuil1
maquis,2022,28900.0,8325.0,Feuil1
bois-sur-pieds,2022,9610030.0,260579.0,Feuil1
bois-faconnee,2022,1222160.0,25094.7,Feuil1
