annee,quantite_deau_produite_par_barrage_million_m3,quantite_deau_transferee_en_million_m3_par_an,feuille
2014,499.45957500000003,0.0,Feuil2
2015,519.176334,0.0,Feuil2
2016,550.586857,64.352421,Feuil2
2017,617.0157720000001,205.13415899999998,Feuil2
2018,531.549049,108.377754,Feuil2
2019,492.34743999999995,19.032271,Feuil2
2020,664.5622589999999,146.67498860278477,Feuil2
2021,657.7160440000001,162.25497000000001,Feuil2
2022,630.6861060000001,153.198984,Feuil2
2023,623.408675,212.152992,Feuil2
2024,402.181788,199.374115,Feuil2
