annee_trimestre,domestique_branche,domestique_non_branche,commerce,administration,municipal,industrie,tourisme,divers,feuille
2022 - 3T,3022164,794,76815,36080,12081,14662,1411,1782,Feuil1
2022 - 4T,3038334,779,77193,36053,12011,14425,1387,1736,Feuil1
2023 - 1T,3069240,777,78614,36391,12094,14678,1400,1874,Feuil1
2023- 2T,3090652,768,79552,36513,12170,14658,1415,1978,Feuil1
2023 - 3T,3099315,767,79831,36548,12163,14614,1421,2009,Feuil1
2023 - 4T,3108706,757,80262,36618,12182,14610,1426,2026,Feuil1
2024 - 1T,3115211,761,80838,36673,12182,14641,1425,2038,Feuil1
2024- 2T,3126763,761,81397,36733,12197,14635,1440,2062,Feuil1
2024 - 3T,3140176,762,81966,36758,12216,14631,1447,2137,Feuil1
2024 - 4T,3150395,764,82341,36848,12247,14608,1438,2201,Feuil1
