composante,date,datemin,prixmin,prixmax,prix,feuille
Ammonitre,2021-06-17,2021-06-17,,,497.5,Feuil1
DAP,2021-06-17,2021-06-17,,,620.0,Feuil1
Super 45,2021-06-17,2021-06-17,,,570.0,Feuil1
Acide phosphorique 50% 1,2021-06-17,2021-06-17,,,1500.0,Feuil1
Sulfate de potassium1,2021-06-17,2021-06-17,,,2600.0,Feuil1
Nitrate de calcium1,2021-06-17,2021-06-17,,,1450.0,Feuil1
Sulfate de magnésium1,2021-06-17,2021-06-17,,,1000.0,Feuil1
Acide humique1,2021-06-17,2021-06-17,,,4000.0,Feuil1
Chélate de fer1,2021-06-17,2021-06-17,,,23.5,Feuil1
Sulfate de Zinc,2021-06-17,2021-06-17,,,3500.0,Feuil1
Sulfate de manganèse,2021-06-17,2021-06-17,,,3500.0,Feuil1
Chélate de fer2,2021-06-17,2021-06-17,25.0,60.0,,Feuil1
Sulfate de potasse granulé,2021-06-17,2021-06-17,,,1150.0,Feuil1
Acide phosphorique 50% 2,2021-06-17,2021-06-17,,,2000.0,Feuil1
Sulfate de potassium2,2021-06-17,2021-06-17,2480.0,3200.0,,Feuil1
Nitrate de calcium2,2021-06-17,2021-06-17,1600.0,1800.0,,Feuil1
Sulfate de magnésium2,2021-06-17,2021-06-17,920.0,1200.0,,Feuil1
Nitrate de potassium,2021-06-17,2021-06-17,3200.0,5600.0,,Feuil1
Nitrate de magnésium,2021-06-17,2021-06-17,2000.0,2400.0,,Feuil1
Acide humique2,2021-06-17,2021-06-17,4500.0,9000.0,,Feuil1
Acide phosphorique 50% 1,2021-08-17,2021-06-17,,,1500.0,Feuil1
Sulfate de potassium1,2021-08-17,2021-06-17,,,2600.0,Feuil1
Nitrate de calcium1,2021-08-17,2021-06-17,,,1450.0,Feuil1
Sulfate de magnésium1,2021-08-17,2021-06-17,,,1000.0,Feuil1
Acide humique1,2021-08-17,2021-06-17,,,4000.0,Feuil1
Chélate de fer1,2021-08-17,2021-06-17,,,23.5,Feuil1
Sulfate de Zinc,2021-08-17,2021-06-17,,,3500.0,Feuil1
Sulfate de manganèse,2021-08-17,2021-06-17,,,3500.0,Feuil1
Chélate de fer2,2021-08-17,2021-06-17,25.0,60.0,,Feuil1
Sulfate de potasse granulé,2021-08-17,2021-06-17,,,1150.0,Feuil1
Acide phosphorique 50% 2,2021-08-17,2021-06-17,,,2000.0,Feuil1
Sulfate de potassium2,2021-08-17,2021-06-17,2480.0,3200.0,,Feuil1
Nitrate de calcium2,2021-08-17,2021-06-17,1600.0,1800.0,,Feuil1
Sulfate de magnésium2,2021-08-17,2021-06-17,920.0,1200.0,,Feuil1
Nitrate de potassium,2021-08-17,2021-06-17,3200.0,5600.0,,Feuil1
Nitrate de magnésium,2021-08-17,2021-06-17,2000.0,2400.0,,Feuil1
Acide humique2,2021-08-17,2021-06-17,4500.0,9000.0,,Feuil1
Ammonitre,2021-09-23,2021-06-17,,,720.0,Feuil1
DAP,2021-09-23,2021-06-17,,,820.0,Feuil1
Super 45,2021-09-23,2021-06-17,,,700.0,Feuil1
Acide phosphorique 50% 1,2021-09-23,2021-06-17,,,1500.0,Feuil1
