composante,frequence_ar,frequence,source_ar,source,unite_ar,unite,composante_ar,images,feuille
Ammonitre,سنويا,ANNUELLE,التعاضدية المركزية للحبوب,COCEBLE,دينار/طن,TND/t,الأمونيتر,,Feuil1
DAP,سنويا,ANNUELLE,التعاضدية المركزية للحبوب,COCEBLE,دينار/طن,TND/t,د.أ.ب,https://drive.google.com/file/d/1BQvUIHDmvz0vgr5p_2sFckdegopfgQf0/view?usp=sharing,Feuil1
Super 45,سنويا,ANNUELLE,التعاضدية المركزية للحبوب,COCEBLE,دينار/طن,TND/t,السوبر 45,https://drive.google.com/file/d/1Qq6_7EqYAr_vYqSf7VW_cGKJiqE-eb8l/view?usp=sharing,Feuil1
Acide phosphorique 50% 1,شهريا,MENSUELLE,المجمع المهني للغلال,GIFruit,دينار/طن,TND/t,الحامض الفوسفوري 50%(1),,Feuil1
Acide phosphorique 50% 2,شهريا,MENSUELLE,المندوبية الجهوية للتنمية الفلاحية بالقيروان,CRDA Kairouan,,TND/t,الحامض الفوسفوري 50%(2),,Feuil1
Sulfate de potassium1,شهريا,MENSUELLE,المجمع المهني للغلال,GIFruit,دينار/طن,TND/t,سلفات البوطاسيوم1,https://drive.google.com/file/d/1RAe9TEoswuHs4jfuHvJGaswLC_-Fp5fu/view?usp=sharing,Feuil1
Sulfate de potassium2,شهريا,MENSUELLE,المندوبية الجهوية للتنمية الفلاحية بالقيروان,CRDA Kairouan,دينار/طن,TND/t,سلفات البوطاسيوم2,,Feuil1
Nitrate de calcium1,شهريا,MENSUELLE,المجمع المهني للغلال,GIFruit,دينار/طن,TND/t,نترات الكلسيوم1,,Feuil1
Nitrate de calcium2,شهريا,MENSUELLE,المندوبية الجهوية للتنمية الفلاحية بالقيروان,CRDA Kairouan,دينار/طن,TND/t,نترات الكلسيوم2,,Feuil1
Sulfate de magnésium1,شهريا,MENSUELLE,المجمع المهني للغلال,GIFruit,دينار/طن,TND/t,سلفات المغنزيوم1,https://drive.google.com/file/d/1FjCsq2dW-gePqWeqAWAxBTqC9I2wi2td/view?usp=sharing,Feuil1
Sulfate de magnésium2,شهريا,MENSUELLE,المندوبية الجهوية للتنمية الفلاحية بالقيروان,CRDA Kairouan,دينار/طن,TND/t,سلفات المغنزيوم2,,Feuil1
Nitrate de potassium,شهريا,MENSUELLE,المندوبية الجهوية للتنمية الفلاحية بالقيروان,CRDA Kairouan,دينار/طن,TND/t,نترات البوطاسيوم,,Feuil1
Nitrate de magnésium,شهريا,MENSUELLE,المندوبية الجهوية للتنمية الفلاحية بالقيروان,CRDA Kairouan,دينار/طن,TND/t,نترات المغنزيوم,,Feuil1
Acide humique1,شهريا,MENSUELLE,المجمع المهني للغلال,GIFruit,دينار/طن,TND/t,حامض الهيومك1,,Feuil1
Acide humique2,شهريا,MENSUELLE,المندوبية الجهوية للتنمية الفلاحية بالقيروان,CRDA Kairouan,دينار/طن,TND/t,حامض الهيومك2,,Feuil1
Chélate de fer1,شهريا,MENSUELLE,المجمع المهني للغلال,GIFruit,دينار/كلغ,TND/t,حديد مخلبي1,,Feuil1
Chélate de fer2,شهريا,MENSUELLE,المندوبية الجهوية للتنمية الفلاحية بالقيروان,CRDA Kairouan,دينار/كلغ,TND/t,حديد مخلبي2,,Feuil1
Sulfate de Zinc,شهريا,MENSUELLE,المجمع المهني للغلال,GIFruit,دينار/طن,TND/t,سلفاط الزنك,https://drive.google.com/file/d/1Qq6_7EqYAr_vYqSf7VW_cGKJiqE-eb8l/view?usp=sharing,Feuil1
Sulfate de manganèse,شهريا,MENSUELLE,المجمع المهني للغلال,GIFruit,دينار/طن,TND/t,سلفاط المنغنيز,,Feuil1
Sulfate de potasse granulé,شهريا,MENSUELLE,المرصد الوطني للفلاحة,ONAGRI,دينار/طن,TND/t,سلفاط بوطاسيوم المحبب,,Feuil1
Ammonitre2,شهريا,MENSUELLE,المندوبية الجهوية للتنمية الفلاحية بالقيروان,CRDA Kairouan,دينار/طن,TND/t,الأمونيتر1,,Feuil1
DAP2,شهريا,MENSUELLE,المندوبية الجهوية للتنمية الفلاحية بالقيروان,CRDA Kairouan,دينار/طن,TND/t,د.أ.ب2,,Feuil1
Super 45(2),شهريا,MENSUELLE,المندوبية الجهوية للتنمية الفلاحية بالقيروان,CRDA Kairouan,دينار/طن,TND/t,السوبر 45(3),,Feuil1
Sulfate de potassium3,شهريا,MENSUELLE,المندوبية الجهوية للتنمية الفلاحية بنابل,CRDA Nabeul,دينار/طن,TND/t,سلفات البوطاسيوم3,,Feuil1
Nitrate de calcium3,شهريا,MENSUELLE,المندوبية الجهوية للتنمية الفلاحية بنابل,CRDA Nabeul,دينار/طن,TND/t,نترات الكلسيوم3,,Feuil1
Sulfate de magnésium3,شهريا,MENSUELLE,المندوبية الجهوية للتنمية الفلاحية بنابل,CRDA Nabeul,دينار/طن,TND/t,سلفات المغنزيوم3,,Feuil1
Acide humique3,شهريا,MENSUELLE,المندوبية الجهوية للتنمية الفلاحية بنابل,CRDA Nabeul,دينار/طن,TND/t,حامض الهيومك3,,Feuil1
Chélate de fer3,شهريا,MENSUELLE,المندوبية الجهوية للتنمية الفلاحية بنابل,CRDA Nabeul,دينار/كلغ,TND/t,حديد مخلبي3,,Feuil1
Nitrate de potassium3,شهريا,MENSUELLE,المندوبية الجهوية للتنمية الفلاحية بنابل,CRDA Nabeul,دينار/طن,TND/t,نترات البوطاسيوم3,,Feuil1
Nitrate de magnésium3,شهريا,MENSUELLE,المندوبية الجهوية للتنمية الفلاحية بنابل,CRDA Nabeul,دينار/طن,TND/t,نترات المغنزيوم3,,Feuil1
Sulfate de Zinc3,شهريا,MENSUELLE,المندوبية الجهوية للتنمية الفلاحية بنابل,CRDA Nabeul,دينار/طن,TND/t,سلفاط الزنك3,,Feuil1
Ammonitre3,شهريا,MENSUELLE,المندوبية الجهوية للتنمية الفلاحية بنابل,CRDA Nabeul,دينار/طن,TND/t,الأمونيتر3,,Feuil1
DAP3,شهريا,MENSUELLE,المندوبية الجهوية للتنمية الفلاحية بنابل,CRDA Nabeul,دينار/طن,TND/t,د.أ.ب3,,Feuil1
Super 45(3),شهريا,MENSUELLE,المندوبية الجهوية للتنمية الفلاحية بنابل,CRDA Nabeul,دينار/طن,TND/t,السوبر 45(3),,Feuil1
