الولاية_gouvernorat,المعتمدية_delegation,اسم_المجمع_gda,المساحة_القابلة_للري_sup_irriguable_ha,عدد_المستغلين_الفلاحين_nbr_beneficiere,feuille
القصرين,,البرج-الدغرة,78.0,39.0,PPI
القصرين,,القساسمية,69.0,42.0,PPI
القصرين,,هنشير الطويل,72.0,47.0,PPI
القصرين,,المكيمن واد الصيد,,,PPI
القصرين,,"س, حراث 5",50.0,20.0,PPI
القصرين,,وسنينت 1,44.0,14.0,PPI
القصرين,,الشعابنية,,,PPI
القصرين,,البشايرية,,,PPI
القصرين,,الدغرة الهرية,,,PPI
القصرين,,الدغرة-الزيتون,,,PPI
القصرين,,سيدي حراث 1,,,PPI
القصرين,,سيدي حمودة,45.0,36.0,PPI
القصرين,,الطوالبية2,,,PPI
القصرين,القصرين الشمالية,العريش,290.0,376.0,PPI
القصرين,,بولعابة,37.0,28.0,PPI
القصرين,,العصيلة,,,PPI
الكاف,القلعة الخصبة,SKD1,86.0,31.0,PPI
الكاف,,SKD2,37.0,25.0,PPI
الكاف,,SKD3,30.0,12.0,PPI
الكاف,,SKD5,50.0,12.0,PPI
الكاف,,SKD9,50.0,18.0,PPI
الكاف,,SKD13,120.0,23.0,PPI
الكاف,,SKD18,70.0,27.0,PPI
الكاف,,الخبابشة,42.0,42.0,PPI
الكاف,,الحمايزية,100.0,26.0,PPI
الكاف,تاجروين,سيدي عبد الباسط 1,44.0,25.0,PPI
الكاف,,سيدي عبد الباسط 2,66.0,25.0,PPI
الكاف,,القفا,80.0,21.0,PPI
الكاف,,الصلصالة,100.0,25.0,PPI
الكاف,,الحوض 1,66.0,13.0,PPI
الكاف,,جزة,66.0,47.0,PPI
الكاف,,منزل سالم,38.0,18.0,PPI
الكاف,,عين بابوش,80.0,42.0,PPI
الكاف,,الغيث,54.0,24.0,PPI
الكاف,,الحوض 5,70.0,24.0,PPI
الكاف,,سيدي عبد الباسط 3,40.0,18.0,PPI
الكاف,,فج علي بن سالم,40.0,18.0,PPI
الكاف,,المحاصيص,30.0,18.0,PPI
الكاف,قلعة سنان,الحميمة,95.0,18.0,PPI
الكاف,الجريصة,الطموح,50.0,19.0,PPI
المهدية,المهدية,الرحمة,96.0,98.0,PPI
المهدية,المهدية,بئر بن كاملة,154.0,95.0,PPI
المهدية,المهدية,الإنطلاقة,100.0,100.0,PPI
المهدية,المهدية,الدخيلة,40.0,45.0,PPI
المهدية,المهدية,التآزر,111.0,153.0,PPI
المهدية,قصور الساف,الإنطلاقة,46.0,90.0,PPI
المهدية,قصور الساف,ترشقة,62.0,62.0,PPI
المهدية,الشابة,الإزدهار,74.0,72.0,PPI
المهدية,الشابة,الجنان,0.0,0.0,PPI
المهدية,الشابة,الامل,0.0,0.0,PPI
المهدية,ملولش,الكرامة,60.0,51.0,PPI
المهدية,ملولش,الإنطلاقة,100.0,70.0,PPI
المهدية,ملولش,المنارة,0.0,0.0,PPI
المهدية,سيدي علوان,شمار,75.0,43.0,PPI
المهدية,سيدي علوان,قوناط,62.0,76.0,PPI
المهدية,سيدي علوان,زالبة 1,59.0,20.0,PPI
المهدية,سيدي علوان,زالبة 3,64.0,56.0,PPI
المهدية,سيدي علوان,واد باجة الجنوبية,40.0,19.0,PPI
المهدية,سيدي علوان,السعادة,109.0,50.0,PPI
المهدية,سيدي علوان,النزهة,39.0,52.0,PPI
المهدية,سيدي علوان,زردة,56.0,46.0,PPI
المهدية,سيدي علوان,واد باجة الشمالية,80.0,60.0,PPI
المهدية,الجم,الشياب,68.0,48.0,PPI
المهدية,الجم,الأمل,40.0,47.0,PPI
المهدية,الجم,الطواهرة,50.0,46.0,PPI
المهدية,الجم,الزغابنة,62.0,34.0,PPI
المهدية,السواسي,النور,55.0,31.0,PPI
المهدية,السواسي,الأمل,86.0,26.0,PPI
المهدية,السواسي,الطموح,0.0,0.0,PPI
المهدية,السواسي,الزعيرات,89.0,52.0,PPI
المهدية,شربان,الشهدة,41.0,52.0,PPI
المهدية,شربان,النجاح,37.0,63.0,PPI
المهدية,شربان,الإخلاص,37.0,28.0,PPI
المهدية,شربان,الحرية,89.0,67.0,PPI
المهدية,شربان,التوفيق,30.0,18.0,PPI
المهدية,أولاد الشامخ,أولاد الشامخ 6,63.0,115.0,PPI
المهدية,أولاد الشامخ,أولاد الشامخ 7,51.0,19.0,PPI
المهدية,أولاد الشامخ,البركة,39.0,16.0,PPI
المهدية,أولاد الشامخ,المستقبل,91.0,43.0,PPI
المهدية,أولاد الشامخ,المتجول,81.0,35.0,PPI
المهدية,أولاد الشامخ,الإنطلاقة,75.0,50.0,PPI
المهدية,أولاد الشامخ,المستقبل,61.0,35.0,PPI
المهدية,أولاد الشامخ,السلاطنة,62.0,38.0,PPI
المهدية,أولاد الشامخ,الأمل,0.0,0.0,PPI
المهدية,هبيرة,البركة,30.0,27.0,PPI
المهدية,هبيرة,الأمل,133.0,44.0,PPI
المهدية,هبيرة,الفوز,28.0,27.0,PPI
المهدية,هبيرة,وردة,66.0,36.0,PPI
المهدية,هبيرة,النجاح,62.0,31.0,PPI
المهدية,هبيرة,الإمتياز,68.0,30.0,PPI
المهدية,هبيرة,الكرامة,44.0,29.0,PPI
المهدية,هبيرة,الإنطلاقة,0.0,0.0,PPI
مدنين,بنقردان,بو حامد,,17.0,PPI
مدنين,سيدي مخلوف,تماسنت,38.0,64.0,PPI
مدنين,,عمرة,36.0,27.0,PPI
مدنين,,تبارقيت,,42.0,PPI
مدنين,,أم جمار,30.0,39.0,PPI
مدنين,مدنين الجنوبية,الحزمة 2,10.0,10.0,PPI
مدنين,,الحزمة 4,35.0,16.0,PPI
مدنين,,الحزمة 5,15.0,9.0,PPI
مدنين,,لصيفر,,32.0,PPI
مدنين,,ولجة الخضر,30.0,39.0,PPI
مدنين,بني خداش,منزلة مقر,20.0,14.0,PPI
مدنين,,البقباق,30.0,27.0,PPI
مدنين,,الفجيج,15.0,25.0,PPI
مدنين,مدنين الشمالية,حجر,,12.0,PPI
مدنين,,وادي موسى,69.0,44.0,PPI
مدنين,جربة,تالبت,,12.0,PPI
مدنين,,مغزال,,24.0,PPI
نابل,نابل,سوحيل,433.0,369.0,PPI
نابل,بني خيار,دار الأمين,102.0,74.0,PPI
نابل,,غرداية,114.0,84.0,PPI
نابل,دار شعبان,المسعدي,195.0,514.0,PPI
نابل,قربة,قرعة ساسي,120.0,75.0,PPI
نابل,,بني عيشون,194.0,110.0,PPI
نابل,,تازركة,217.0,150.0,PPI
نابل,,ديار الحجاج,1053.0,506.0,PPI
نابل,,خراز,160.0,40.0,PPI
نابل,الميدة,لبنة سد,450.0,115.0,PPI
نابل,,لبنة قرية,420.0,174.0,PPI
نابل,,تافلون,355.0,106.0,PPI
نابل,,مزقيدة,78.0,71.0,PPI
نابل,منزل تميم,التضامن,715.0,579.0,PPI
نابل,,منزل عيسى,15.0,15.0,PPI
نابل,,الملاعبي,150.0,22.0,PPI
نابل,,أركان,10.0,30.0,PPI
نابل,,القمبار,50.0,19.0,PPI
نابل,الهوارية,دار شيشو,672.0,538.0,PPI
نابل,,الشرف,250.0,98.0,PPI
نابل,,الكرمانية-بوكريم,100.0,120.0,PPI
نابل,,أبان,21.0,23.0,PPI
نابل,قليبية,الحجار,200.0,92.0,PPI
نابل,,تاوشت,74.0,29.0,PPI
نابل,,سد هميلة,150.0,22.0,PPI
نابل,تاكلسة,تاكلسة,1098.0,700.0,PPI
نابل,,بئر الزيت,144.0,101.0,PPI
نابل,,سيدي عيسى,552.0,145.0,PPI
نابل,سليمان,سليمان,1405.0,576.0,PPI
نابل,,بوشراي,2314.0,1030.0,PPI
نابل,,المرجى,1002.0,784.0,PPI
نابل,قرمبالية,فندق الجديد,1025.0,171.0,PPI
نابل,,سماش,1068.0,215.0,PPI
نابل,,تركي,1145.0,238.0,PPI
نابل,,نيانو,873.0,525.0,PPI
نابل,,الرشاد الطاحونة,107.0,32.0,PPI
نابل,بني خلاد,بني خلاد,1523.0,1151.0,PPI
نابل,,زاوية الجديدي,1181.0,1269.0,PPI
نابل,,القبة,1318.0,435.0,PPI
نابل,منزل بوزلفة,العهد الجديد,1106.0,329.0,PPI
نابل,,منزل بوزلفة,2683.0,1662.0,PPI
نابل,,العيثة,866.0,529.0,PPI
نابل,بوعرقوب,بوعرقوب,1158.0,893.0,PPI
نابل,الحمامات,سيدي الجديدي,193.0,32.0,PPI
نابل,,القطار,56.0,32.0,PPI
سليانة,"س,ج",مجمع غير محدث,43.0,39.0,PPI
سليانة,,سيدي حمادة,43.0,38.0,PPI
سليانة,,سيدي الناوي,24.0,13.0,PPI
سليانة,,سيدي منصور القابل,65.0,25.0,PPI
سليانة,,,37.0,15.0,PPI
سليانة,,التضامن,1319.0,102.0,PPI
سليانة,,فوار الجبسة,73.0,72.0,PPI
سليانة,,فوار السنوسي,50.0,39.0,PPI
سليانة,برقو,صدقة,157.0,100.0,PPI
سليانة,,صدقة 4,72.0,50.0,PPI
سليانة,,الدخيلة,47.0,26.0,PPI
سليانة,,الزيتونة (غير محدثة بامر),15.0,15.0,PPI
سليانة,,الامل,30.0,15.0,PPI
سليانة,,اولاد بن عمر,57.0,49.0,PPI
سليانة,,الطموح,185.0,47.0,PPI
سليانة,سليانة الشمالية,عين سليمان,26.0,35.0,PPI
سليانة,,مزرق الشمس,58.0,17.0,PPI
سليانة,,مديونة,87.0,22.0,PPI
سليانة,قعفور,الرحاحلة,31.0,13.0,PPI
سليانة,,الاحواز,1728.0,288.0,PPI
سليانة,,الامل مليتة,100.0,26.0,PPI
سليانة,,عين زريق,65.0,23.0,PPI
سليانة,الروحية,الروحية 1,110.0,108.0,PPI
سليانة,,الروحية 2,54.0,56.0,PPI
سليانة,,اولاد زينة,138.0,26.0,PPI
سليانة,,وادي العرعار,60.0,18.0,PPI
سليانة,,الحبابسة 2,40.0,22.0,PPI
سليانة,,الجريصي,38.0,18.0,PPI
سليانة,,الحميمة2,106.0,39.0,PPI
سليانة,,الروحية8,43.0,8.0,PPI
سليانة,الروحية,اولاد خضر,80.0,75.0,PPI
سليانة,,الشعابنية,26.0,26.0,PPI
سليانة,,السقيفة2,29.0,30.0,PPI
سليانة,,فندق دبيش المكثرية,50.0,42.0,PPI
سليانة,,السماتي,177.0,85.0,PPI
سليانة,,الشراردية,,,PPI
سليانة,,اولاد بلال,,,PPI
سليانة,,الحميمة 1,,,PPI
سليانة,,الهرية,1310.0,150.0,PPI
سليانة,كسرى,,40.0,9.0,PPI
سليانة,,اولا د الباهب,67.0,25.0,PPI
سليانة,,بئر النخلة,31.0,28.0,PPI
سليانة,مكثر,السوالم,89.0,22.0,PPI
سليانة,,واد الظل,20.0,37.0,PPI
سليانة,الكريب,برج المسعودي,50.0,16.0,PPI
سليانة,بوعرادة,سيدي خليف- سيدي جابر,872.0,314.0,PPI
سليانة,,عين زلال,83.0,28.0,PPI
سليانة,العروسة,العروسة,2692.0,358.0,PPI
صفاقس,العقارب,التربـة I,149.0,149.0,PPI
صفاقس,,التربـةII,76.0,64.0,PPI
صفاقس,,تربـة III,73.0,51.0,PPI
صفاقس,,التربة ديوان,45.0,19.0,PPI
صفاقس,,بوطليلة,70.0,74.0,PPI
صفاقس,الحنشة,الامتياز,85.0,87.0,PPI
صفاقس,,الزيتونة,111.0,56.0,PPI
صفاقس,,رحاحلـة,53.0,56.0,PPI
صفاقس,,الصفاء,70.0,15.0,PPI
صفاقس,منزل شاكر,قصر الريـح,65.0,50.0,PPI
صفاقس,,بوجمـــــل,71.0,26.0,PPI
صفاقس,,شعلاب,87.0,58.0,PPI
صفاقس,,الأعشــــــاش,70.0,83.0,PPI
صفاقس,,بئر الملولي,74.0,29.0,PPI
صفاقس,,بئر جابر,74.0,58.0,PPI
صفاقس,المحرس,سيدي غريب,70.0,56.0,PPI
صفاقس,جبنيانة,عجانقـة,103.0,133.0,PPI
صفاقس,,بطرية,60.0,49.0,PPI
صفاقس,,المناصريـة,99.0,109.0,PPI
صفاقس,,الحــزق 1,117.0,85.0,PPI
صفاقس,,الحــزق 2,121.0,,PPI
صفاقس,,الحوض,80.0,107.0,PPI
صفاقس,,الحمازة-بلتـش,88.0,60.0,PPI
صفاقس,العامرة,الطموح,48.0,42.0,PPI
صفاقس,,الفيض,65.0,125.0,PPI
صفاقس,,بليانــة,88.0,103.0,PPI
صفاقس,,الخشارمـة,82.0,28.0,PPI
صفاقس,,ذراع  بولايــش,102.0,125.0,PPI
صفاقس,,المهارة 1,50.0,,PPI
صفاقس,,المهارة 2,62.0,,PPI
صفاقس,الغريبة,جليديـة,175.0,87.0,PPI
صفاقس,قرقنة,الوسط,180.0,1945.0,PPI
صفاقس,,البركة,125.0,468.0,PPI
صفاقس,,البرج,128.0,380.0,PPI
صفاقس,طينة,المستقبل,452.0,7.0,PPI
صفاقس,الحنشة,الحنشة للمياه المعالجة,50.0,15.0,PPI
قفصة,المتلوي,سقدود 1,64.0,40.0,PPI
قفصة,,سقدود 2,160.0,102.0,PPI
قفصة,,سقدود,84.0,30.0,PPI
قفصة,,سقدود المتلوي,64.0,34.0,PPI
قفصة,,سقدود المتلوي 2,160.0,102.0,PPI
قفصة,ريشة النعام,ريشة النعام,56.0,25.0,PPI
قفصة,وادي السهيلي,وادي السهيلي,95.0,70.0,PPI
قفصة,وادي النقاز,وادي النقاز,56.0,31.0,PPI
قفصة,القصر,واحة القصر,578.0,1078.0,PPI
قفصة,لالة,واحة لالة,700.0,1172.0,PPI
قفصة,القطار,واحة القطار,530.0,1464.0,PPI
قفصة,قفصة الجنوب الغربي,واحة جنوب غربي قفصة,703.0,266.0,PPI
قفصة,قفصة القصبة,واحة القصبة,698.0,816.0,PPI
قفصة,معتمدية الرديف,سقدود 4,66.0,45.0,PPI
قفصة,,سقدود 5,50.0,35.0,PPI
قفصة,,تبديت 6 ' الأمان 'واد الجمل,72.0,29.0,PPI
قفصة,,الصوالحية,50.0,,PPI
قفصة,,تبديت 3 ' النور '- العبابسة,10.0,,PPI
قفصة,,تبديت عين الحمام,35.0,30.0,PPI
قفصة,,سقدود 3 ' الإنطلاقة ',28.8,,PPI
قفصة,,سقدود 3 ' CT5',50.0,32.0,PPI
قفصة,,سيدي منصور,,,PPI
قفصة,,تبديت 5 ' واد الرماد',58.0,24.0,PPI
قفصة,,تبديت 4 ' واد الناقص',54.0,24.0,PPI
قفصة,,تبديت 02,,,PPI
قفصة,معتمدية المتلوي,المزيرعة,20.0,50.0,PPI
قفصة,,السقي الخمايلية,,,PPI
قفصة,,السقي القبلي,20.0,20.0,PPI
قفصة,معتمدية السند,الصمايرية,57.0,59.0,PPI
قفصة,,مقسم السند,53.0,15.0,PPI
قفصة,,قرعة السند,50.0,40.0,PPI
قفصة,,ماجورة,30.0,30.0,PPI
قفصة,,القوســـة,23.0,,PPI
قفصة,معتمدية زانوش,بوشمال,44.0,28.0,PPI
قفصة,,زانوش المحطة,53.0,71.0,PPI
قفصة,,عبد الصادق,109.0,52.0,PPI
قفصة,,باطن زانوش,25.0,10.0,PPI
قفصة,,اللفاريت,32.0,,PPI
قفصة,,الشطايبية,,,PPI
قفصة,معتمدية القطار,نشيو الشرقية,20.0,11.0,PPI
قفصة,,السد 1,44.0,,PPI
قفصة,,السد 2,36.0,,PPI
قفصة,,تربنتة,25.0,14.0,PPI
قفصة,,ماجني,52.0,,PPI
قفصة,معتمدية سيدي بوبكر,سيدي بوبكر,300.0,150.0,PPI
قفصة,,بئر المنشر,,,PPI
قفصة,,الكدية,,,PPI
قفصة,,العزايز 04,,,PPI
قفصة,معتمدية أم العرائس,النـازيـة,25.0,,PPI
قفصة,,الشنوفية 2,78.0,31.0,PPI
قفصة,,عين أم العرائس,25.0,43.0,PPI
قفصة,,مـزرق الشمـس,39.0,29.0,PPI
قفصة,,هنشير القلال,25.0,26.0,PPI
قفصة,,أفضال 1,100.0,35.0,PPI
قفصة,,أفضال 2,62.0,34.0,PPI
قفصة,,بن عمار,74.0,73.0,PPI
قفصة,,القرار,112.0,,PPI
قفصة,,اللوزة 1,63.0,,PPI
قفصة,,اللوزة 2,58.0,,PPI
قفصة,,الـزنـايدية,45.0,,PPI
قفصة,,سيدي ناصر,50.0,40.0,PPI
قفصة,,البركة,20.0,58.0,PPI
قفصة,,السلوة,,,PPI
قفصة,معتمدية بلخير,عين برج الحفي,,,PPI
قفصة,,باطن أولاد منصور,,,PPI
قفصة,,عين البياضة,,,PPI
قفصة,,العيايشة السقي,10.0,10.0,PPI
قفصة,,حوال الواد 2,14.0,8.0,PPI
قفصة,,أولاد منصور 1,51.0,27.0,PPI
قفصة,,أولاد منصور 2,52.0,36.0,PPI
قفصة,,أولاد عمر الرواشد,65.0,27.0,PPI
قفصة,معتمدية سيدي عيش,سيدي عيش المركز,74.0,42.0,PPI
قفصة,,منزل قمودي,28.0,12.0,PPI
قفصة,,مقسم القرية,50.0,15.0,PPI
قفصة,,السوينية,51.0,26.0,PPI
قفصة,,القرية 1 مكرر,,,PPI
قفصة,,القرية 1,28.0,,PPI
قفصة,,القرية 02,,,PPI
قفصة,معتمدية قفصة الجنوبية,زهرة العلندة,35.0,35.0,PPI
قفصة,,العظلة الحمرة 02,,,PPI
قفصة,,خد رابح,,,PPI
قفصة,معتمدية قفصة الشمالية,"اولاد زيد م,س",55.0,,PPI
قفصة,,الزعابطية,54.0,,PPI
قفصة,,"متكيدس "" النور """,45.0,60.0,PPI
قفصة,,أولاد صالح,45.0,50.0,PPI
قفصة,,الزيتونة-الشبيبة,,,PPI
قفصة,,أولاد وهيبة الجبل (بالمحروقات),10.0,10.0,PPI
قفصة,,الخلايفية - العبايدية,,,PPI
قفصة,,العقيلة,117.0,35.0,PPI
قابس,قابس الجنوبية,غماقة,50.0,20.0,PPI
قابس,,ليماوة 1,116.0,85.0,PPI
قابس,,ليماوة 2,117.0,65.0,PPI
قابس,,ليماوة 3,150.0,110.0,PPI
قابس,,المدو,43.0,120.0,PPI
قابس,,شنتش,63.0,104.0,PPI
قابس,,تمولة 1,39.0,79.0,PPI
قابس,,تمولة 2,40.0,73.0,PPI
قابس,,زريق الدخلانية,18.0,190.0,PPI
قابس,,تبلبو الشرقية,611.0,787.0,PPI
قابس,,تبلبو الغربية,265.0,310.0,PPI
قابس,,الموازير,63.0,36.0,PPI
قابس,,العيثة,22.0,22.0,PPI
قابس,,ليماوة 5,159.0,64.0,PPI
قابس,قابس الغربية,قابس العليا,170.0,635.0,PPI
قابس,,شط الفريك,30.0,105.0,PPI
قابس,,بوشمة,145.0,400.0,PPI
قابس,,واد خليفة محمود,33.0,52.0,PPI
قابس,,الرماثي 1,113.0,46.0,PPI
قابس,,الرماثي 2,151.0,52.0,PPI
قابس,,الهباجي,42.0,16.0,PPI
قابس,قابس المدينة,قابس الوسطى,300.0,750.0,PPI
قابس,,قابس البحرية,290.0,400.0,PPI
قابس,غنوش,بئر محجوب,295.0,620.0,PPI
قابس,,بئر سالم,113.0,140.0,PPI
قابس,,بئر فيصل,110.0,300.0,PPI
قابس,,بئر السبوعي,49.0,70.0,PPI
قابس,,بئر المزيرع,210.0,300.0,PPI
قابس,المطوية,المطوية,270.0,250.0,PPI
قابس,,العوينات 1,65.0,16.0,PPI
قابس,,العوينات 2,168.0,36.0,PPI
قابس,,مزرع العين,109.0,30.0,PPI
قابس,,وذرف,270.0,500.0,PPI
قابس,مطماطة الجديدة,الأعراض 1,132.0,56.0,PPI
قابس,,الأعراض 3,57.0,96.0,PPI
قابس,,قروع اللطايفة,115.0,139.0,PPI
قابس,,هنشير جحة,92.0,50.0,PPI
قابس,,بني زلطن,65.0,76.0,PPI
قابس,,مطماطة 5,101.0,54.0,PPI
قابس,,الزراوة,103.0,31.0,PPI
قابس,,العيثة 1,135.0,90.0,PPI
قابس,,العيثة 2,93.0,33.0,PPI
قابس,,العيثة 3,76.0,31.0,PPI
قابس,,بني عيسى,73.0,27.0,PPI
قابس,الحامة,قليب الدخان,70.0,120.0,PPI
قابس,,واحة الحامة,505.0,1200.0,PPI
قابس,,بشيمة 1,224.0,600.0,PPI
قابس,,بشيمة 2,194.0,570.0,PPI
قابس,,شانشو 1,90.0,52.0,PPI
قابس,,شانشو 2,78.0,12.0,PPI
قابس,,شانشو 3,202.0,60.0,PPI
قابس,,العداونة,75.0,320.0,PPI
قابس,,مزيرع الحامة,119.0,200.0,PPI
قابس,,التكوري,59.0,83.0,PPI
قابس,,وادي النخلة,30.0,20.0,PPI
قابس,,بن غيلوف,220.0,470.0,PPI
قابس,,جرودي,101.0,80.0,PPI
قابس,,أولاد عمارة,80.0,120.0,PPI
قابس,,الشارب,53.0,50.0,PPI
قابس,,باطن الشيحية,86.0,83.0,PPI
قابس,,الخبايات,153.0,100.0,PPI
قابس,,المقسم 1,136.0,83.0,PPI
قابس,,المقسم 2,85.0,83.0,PPI
قابس,,شانشو4,247.0,35.0,PPI
قابس,,شانشو 5,52.0,72.0,PPI
قابس,,القريعي,135.0,65.0,PPI
قابس,,واد الشركة,53.0,12.0,PPI
قابس,,واد النور,137.0,200.0,PPI
قابس,مـارث,الزركين 2,180.0,114.0,PPI
قابس,,الزركين 1و3,195.0,257.0,PPI
قابس,,عيون الزركين,50.0,100.0,PPI
قابس,,المادسية,86.0,65.0,PPI
قابس,,الشباب,113.0,17.0,PPI
قابس,,سيدي سلام,138.0,70.0,PPI
قابس,,كتانة 1,144.0,120.0,PPI
قابس,,كتانة 3,128.0,290.0,PPI
قابس,,كتانة 4,122.0,129.0,PPI
قابس,,زريق البرانية,176.0,336.0,PPI
قابس,,الغندري,37.0,80.0,PPI
قابس,,مارث 1,120.0,310.0,PPI
قابس,,مارث 2,195.0,370.0,PPI
قابس,,مارث 3,48.0,83.0,PPI
قابس,,مارث 5,123.0,135.0,PPI
قابس,,مارث 6,88.0,55.0,PPI
قابس,,سقي,225.0,285.0,PPI
قابس,,وادي الغيران,38.0,48.0,PPI
قابس,,عيشون,110.0,100.0,PPI
قابس,,الزارات 1,79.0,335.0,PPI
قابس,,الزارات2,198.0,408.0,PPI
قابس,,عرام,167.0,156.0,PPI
قابس,,الحني,70.0,65.0,PPI
قابس,,السقي 3,70.0,75.0,PPI
قابس,,السدرية,134.0,51.0,PPI
قابس,,واريفن,120.0,93.0,PPI
قابس,,مزرع بن سلامة,110.0,95.0,PPI
قابس,,زقابة,110.0,90.0,PPI
قابس,,مزرع يوسف,87.0,92.0,PPI
قابس,,شط العوامر,67.0,95.0,PPI
قابس,منزل الحبيب,واد زايد,56.0,28.0,PPI
قابس,منزل الحبيب,العوسج,54.0,54.0,PPI
قابس,منزل الحبيب,زقراطة,12.0,12.0,PPI
القيروان,السبيخة,عين بومرة 1,300.0,194.0,PPI
القيروان,السبيخة,عين بومرة 2,538.0,233.0,PPI
القيروان,السبيخة,عين بومرة 3,324.0,121.0,PPI
القيروان,السبيخة,فضلون,162.0,78.0,PPI
القيروان,السبيخة,دار الجمعية,300.0,137.0,PPI
القيروان,السبيخة,سيسب 1,70.0,38.0,PPI
القيروان,السبيخة,الجلاصي,130.0,43.0,PPI
القيروان,السبيخة,الطرابلسية,130.0,49.0,PPI
القيروان,السبيخة,الغزلة,96.0,73.0,PPI
القيروان,السبيخة,الصوايدية,86.0,32.0,PPI
القيروان,السبيخة,الخريوع 1,84.0,41.0,PPI
القيروان,السبيخة,الختم,66.0,55.0,PPI
القيروان,السبيخة,سيدي ناجي,94.0,14.0,PPI
القيروان,السبيخة,الشوايحية,71.0,39.0,PPI
القيروان,السبيخة,سرديانة الواد,90.0,103.0,PPI
القيروان,حفوز,الزبارة 1,240.0,87.0,PPI
القيروان,حفوز,طرزة,144.0,45.0,PPI
القيروان,حفوز,خيط الواد,42.0,60.0,PPI
القيروان,حفوز,العين البيضاء 2,101.0,112.0,PPI
القيروان,حفوز,الحوفية الجنوبية,31.0,32.0,PPI
القيروان,حفوز,العين البيضاء 3,100.0,25.0,PPI
القيروان,حفوز,الزبارة 2,76.0,63.0,PPI
القيروان,حفوز,الحراملية,40.0,40.0,PPI
القيروان,حفوز,خيط الوادي 2,40.0,40.0,PPI
القيروان,الوسلاتية,هندي العمري,65.0,31.0,PPI
القيروان,الوسلاتية,عين مستور,45.0,22.0,PPI
القيروان,الوسلاتية,عرقوب المعزة,83.0,33.0,PPI
القيروان,الوسلاتية,بوخبزة,70.0,49.0,PPI
القيروان,الوسلاتية,بوخبزة 2,70.0,39.0,PPI
القيروان,الحاجب,الحاجب 9,110.0,58.0,PPI
القيروان,الحاجب,الحاجب 1,135.0,50.0,PPI
القيروان,الحاجب,الحاجب 2,190.0,180.0,PPI
القيروان,الحاجب,النقاقطة 1 و 2,148.0,73.0,PPI
القيروان,الحاجب,الغويبة السودة,20.0,10.0,PPI
القيروان,الحاجب,القنطرة المقود,348.0,34.0,PPI
القيروان,الحاجب,النقاقطة 3,85.0,20.0,PPI
القيروان,الحاجب,النقاقطة 4,100.0,40.0,PPI
القيروان,الحاجب,رحيمة اولاد الحاج,70.0,12.0,PPI
القيروان,الحاجب,الرحيمة 2,105.0,39.0,PPI
القيروان,نصر الله,سيدي منصور,1680.0,135.0,PPI
القيروان,نصر الله,سيدي سعد,1209.0,47.0,PPI
القيروان,نصر الله,الطويلة,970.0,148.0,PPI
القيروان,نصر الله,المطار,140.0,47.0,PPI
القيروان,نصر الله,حدائق نصر الله,140.0,35.0,PPI
القيروان,بوحجلة,الشيحة,120.0,80.0,PPI
القيروان,بوحجلة,زعفرانة 5-6,130.0,62.0,PPI
القيروان,بوحجلة,زعفرانة 2,115.0,30.0,PPI
القيروان,بوحجلة,بئر الجديد,100.0,66.0,PPI
القيروان,بوحجلة,بوساري,79.0,70.0,PPI
القيروان,بوحجلة,القطيطير أولاد عاشور,65.0,15.0,PPI
القيروان,بوحجلة,دوار العضلة,92.0,107.0,PPI
القيروان,بوحجلة,زعفرانة 3,120.0,67.0,PPI
القيروان,بوحجلة,عقلة اللبية,49.0,20.0,PPI
القيروان,بوحجلة,هنشير حفيظ,106.0,39.0,PPI
القيروان,الشراردة,القصور 1,106.0,36.0,PPI
القيروان,الشراردة,القصور 2,103.0,25.0,PPI
القيروان,الشبيكة,سيدي علي بن سالم 1,125.0,45.0,PPI
القيروان,الشبيكة,سيدي علي بن سالم 2,195.0,59.0,PPI
القيروان,الشبيكة,هنشير بوعلي,126.0,38.0,PPI
القيروان,الشبيكة,سيدي علي بن سالم 3,165.0,23.0,PPI
القيروان,الشبيكة,المجايرة,139.0,40.0,PPI
القيروان,الشبيكة,الشبيكة الغربية,195.0,59.0,PPI
القيروان,الشبيكة,الشبيكة الشرقية,156.0,37.0,PPI
القيروان,الشبيكة,الكرمة 1,90.0,40.0,PPI
القيروان,الشبيكة,الكرمة 2,80.0,40.0,PPI
القيروان,الشبيكة,الهوارب 1,180.0,180.0,PPI
القيروان,الشبيكة,الهوارب 2,180.0,180.0,PPI
القيروان,الشبيكة,الهوارب 3,180.0,180.0,PPI
القيروان,الشبيكة,ذراع عفان,70.0,37.0,PPI
القيروان,الشبيكة,المجاهدين,80.0,35.0,PPI
القيروان,الشبيكة,هنشير الجفنة,430.0,205.0,PPI
القيروان,الشبيكة,الجلايصية,65.0,70.0,PPI
القيروان,الشبيكة,الاجيفر,38.0,13.0,PPI
القيروان,الشبيكة,هنشير البرج,84.0,22.0,PPI
القيروان,الشبيكة,الوصيف,32.0,6.0,PPI
القيروان,الشبيكة,الملالسة,136.0,62.0,PPI
القيروان,الشبيكة,الجبيسة,73.0,81.0,PPI
القيروان,القيروان الجنوبية,العوجة,246.0,51.0,PPI
القيروان,القيروان الجنوبية,النبش الشرقية,81.0,42.0,PPI
القيروان,القيروان الجنوبية,الحمباز,60.0,39.0,PPI
القيروان,القيروان الجنوبية,أولاد نهار,190.0,195.0,PPI
