nbr_projets,inv_approuve,prime_approuvee,nbr_emploi,gouv_ar,gouv_fr,delegation_ar,delegation_fr,secteur_act_ar,secteur_act_ar_1,mois_ar,mois_fr,annee_doa,feuille
5,276434,66713,8,زغوان,ZAGHOUANE,بئر مشارقة,BIR MCHARGA,الفلاحي,AGRICULTURE,جوان,juin,2010,SQL Results
4,345397,80915,7,سيدي بوزيد,SIDI BOUZIDE,الرقاب,ERGAB,الفلاحي,AGRICULTURE,ماي,mai,2010,SQL Results
3,32731,11115,3,قابس,GABES,مطماطة الجديدة,MATMATA ELJADIDA,الفلاحي,AGRICULTURE,أفريل,avr.,2010,SQL Results
2,139000,8734,2,القيروان,KAIROUAN,الشبيكة,CHBIKA,الخدمات,SERVICE,مارس,mars,2010,SQL Results
1,264000,51665,3,مدنين,MEDENINE,مدنين الجنوبية,MEDNIN SUD,الفلاحي,AGRICULTURE,فيفري,févr.,2010,SQL Results
8,456466,89777,15,القصرين,KASSERINE,سبيطلة,SBITLA,الفلاحي,AGRICULTURE,أفريل,avr.,2010,SQL Results
4,256500,49789,4,الكاف,KEF,ساقية سيدي يوسف,SAKIYET SIDI YOUSSEF,الفلاحي,AGRICULTURE,ماي,mai,2011,SQL Results
6,2525000,193500,17,بن عروس,BEN AROUSSE,مرناق,MORNAG,الفلاحي,AGRICULTURE,ديسمبر,déc.,2010,SQL Results
3,50981,16006,3,باجة,BEJA,باجة الجنوبية,BEJA SUD,الفلاحي,AGRICULTURE,أكتوبر,oct.,2010,SQL Results
4,252000,38369,8,القيروان,KAIROUAN,الشبيكة,CHBIKA,الفلاحي,AGRICULTURE,سبتمبر,sept.,2010,SQL Results
1,42000,2570,1,المنستير,MOUNASTIR,البقا لطة,BKALTA,الخدمات,SERVICE,ماي,mai,2011,SQL Results
3,407900,69213,4,مدنين,MEDENINE,بن قردان,BEN GERDAN,الفلاحي,AGRICULTURE,ماي,mai,2011,SQL Results
2,310416,67313,4,قفصة,GAFSA,القطار,ALKATAR,الفلاحي,AGRICULTURE,ديسمبر,déc.,2010,SQL Results
1,48500,3105,1,سوسة,SOUSSE,سيدي بوعلي,SIDI BOUALI,الخدمات,SERVICE,مارس,mars,2011,SQL Results
5,114000,26602,6,القيروان,KAIROUAN,الشراردة,CHRARDA,الفلاحي,AGRICULTURE,ديسمبر,déc.,2010,SQL Results
1,43000,2980,1,سوسة,SOUSSE,القلعة الكبرى,KALAA ELKOUBRA,الخدمات,SERVICE,جويلية,juill.,2011,SQL Results
4,297990,73994,5,باجة,BEJA,باجة الشما لية,BEJANORD,الفلاحي,AGRICULTURE,جانفي,janv.,2011,SQL Results
2,49230,3445,2,نابل,NABEUL,دار شعبان الفهري,DAR CHAABEN EL FEHRI,الخدمات,SERVICE,مارس,mars,2011,SQL Results
5,157921,34936,5,باجة,BEJA,مجاز الباب,MJEZ ELBEB,الفلاحي,AGRICULTURE,جويلية,juill.,2011,SQL Results
4,320186,15517,7,جندوبة,JENDOUBA,فرنانة,FERNANA,الخدمات,SERVICE,جويلية,juill.,2011,SQL Results
2,291875,50788,4,مدنين,MEDENINE,بني خداش,BENI KHEDECH,الفلاحي,AGRICULTURE,ديسمبر,déc.,2010,SQL Results
