crda,perimetres_irrigues,annee_de_mise_en_service,1996_1997,1997_1998,1998_1999,1999_2000,2000_2001,2001_2002,2002_2003,2003_2004,2004_2005,2005_2006,2006_2007,2007_2008,2008_2009,2009_2010,2010_2011,2011_2012,2013_2014,2014_2015,2015_2016,2016_2017,2017_2018,2018_2019,2019_2020,2020_2021,2021_2022,feuille
MONASTIR,Ouerdanine,1997.0,17000.0,25000.0,30000.0,70000.0,80000.0,100000.0,90000.0,90000.0,130000.0,130000.0,230000.0,140000.0,135000.0,140000.0,140000.0,140000.0,140000.0,140000.0,140000.0,140000.0,174000.0,170000.0,180000.0,175000.0,280000.0,Sheet1
MAHDIA,Dkhila,2021.0,,,,,,,,,,,,,,,,,,,,,,,,,95000.0,Sheet1
KAIROUAN,Dhraa Tammar,1989.0,320443.0,142196.0,183499.0,245000.0,433782.0,374868.0,137646.0,150000.0,150000.0,170000.0,87200.0,190000.0,190000.0,108000.0,73000.0,0.0,0.0,500000.0,1500000.0,1011096.0,1260000.0,922140.0,980000.0,980000.0,926784.0,Sheet1
KASSERINE,Oued Essid,1998.0,,,241650.0,290138.0,292068.0,463212.0,299754.0,131724.0,143460.0,144000.0,278280.0,404631.0,479341.0,529000.0,529000.0,455112.0,345168.0,289710.0,315144.0,237846.0,498563.0,231220.0,254236.0,307476.0,267624.0,Sheet1
KASSERINE,Sbeitla,2009.0,,,,,,,,,,,,,,250000.0,250000.0,280000.0,28000.0,,28000.0,145260.0,0.0,0.0,,,,Sheet1
SFAX,El Hajeb,1987.0,1600000.0,2400000.0,2250000.0,1171214.0,2300000.0,2800000.0,2010000.0,2010000.0,2000000.0,2010000.0,1860000.0,2480000.0,2500000.0,3038000.0,1650000.0,3038000.0,2160500.0,2249836.0,2532092.0,2795586.0,786495.0,1513535.0,1138945.0,884558.0,1809596.0,Sheet1
SFAX,El Hancha,2010.0,,,,,,,,,,,,,,300000.0,300000.0,300000.0,32000.0,0.0,6000.0,10000.0,0.0,0.0,,18000.0,6000.0,Sheet1
GAFSA,Aguila,1994.0,,,,984960.0,658584.0,821272.0,975648.0,1028412.0,1551384.0,962158.0,1059546.0,1326326.0,1208308.0,888077.0,617569.0,1251586.0,917702.0,1198283.0,1064087.0,1254332.0,836221.0,760320.0,1099764.0,1406352.0,1518048.0,Sheet1
GABES,Dissa,,,,129640.0,1107625.0,1282854.0,1406871.0,930000.0,1041000.0,1174000.0,600000.0,822742.0,966000.0,1100000.0,1307942.0,1249419.0,1456905.0,1293606.0,1090744.0,1604590.0,780575.0,1000000.0,1676880.0,1676880.0,450720.0,314496.0,Sheet1
GABES,El Hamma,2007.0,,,,,,,,,,,,200000.0,210000.0,210000.0,230000.0,193941.0,48000.0,152479.0,209216.0,216632.0,216630.0,259200.0,259200.0,633600.0,978480.0,Sheet1
MEDENINE,Oueljet Elkhodher,2004.0,,,,,,,,,48000.0,48000.0,55000.0,83168.0,104365.0,88000.0,37000.0,37000.0,56000.0,32000.0,32000.0,53000.0,75000.0,0.0,,,,Sheet1
MEDENINE,Telbet,2005.0,,,,,,,,,140000.0,140000.0,218400.0,101187.0,81000.0,80000.0,89650.0,0.0,0.0,0.0,26000.0,115000.0,89650.0,25000.0,25000.0,15000.0,15000.0,Sheet1
MEDENINE,Maghzel,,,,,,,,,,,,,,,,,,,,,,,,,,,Sheet1
TATAOUINE,El bhira,2017.0,,,,,,,,,,,,,,,,,,,,23443.0,30330.0,75365.0,48850.0,40450.0,38900.0,Sheet1
TOTAL,,,5051330.0,5474473.0,7010794.0,9923007.0,12479398.0,17517357.0,7635442.0,7579757.0,9168226.0,10118759.0,10432608.0,17933577.0,14098224.0,15091713.0,18741924.0,16873114.0,14157921.0,11587545.0,14469125.0,13108058.0,13668211.0,12380737.0,11951821.0,11727445.0,12177118.0,Sheet1
