annee,delegation,nombre_beneficiaire,valeur_subvention_md,valeur_investissement_md,feuille
2021,صفاقس المدينة,20,63.0,155.0,Feuil1
2021,صفاقس الغربية,2,5.0,10.0,Feuil1
2021,صفاقس الشمالية,1,6.0,19.0,Feuil1
2021,صفاقس الجنوبية,4,31.0,56.0,Feuil1
2021,طينة,1,1.0,4.0,Feuil1
2021,عقارب,7,82.0,164.0,Feuil1
2021,جبنيانة,6,41.0,82.0,Feuil1
2021,العامرة,11,50.0,106.0,Feuil1
2021,الحنشة,5,48.0,87.0,Feuil1
2021,منزل شاكر,8,47.0,85.0,Feuil1
2021,الغريبة,6,43.0,84.0,Feuil1
2021,بئر علي,6,14.0,40.0,Feuil1
2021,الصخيرة,4,34.0,73.0,Feuil1
2021,المحرس,7,4.0,12.0,Feuil1
2021,قرقنة,110,261.0,826.0,Feuil1
2023,صفاقس المدينة,14,62.0,124.0,Feuil1
2023,صفاقس الغربية,0,0.0,0.0,Feuil1
2023,صفاقس الشمالية,3,56.0,117.0,Feuil1
2023,صفاقس الجنوبية,0,0.0,0.0,Feuil1
2023,طينة,2,11.0,22.0,Feuil1
2023,عقارب,4,32.0,65.0,Feuil1
2023,جبنيانة,7,35.0,93.0,Feuil1
2023,العامرة,3,43.0,113.0,Feuil1
2023,الحنشة,3,9.0,19.0,Feuil1
2023,منزل شاكر,7,128.0,268.0,Feuil1
2023,الغريبة,1,1.0,4.0,Feuil1
2023,بئر علي,5,38.0,90.0,Feuil1
2023,الصخيرة,9,41.0,95.0,Feuil1
2023,المحرس,11,81.0,175.0,Feuil1
2023,قرقنة,39,178.0,518.0,Feuil1
2024,صفاقس المدينة,13,61.5,174.2,Feuil1
2024,صفاقس الجنوبية,0,0.0,0.0,Feuil1
2024,ساقية الزيت,3,20.0,52.4,Feuil1
2024,ساقية الدائر,5,75.4,163.5,Feuil1
2024,طينة,0,0.0,0.0,Feuil1
2024,عقارب,8,104.8,196.8,Feuil1
2024,جبنيانة,6,16.0,50.5,Feuil1
2024,العامرة,6,70.4,144.5,Feuil1
2024,الحنشة,2,33.6,62.0,Feuil1
2024,منزل شاكر,6,67.0,160.0,Feuil1
2024,الغريبة,1,1.0,3.5,Feuil1
2024,بئر علي,6,41.8,80.0,Feuil1
2024,الصخيرة,8,160.0,302.0,Feuil1
2024,المحرس,6,26.5,67.0,Feuil1
2024,قرقنة,50,180.0,492.0,Feuil1
