المعتمدية,المساحة_القابلة_للري_العمومي,المساحة_القابلة_للري_الخاص,المجموع,المساحة_المروية_العمومي,المساحة_المروية_الخاص,المجموع_1,المساحة_المستغلة_العمومي,المساحة_المستغلة_الخاص,المجموع_2,نسبة_الاستغلال_العمومي,نسبة_الاستغلال_الخاص,المجموع_3,نسبة_التكثيف_العمومي,نسبة_التكثيف_الخاص,المجموع_4,feuille
بنزرت الشمالية,0,50,50,0,47,47,0,45,45,0.0,90.0,90.0,0.0,94.0,94.0,Feuil1
بنزرت الجنوبية,854,183,1037,500,180,680,450,178,628,52.69320843091335,97.26775956284153,60.55930568948891,58.548009367681495,98.36065573770492,65.57377049180327,Feuil1
جرزونة,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,Feuil1
منزل جميل,726,276,1002,600,280,880,300,270,570,41.32231404958678,97.82608695652173,56.886227544910184,82.64462809917356,101.44927536231884,87.82435129740519,Feuil1
منزل بورقيبة,109,218,327,25,200,225,10,205,215,9.174311926605505,94.03669724770643,65.74923547400611,22.93577981651376,91.74311926605505,68.80733944954129,Feuil1
تينجة,0,114,114,0,120,120,0,110,110,0.0,96.49122807017544,96.49122807017544,,105.26315789473684,105.26315789473684,Feuil1
ماطر,2374,189,2563,1700,174,1874,1000,180,1180,42.122999157540015,95.23809523809523,46.039797112758485,71.60909856781802,92.06349206349206,73.11744049941474,Feuil1
غزالة,1943,237,2180,1300,245,1545,1300,210,1510,66.90684508492023,88.60759493670885,69.26605504587155,66.90684508492023,103.37552742616035,70.87155963302753,Feuil1
جومين,76,304,380,35,350,385,10,270,280,25.0,88.81578947368422,73.68421052631578,46.05263157894737,115.13157894736842,101.3157894736842,Feuil1
سجنان,3700,150,3850,1300,170,1470,1300,130,1430,35.13513513513514,86.66666666666667,37.142857142857146,35.13513513513514,113.33333333333333,38.18181818181819,Feuil1
العالية,1550,474,2024,1600,530,2130,1000,458,1458,64.51612903225806,96.62447257383965,72.03557312252964,103.2258064516129,111.81434599156117,105.23715415019763,Feuil1
رأس الجبل,2190,281,2471,2250,350,2600,1900,270,2170,86.7579908675799,96.08540925266904,87.81869688385268,102.73972602739727,124.55516014234875,105.22055847834883,Feuil1
غار الملح,2116,1335,3451,1900,1700,3600,1200,1335,2535,56.71077504725898,100.0,73.45696899449436,89.79206049149339,127.34082397003745,104.31758910460735,Feuil1
أوتيك,4685,1044,5729,4700,1250,5950,3300,1044,4344,70.4375667022412,100.0,75.82475126549136,100.32017075773747,119.73180076628354,103.85756676557864,Feuil1
كامل الولاية,20323,4855,25178,15910,5596,21506,11770,4705,16475,57.9146779510899,96.91040164778579,65.43410914290253,78.28568616838065,115.2626158599382,85.41583922471999,Feuil1
