annee,ann_2007,ann_2008,ann_2009,ann_2010,ann_2011,ann_2012,ann_2013,ann_2014,ann_2015,ann_2016,ann_2017,ann_2018,ann_2019,jan_juin_2020,jan_sep2021,feuille
ble dur local et import,113386,460934,359538,285997,416734,442858,454463,356146,771577,550392,562368,657700,775753,440825,697895346.8989999,قيمة التعويض ألف دينار
ble tendre local et import,248105,352329,182411,120614,342303,380049,469438,430772,393110,284840,349216,470889,653115,301941,540935851.772,قيمة التعويض ألف دينار
orge local et import,99331,51769,20962,26933,78180,104011,216934,89244,82724,54566,75810,225126,330918,154955,319551924.23099995,قيمة التعويض ألف دينار
