المعتمدية,عدد_المنتفعين_المشاريع_الصغرى_صنف_ا,المنحة_ا_د_المشاريع_الصغرى_صنف_ا,قيمة_الاستثمار_ا_د_المشاريع_الصغرى_صنف_ا,عدد_المنتفعين_المشاريع_المتوسطة_والكبرى_صنف_ب,المنحة_ا_د_المشاريع_المتوسطة_والكبرى_صنف_ب,قيمة_الاستثمار_صنف_ب_ا_د_المشاريع_المتوسطة_والكبرى_صنف_ب,feuille
بوزيد الغربية,79.98945889739062,300.458625858348,725.456,63,2385,5112,Feuil1
بوزيد الشرقية,97.1451787325878,364.89941691190893,881.048,48,1745,4147,Feuil1
المكناسي,52.89807082597606,198.69720198155778,479.7535,34,1101,2999,Feuil1
الرقاب,35.44073219540906,133.12346203649204,321.426,44,1569,4789,Feuil1
السعيدة,15.188885226603885,57.052912301353736,137.754,19,676,1685,Feuil1
جلمة,37.07943025309005,139.27878516774572,336.288,24,887,1979,Feuil1
بن عون,44.06302727094369,165.5107661369433,399.625,41,1762,4971,Feuil1
المزونة,35.595428291151656,133.7045358053757,322.829,21,735,2063,Feuil1
السبالة,11.3679026878556,42.70043162644693,103.1,23,766,1790,Feuil1
أولاد حفوز,18.007154796939375,67.63897469099469,163.314,35,1395,2875,Feuil1
بئر الحفي,13.898942515205023,52.20759368255837,126.055,57,2011,5547,Feuil1
منزل بوزيان,65.1195585638611,244.60389346674515,590.595,25,1111,2568,Feuil1
السوق الجديد,56.19873199921523,211.09523710025505,509.6885,28,893,2324,Feuil1
الجملة,562.0,2111.0,5097.0,462,17036,42849,Feuil1
