nbr_adi,mt_investissement_declaree,gouvernorat,delegation,secteur_activite,feuille
1,13000,قابس,قابس الجنوبية,التحويل الأولي,SQL Results
1,78607,توزر,الحامة,الخدمات,SQL Results
1,7504,نابل,نابل,الخدمات,SQL Results
1,140000,أريانة,سكرة,الفلاحي,SQL Results
1,66816,قابس,المطوية,الخدمات,SQL Results
1,2500000,نابل,سليمان,التحويل الأولي,SQL Results
1,847840,باجة,قبلاط,الخدمات,SQL Results
1,72520,سيدي بوزيد,سيدي علي بن عون,الخدمات,SQL Results
1,40000,منــوبة,برج العامري,الخدمات,SQL Results
1,73000,سوسة,سيدي بوعلي,الخدمات,SQL Results
1,130000,تــونس,البحيرة,الخدمات,SQL Results
1,1360000,القيروان,حاجب العيون,التحويل الأولي,SQL Results
1,78019,تطاوين,رمادة,الخدمات,SQL Results
1,137000,سوسة,القلعة الكبرى,التحويل الأولي,SQL Results
1,25000,المهدية,الشابة,تربية الأحياء المائية,SQL Results
1,193393,نابل,قليبية,التحويل الأولي,SQL Results
1,315972,منــوبة,البطان,الخدمات,SQL Results
1,3291820,سوسة,سوسة المدينة,تربية الأحياء المائية,SQL Results
1,204857,سليانة,بوعرادة,الخدمات,SQL Results
1,1620000,القيروان,الوسلاتية,التحويل الأولي,SQL Results
1,1841000,سيدي بوزيد,السعيدة,التحويل الأولي,SQL Results
1,47353,مدنين,أجيم,الصيد البحري,SQL Results
1,13934,بنزرت,بنزرت الشما لية,الصيد البحري,SQL Results
1,108490,سليانة,العروسة,الخدمات,SQL Results
1,131000,المنستير,قصيبة المديوني,التحويل الأولي,SQL Results
1,247800,سوسة,سيدي الهاني,التحويل الأولي,SQL Results
1,30000,المهدية,شربان,التحويل الأولي,SQL Results
1,80077,تــونس,المرسى,التحويل الأولي,SQL Results
1,61000,بن عروس,حما م الشط,الخدمات,SQL Results
1,85800,تطاوين,بني مهيرة,الخدمات,SQL Results
1,186485,صفاقس,جبنيانة,التحويل الأولي,SQL Results
1,41000,بن عروس,بن عروس,الخدمات,SQL Results
1,65010,صفاقس,المحرس,الصيد البحري,SQL Results
1,97001,نابل,بني خلاد,التحويل الأولي,SQL Results
1,8900000,سوسة,حمام سوسة,تربية الأحياء المائية,SQL Results
1,146355,سوسة,سيدي الهاني,الخدمات,SQL Results
1,81100,بنزرت,منزل جميل,الخدمات,SQL Results
1,77541,القصرين,فوسانة,الخدمات,SQL Results
1,1428700,قفصة,زانوش,التحويل الأولي,SQL Results
1,10400,المنستير,الساحلين,التحويل الأولي,SQL Results
1,400000,سليانة,سليانة الجنوبية,الخدمات,SQL Results
1,60000,المنستير,الوردانين,الخدمات,SQL Results
1,102610,القصرين,سبيبة,الخدمات,SQL Results
1,730000,المنستير,بني حسان,التحويل الأولي,SQL Results
1,427730,نابل,بوعرقوب,التحويل الأولي,SQL Results
1,4458,القصرين,حاسي الفريد,التحويل الأولي,SQL Results
1,95000,مدنين,أجيم,التحويل الأولي,SQL Results
1,76000,تــونس,الزهور,الخدمات,SQL Results
1,64902,توزر,حزوة,الفلاحي,SQL Results
1,90000,تــونس,الحرايرية,الخدمات,SQL Results
1,91955,القيروان,القيروان الشما لية,التحويل الأولي,SQL Results
1,470677,نابل,بني خيار,التحويل الأولي,SQL Results
1,92350,الكاف,القصور,الخدمات,SQL Results
1,200000,قابس,مطماطة,التحويل الأولي,SQL Results
1,1180600,سوسة,سيدي بوعلي,تربية الأحياء المائية,SQL Results
1,37079,بنزرت,راس الجبل,التحويل الأولي,SQL Results
1,132708,جندوبة,طبرقة,الفلاحي,SQL Results
1,42420,قبلي,الفوار,التحويل الأولي,SQL Results
1,640000,تــونس,تونس المدينة,الفلاحي,SQL Results
1,18219,قابس,غنوش,الصيد البحري,SQL Results
1,2531387,سوسة,سيدي بوعلي,التحويل الأولي,SQL Results
1,510000,منــوبة,واد الليل,الخدمات,SQL Results
1,52804,القصرين,العيون,الخدمات,SQL Results
1,39393,تــونس,حي التحرير,الخدمات,SQL Results
1,55259,صفاقس,قرقنة,الصيد البحري,SQL Results
1,3381262,تــونس,حي الخضراء,الفلاحي,SQL Results
1,135000,سوسة,القصيبة الزاوية الثريات,الخدمات,SQL Results
1,233384,بنزرت,الغزالة,الخدمات,SQL Results
1,64902,القصرين,جدليان,الخدمات,SQL Results
1,57500,بن عروس,مرناق,الخدمات,SQL Results
1,311640,الكاف,الجريصة,الخدمات,SQL Results
1,59634,توزر,تمغزة,الخدمات,SQL Results
1,60215,تــونس,قرطاج,الخدمات,SQL Results
1,200000,مدنين,جرجيس,التحويل الأولي,SQL Results
1,86513,نابل,بني خلاد,الخدمات,SQL Results
1,22400,نابل,تاكلسة,التحويل الأولي,SQL Results
1,65137,قفصة,بلخير,الخدمات,SQL Results
1,243550,سليانة,الكريب,التحويل الأولي,SQL Results
1,74037,قابس,قابس الغربية,الخدمات,SQL Results
1,355000,المنستير,المكنين,التحويل الأولي,SQL Results
1,600000,توزر,توزر,التحويل الأولي,SQL Results
1,440000,المهدية,المهدية,التحويل الأولي,SQL Results
1,95000,قفصة,المظيلة,الخدمات,SQL Results
1,5970270,تــونس,قرطاج,الفلاحي,SQL Results
1,103000,تــونس,العمران الأعلى,الخدمات,SQL Results
1,125113,نابل,تاكلسة,الخدمات,SQL Results
1,720769,القصرين,فريانة,التحويل الأولي,SQL Results
1,41975,بن عروس,حمام الأنف,الخدمات,SQL Results
1,7212519,صفاقس,صفاقس المدينة,التحويل الأولي,SQL Results
1,50563,مدنين,سيدي مخلوف,تربية الأحياء المائية,SQL Results
1,915199,القصرين,سبيطلة,التحويل الأولي,SQL Results
1,64902,قابس,مطماطة الجديدة,الخدمات,SQL Results
1,56900,نابل,الميدة,التحويل الأولي,SQL Results
1,159170,جندوبة,عين دراهم,الخدمات,SQL Results
1,118666,سيدي بوزيد,المكناسي,التحويل الأولي,SQL Results
1,56980,بنزرت,الغزالة,التحويل الأولي,SQL Results
1,72383,بنزرت,جرزونة,الخدمات,SQL Results
1,4000,سوسة,هرقلة,الخدمات,SQL Results
1,193805,القصرين,القصرين الشما لية,الفلاحي,SQL Results
1,87500,باجة,تيبار,الخدمات,SQL Results
1,74450,سليانة,كسرى,الخدمات,SQL Results
1,68000,تــونس,العمران,الخدمات,SQL Results
1,605000,تــونس,سيدي حسين,التحويل الأولي,SQL Results
1,197000,صفاقس,المحرس,التحويل الأولي,SQL Results
1,322110,قابس,المطوية,التحويل الأولي,SQL Results
1,18212,أريانة,قلعة الأندلس,الصيد البحري,SQL Results
1,98800,المنستير,المنستير,تربية الأحياء المائية,SQL Results
1,1140000,قفصة,المتلوي,التحويل الأولي,SQL Results
1,235500,الكاف,الكاف الشرقية,التحويل الأولي,SQL Results
1,12000,تــونس,السيجومي,التحويل الأولي,SQL Results
1,1540000,المهدية,هبيرة,التحويل الأولي,SQL Results
1,500000,قابس,الحامة,تربية الأحياء المائية,SQL Results
1,40000,باجة,تستور,التحويل الأولي,SQL Results
1,197000,المهدية,أولاد الشامخ,التحويل الأولي,SQL Results
1,16000,تــونس,الوردية,الخدمات,SQL Results
1,925000,زغوان,الفحص,التحويل الأولي,SQL Results
1,460000,بنزرت,منزل بورقيبة,تربية الأحياء المائية,SQL Results
1,500000,سوسة,مساكن,الخدمات,SQL Results
1,1400000,المهدية,بو مرداس,التحويل الأولي,SQL Results
1,1900000,القيروان,سيدي علي نصرالله,التحويل الأولي,SQL Results
1,1137000,بن عروس,بن عروس,الفلاحي,SQL Results
1,60000,المنستير,الساحلين,الخدمات,SQL Results
2,1471000,قفصة,الرديف,التحويل الأولي,SQL Results
2,297179,القيروان,القيروان الجنوبية,التحويل الأولي,SQL Results
2,130500,المنستير,صيادة لمطة بوحجر,الخدمات,SQL Results
2,231093,بنزرت,راس الجبل,الخدمات,SQL Results
2,601000,بن عروس,فوشانة,الفلاحي,SQL Results
2,73390,سوسة,حمام سوسة,الخدمات,SQL Results
2,3300000,المنستير,الساحلين,الفلاحي,SQL Results
2,339759,نابل,بني خيار,تربية الأحياء المائية,SQL Results
2,125000,تطاوين,الصمّار,الخدمات,SQL Results
2,1942975,منــوبة,الجديدة,الخدمات,SQL Results
2,132560,قفصة,أم  العرائس,الخدمات,SQL Results
2,160282,صفاقس,المحرس,الخدمات,SQL Results
2,155000,بنزرت,تينجة,الفلاحي,SQL Results
2,133000,بن عروس,فوشانة,التحويل الأولي,SQL Results
2,409576,أريانة,سيدي ثابت,التحويل الأولي,SQL Results
2,243347,القصرين,حيدرة,الخدمات,SQL Results
2,516000,بن عروس,فوشانة,الخدمات,SQL Results
2,370000,المنستير,قصيبة المديوني,الفلاحي,SQL Results
2,135500,تطاوين,غمراسن,الخدمات,SQL Results
2,104830,القصرين,فريانة,الخدمات,SQL Results
2,167363,سوسة,النفيضة,الخدمات,SQL Results
2,355338,قابس,دخيلة توجان,الخدمات,SQL Results
2,1549337,الكاف,السرس,الخدمات,SQL Results
2,1025194,تــونس,سيدي حسين,الفلاحي,SQL Results
2,47300,سوسة,القلعة الصغرى,الفلاحي,SQL Results
2,139686,القصرين,حاسي الفريد,الخدمات,SQL Results
2,100805,القصرين,القصرين الجنوبية,التحويل الأولي,SQL Results
2,84053,تــونس,باب سويقة,الخدمات,SQL Results
2,72000,قفصة,القصر,الخدمات,SQL Results
2,132000,المنستير,بني حسان,الخدمات,SQL Results
2,189980,قابس,دخيلة توجان,الفلاحي,SQL Results
2,149814,قابس,مارث,الصيد البحري,SQL Results
2,142754,مدنين,بن قردان,الصيد البحري,SQL Results
2,143476,سوسة,كندار,التحويل الأولي,SQL Results
2,296901,تــونس,المنزه,الخدمات,SQL Results
2,635000,سوسة,هرقلة,تربية الأحياء المائية,SQL Results
2,100300,المنستير,طبلبة,الفلاحي,SQL Results
2,132607,قبلي,رجيم معتوق,الخدمات,SQL Results
2,134381,سيدي بوزيد,السعيدة,الخدمات,SQL Results
2,2106000,سليانة,سليانة الشما لية,التحويل الأولي,SQL Results
2,3160000,المهدية,قصور الساف,التحويل الأولي,SQL Results
2,323048,جندوبة,طبرقة,الصيد البحري,SQL Results
2,2910000,قابس,قابس المدينة,الفلاحي,SQL Results
2,157068,منــوبة,دوارهيشر,الخدمات,SQL Results
2,1200000,المهدية,الشابة,التحويل الأولي,SQL Results
2,265000,أريانة,رواد,الفلاحي,SQL Results
2,905906,توزر,دقاش,التحويل الأولي,SQL Results
2,722256,الكاف,ساقية سيدي يوسف,الخدمات,SQL Results
2,295000,بن عروس,بومهل البساتين,الفلاحي,SQL Results
2,136484,أريانة,المنيهلة,الخدمات,SQL Results
2,155000,سوسة,أكودة,الفلاحي,SQL Results
2,139606,صفاقس,طينة,الفلاحي,SQL Results
2,647000,المنستير,جمال,التحويل الأولي,SQL Results
2,147775,مدنين,سيدي مخلوف,الخدمات,SQL Results
2,79911,جندوبة,طبرقة,الخدمات,SQL Results
2,239939,نابل,الهوارية,الخدمات,SQL Results
2,86600,منــوبة,منوبة,الخدمات,SQL Results
2,162850,نابل,بني خيار,الخدمات,SQL Results
2,967045,نابل,دار شعبان الفهري,التحويل الأولي,SQL Results
2,596800,القصرين,تا لة,الخدمات,SQL Results
2,75281,قابس,قابس الجنوبية,الخدمات,SQL Results
2,185216,بنزرت,منزل بورقيبة,الخدمات,SQL Results
3,249000,المنستير,جمال,الخدمات,SQL Results
3,657424,نابل,حمام الغزاز,الفلاحي,SQL Results
3,2660000,توزر,نفطة,التحويل الأولي,SQL Results
3,167135,الكاف,نبر,الخدمات,SQL Results
3,427000,المنستير,المنستير,الصيد البحري,SQL Results
3,2557000,المهدية,ملولش,التحويل الأولي,SQL Results
3,199923,الكاف,الكاف الشرقية,الخدمات,SQL Results
3,234999,باجة,عمدون,الخدمات,SQL Results
3,176907,سوسة,أكودة,الخدمات,SQL Results
3,275640,نابل,قربة,الخدمات,SQL Results
3,386726,بنزرت,غار الملح,الخدمات,SQL Results
3,192720,سوسة,مساكن,التحويل الأولي,SQL Results
3,365000,تــونس,سيدي حسين,الخدمات,SQL Results
3,294900,قفصة,سيدي بوبكر,الفلاحي,SQL Results
3,208401,زغوان,صواف,الفلاحي,SQL Results
3,2181058,قفصة,قفصة الجنوبية,الخدمات,SQL Results
3,471250,صفاقس,صفاقس الجنوبية,التحويل الأولي,SQL Results
