campagne_agricole,delegation,superficie_cible_selon_le_plan_regional_ha,superficie_actuelle_dolivier_ha,superficie_actuelle_darboriculture_ha,superficie_autres_ha,production_doliviers_tonne_dhuile,production_de_fruits_tonne,production_autre_litre_dhuiles_vegetales_aromatiques,feuille
2019/2020,باجة الشمالية,10.0,10.0,,,13,,,Feuil1
2019/2020,باجة الجنوبية,400.0,347.0,,,70,,,Feuil1
2019/2020,مجاز الباب,700.0,659.0,6,35,100,,,Feuil1
2019/2020,قبلاط,566.5,366.5,,200,,,30,Feuil1
2019/2020,تستور,1131.0,833.0,242,104,150,1250,,Feuil1
2019/2020,تبرسق,,,,,,,,Feuil1
2019/2020,تيبار,2984.0,2784.0,200,,,400,,Feuil1
2019/2020,عمدون,,,,,,,,Feuil1
2019/2020,نفزة,9837.5,,,9842,,,145,Feuil1
2019/2020,كامل الولاية,15629.0,4999.5,448,10181,333,1650,175,Feuil1
2020/2021,باجة الشمالية,20.0,10.0,,10 مراعي,2,,,Feuil1
2020/2021,باجة الجنوبية,400.0,336.0,,,8,,,Feuil1
2020/2021,مجاز الباب,735.0,618.5,6,35 زراعات كبري,12,,,Feuil1
2020/2021,قبلاط,400.0,139.5,,200 نباتات طبية و عطرية,,,20 لتر زيت,Feuil1
2020/2021,تستور,2046.0,1217.0,242,141 توابل +  و 392 مراعي,23,65,,Feuil1
2020/2021,تبرسق,277.0,150.0,,,,,,Feuil1
2020/2021,تيبار,3449.5,3031.5,200,218 مراعي,,40,,Feuil1
2020/2021,عمدون,500.0,,,489,,,35 لتر زيت,Feuil1
2020/2021,نفزة,9105.0,,,9105 هك غابات لتقطير الزيوت الطبية و العطرية                        156 بيت نحل,,,60 لتر زيوت             300 كلغ    عسل,Feuil1
2020/2021,كامل الولاية,16932.5,5502.5,448,10590,45,105,105 لتر                    300 كلغ عسل,Feuil1
2021/2022,باجة الشمالية,20.0,10.0,,,7 طن زيت,,,Feuil1
2021/2022,باجة الجنوبية,400.0,347.0,,,30 طن زيت,,,Feuil1
2021/2022,مجاز الباب,730.0,659.0,6,35 زراعات كبرى,50 طن زيت,,,Feuil1
2021/2022,قبلاط,400.0,366.5,,200,,,30 لتر زيت,Feuil1
2021/2022,تستور,2000.0,833.0,242,104 زراعات كبري و توابل (18 هك),70طن زيت,100 طن,,Feuil1
2021/2022,تبرسق,300.0,,,,,,,Feuil1
2021/2022,تيبار,3450.0,2784.0,200,,,150 طن,,Feuil1
2021/2022,عمدون,500.0,,,500,,,35 لتر زيت,Feuil1
2021/2022,نفزة,9100.0,,,"9842هك غابات لتقطير الزيوت الطبية و العطرية , 16 هك زراعات كبرى     56 بيت نحل",,,110 لتر زيوت           448 كلغ  عسل,Feuil1
2021/2022,كامل الولاية,16900.0,4999.5,448,10715,157 طن,250 طن,175 لتر                    448 كلغ عسل,Feuil1
2022/2023,باجة الشمالية,10.0,10.0,,,,,,Feuil1
2022/2023,باجة الجنوبية,400.0,336.0,,,23 طن زيت,,,Feuil1
2022/2023,مجاز الباب,700.0,496.0,6,35 زراعات كبرى,42 طن زيت,,,Feuil1
2022/2023,قبلاط,566.5,150.0,,200,12 طن زيت,,,Feuil1
2022/2023,تستور,1131.0,944.0,242,10 زراعات كبرى,57 طن زيت,1000 طن,,Feuil1
2022/2023,تبرسق,120.0,100.0,,,6 طن زيت,,,Feuil1
2022/2023,تيبار,2574.0,2374.0,200,,93 طن زيت,150,,Feuil1
2022/2023,عمدون,,,,,,,,Feuil1
2022/2023,نفزة,9837.5,,,"9842هك غابات لتقطير الزيوت الطبية و العطرية , 16 هك زراعات كبرى     56 بيت نحل",,,100 لتر زيوت           150 كلغ,Feuil1
2022/2023,كامل الولاية,15339.0,4410.0,448,9890                   56 بيت نحل,233 طن,1150 طن,100 لتر زيوت           150 كلغ,Feuil1
2023/2024,باجة الشمالية,10.0,10.0,,5,1.2,,7.5,Feuil1
2023/2024,باجة الجنوبية,400.0,350.0,,,44,,,Feuil1
2023/2024,مجاز الباب,700.0,550.0,6,35 زراعات كبرى,74.4,,,Feuil1
2023/2024,قبلاط,550.0,200.0,,12,22.5,,,Feuil1
2023/2024,تستور,1131.0,950.0,250,10 زراعات كبرى,159.3,1000 طن,,Feuil1
2023/2024,تبرسق,150.0,100.0,,,12,,,Feuil1
2023/2024,تيبار,2984.0,2374.0,200,,285,150,,Feuil1
2023/2024,عمدون,,,,,,,,Feuil1
2023/2024,نفزة,9850.0,,,"9834هك غابات لتقطير الزيوت الطبية و العطرية , 16 هك ز.ك     60 بيت نحل",,,200 لتر زيوت           150 كلغ,Feuil1
2023/2024,كامل الولاية,15775.0,4534.0,456,9912                   60 بيت نحل,"598,4 طن",1150 طن,175 لتر زيوت           300 كلغ,Feuil1
