inv_declare,nbr_adi,mois,secteur_activite,gouvernorat,feuille
2523860,31,1,الفلاحي,سليانة,SQL Results
190194,7,1,الخدمات,صفاقس,SQL Results
73450,4,1,الخدمات,جندوبة,SQL Results
2816056,22,1,الفلاحي,نابل,SQL Results
6242100,18,1,الفلاحي,بن عروس,SQL Results
223575,2,1,الفلاحي,توزر,SQL Results
280500,7,1,الخدمات,القيروان,SQL Results
17000,1,1,الخدمات,المنستير,SQL Results
60000,2,1,الفلاحي,قفصة,SQL Results
70000,1,1,الفلاحي,المنستير,SQL Results
254175,5,1,الفلاحي,جندوبة,SQL Results
13180,1,1,الصيد البحري,نابل,SQL Results
1511020,21,1,الفلاحي,منــوبة,SQL Results
35000,2,1,الخدمات,المهدية,SQL Results
1014893,16,1,الفلاحي,مدنين,SQL Results
290324,6,1,الفلاحي,قبلي,SQL Results
1104974,8,1,الفلاحي,بنزرت,SQL Results
484105,2,1,الفلاحي,صفاقس,SQL Results
1171000,30,1,الفلاحي,القيروان,SQL Results
7040271,1,1,تربية الأحياء المائية,نابل,SQL Results
451073,8,1,الخدمات,سيدي بوزيد,SQL Results
278478,8,1,الخدمات,تــونس,SQL Results
1260608,20,1,الفلاحي,باجة,SQL Results
1950708,4,1,الفلاحي,زغوان,SQL Results
31000,1,1,الخدمات,سليانة,SQL Results
78353,2,1,الخدمات,أريانة,SQL Results
763915,14,1,الفلاحي,المهدية,SQL Results
65000,2,1,الخدمات,مدنين,SQL Results
841184,4,1,الفلاحي,قابس,SQL Results
1702000,1,1,تربية الأحياء المائية,المنستير,SQL Results
186170,5,1,الخدمات,قبلي,SQL Results
55500,3,1,الخدمات,سوسة,SQL Results
22000,1,1,الخدمات,قابس,SQL Results
179865,8,1,الخدمات,نابل,SQL Results
60000,1,1,الفلاحي,تــونس,SQL Results
643407,2,1,الفلاحي,القصرين,SQL Results
8400,1,1,الفلاحي,الكاف,SQL Results
496759,4,1,الفلاحي,تطاوين,SQL Results
75332,3,1,الفلاحي,أريانة,SQL Results
35000,2,1,الخدمات,القصرين,SQL Results
517500,6,1,الخدمات,بن عروس,SQL Results
364515,2,1,الخدمات,بنزرت,SQL Results
30213,2,1,الصيد البحري,صفاقس,SQL Results
98400,3,1,الخدمات,منــوبة,SQL Results
127000,1,1,الفلاحي,سوسة,SQL Results
2434005,58,1,الفلاحي,سيدي بوزيد,SQL Results
28000,2,1,الخدمات,باجة,SQL Results
27750,2,1,الخدمات,الكاف,SQL Results
755500,20,2,الفلاحي,سليانة,SQL Results
1290000,1,2,التحويل الأولي,مدنين,SQL Results
1156957,28,2,الفلاحي,باجة,SQL Results
823000,11,2,الخدمات,المهدية,SQL Results
