nbr_adi,mt_investissement_declaree,gouvernorat,delegation,secteur_activite,feuille
2,983001,سليانة,بوعرادة,الخدمات,SQL Results
1,124988,صفاقس,صفاقس الجنوبية,الخدمات,SQL Results
1,1560500,المهدية,قصور الساف,الفلاحي,SQL Results
1,5000,القصرين,القصرين الجنوبية,الخدمات,SQL Results
1,71100,تطاوين,رمادة,الخدمات,SQL Results
1,98000,تــونس,المنزه,الخدمات,SQL Results
1,266880,سليانة,برقو,الخدمات,SQL Results
1,73000,قفصة,الرديف,الخدمات,SQL Results
1,99000,المنستير,المنستير,الخدمات,SQL Results
1,78607,توزر,الحامة,الخدمات,SQL Results
1,2320000,باجة,تستور,الخدمات,SQL Results
12,1084000,المهدية,هبيرة,الفلاحي,SQL Results
32,6773104,صفاقس,منزل شاكر,الفلاحي,SQL Results
19,19307203,صفاقس,المحرس,الفلاحي,SQL Results
20,1451523,قابس,مارث,الفلاحي,SQL Results
18,5204696,باجة,مجاز الباب,الفلاحي,SQL Results
1,421000,سوسة,بوفيشة,الفلاحي,SQL Results
44,4292998,القصرين,فوسانة,الفلاحي,SQL Results
2,426301,القيروان,منزل المهيري,الفلاحي,SQL Results
7,809968,الكاف,قلعة الخصبة,الفلاحي,SQL Results
10,824947,الكاف,نبر,الفلاحي,SQL Results
33,2651105,قابس,المطوية,الفلاحي,SQL Results
8,777223,جندوبة,غارالدماء,الفلاحي,SQL Results
10,902073,نابل,قرمبا لية,الفلاحي,SQL Results
2,515520,قابس,قابس الغربية,الفلاحي,SQL Results
4,1050447,نابل,الهوارية,الفلاحي,SQL Results
6,946895,جندوبة,جندوبة,الخدمات,SQL Results
2,210929,جندوبة,بلطة بوعوان,الفلاحي,SQL Results
2,124776,زغوان,الزريبة,الفلاحي,SQL Results
5,368753,الكاف,نبر,الخدمات,SQL Results
6,433574,قبلي,قبلي الشما لية,الخدمات,SQL Results
1,130000,المهدية,ملولش,الخدمات,SQL Results
6,466068,الكاف,ساقية سيدي يوسف,الفلاحي,SQL Results
4,516110,بنزرت,جومين,الخدمات,SQL Results
5,311646,مدنين,مدنين الشما لية,الفلاحي,SQL Results
11,870891,قابس,غنوش,الخدمات,SQL Results
4,294890,جندوبة,جندوبة الشما لية,الخدمات,SQL Results
1,355040,سوسة,سيدي بوعلي,تربية الأحياء المائية,SQL Results
1,74000,سوسة,القلعة الكبرى,الخدمات,SQL Results
4,984476,جندوبة,طبرقة,الصيد البحري,SQL Results
1,12000,منــوبة,الجديدة,الخدمات,SQL Results
1,29700,قفصة,سيدي عيش,التحويل الأولي,SQL Results
6,516181,مدنين,مدنين الجنوبية,الخدمات,SQL Results
1,121211,سوسة,سوسة المدينة,الصيد البحري,SQL Results
1,25830,منــوبة,منوبة,الفلاحي,SQL Results
3,330750,القيروان,سيدي علي نصرالله,الفلاحي,SQL Results
2,78620,نابل,منزل بوزلفة,الخدمات,SQL Results
2,517781,باجة,تيبار,الفلاحي,SQL Results
1,217663,قابس,قابس الجنوبية,الخدمات,SQL Results
1,73000,سوسة,القلعة الصغرى,الفلاحي,SQL Results
4,423741,قابس,الحامة,الخدمات,SQL Results
1,290000,المنستير,بنبلة,الخدمات,SQL Results
1,8398,سليانة,الروحية,الفلاحي,SQL Results
1,77102,صفاقس,الحنشة,الخدمات,SQL Results
1,281076,نابل,قليبية,الفلاحي,SQL Results
1,220000,المهدية,قصور الساف,تربية الأحياء المائية,SQL Results
8,1661935,منــوبة,البطان,الفلاحي,SQL Results
21,4090783,سيدي بوزيد,الرقاب,الفلاحي,SQL Results
