annee,type_peche,quantite_production,feuille
2008,Pêche côtière,23578.0,Feuil1
2008,Pêche au chalut de fond,19636.0,Feuil1
2008,Pêche au chalut pélagique,780.0,Feuil1
2008,Pêche poisson bleu,48988.0,Feuil1
2008,Pêche aux Thons,2679.0,Feuil1
2008,Aquaculture,3738.0,Feuil1
2008,Pêche dans les lagunes,585.0,Feuil1
2008,Pêche aux coquillages,536.0,Feuil1
2008,Pêche des éponges,20.0,Feuil1
2008,Pêche aux crevettes,30.0,Feuil1
2008,Pêche corail,8.0,Feuil1
2009,Pêche côtière,22662.0,Feuil1
2009,Pêche au chalut de fond,19875.0,Feuil1
2009,Pêche au chalut pélagique,924.0,Feuil1
2009,Pêche poisson bleu,49067.0,Feuil1
2009,Pêche aux Thons,2259.0,Feuil1
2009,Aquaculture,4692.0,Feuil1
2009,Pêche dans les lagunes,448.0,Feuil1
2009,Pêche aux coquillages,473.0,Feuil1
2009,Pêche des éponges,10.0,Feuil1
2009,Pêche aux crevettes,36.0,Feuil1
2009,Pêche corail,5.0,Feuil1
2010,Pêche côtière,26430.0,Feuil1
2010,Pêche au chalut de fond,22133.0,Feuil1
2010,Pêche au chalut pélagique,1026.0,Feuil1
2010,Pêche poisson bleu,44208.0,Feuil1
2010,Pêche aux Thons,1937.0,Feuil1
2010,Aquaculture,5437.0,Feuil1
2010,Pêche dans les lagunes,404.0,Feuil1
2010,Pêche aux coquillages,433.0,Feuil1
2010,Pêche des éponges,10.0,Feuil1
2010,Pêche aux crevettes,38.0,Feuil1
2010,Pêche corail,10.0,Feuil1
2011,Pêche côtière,24705.0,Feuil1
2011,Pêche au chalut de fond,22618.0,Feuil1
2011,Pêche au chalut pélagique,750.0,Feuil1
2011,Pêche poisson bleu,50863.0,Feuil1
2011,Pêche aux Thons,1924.0,Feuil1
2011,Aquaculture,7261.0,Feuil1
2011,Pêche dans les lagunes,302.0,Feuil1
2011,Pêche aux coquillages,690.0,Feuil1
2011,Pêche des éponges,15.0,Feuil1
2011,Pêche aux crevettes,27.0,Feuil1
2011,Pêche corail,5.0,Feuil1
2012,Pêche côtière,28577.0,Feuil1
2012,Pêche au chalut de fond,25643.0,Feuil1
2012,Pêche au chalut pélagique,396.0,Feuil1
2012,Pêche poisson bleu,51439.0,Feuil1
2012,Pêche aux Thons,1313.0,Feuil1
2012,Aquaculture,9151.0,Feuil1
2012,Pêche dans les lagunes,302.0,Feuil1
2012,Pêche aux coquillages,770.0,Feuil1
2012,Pêche des éponges,9.0,Feuil1
2012,Pêche aux crevettes,33.0,Feuil1
2012,Pêche corail,4.0,Feuil1
2013,Pêche côtière,27734.0,Feuil1
2013,Pêche au chalut de fond,26839.0,Feuil1
2013,Pêche au chalut pélagique,440.0,Feuil1
2013,Pêche poisson bleu,51833.0,Feuil1
2013,Pêche aux Thons,1822.0,Feuil1
2013,Aquaculture,11964.0,Feuil1
2013,Pêche dans les lagunes,392.0,Feuil1
2013,Pêche aux coquillages,1102.0,Feuil1
2013,Pêche des éponges,11.0,Feuil1
2013,Pêche aux crevettes,40.0,Feuil1
2013,Pêche corail,4.0,Feuil1
2014,Pêche côtière,31812.0,Feuil1
