annee,delegation,superficie_fourrages_ha,feuille
2013,القيروان الشمالية,640.0,مساحة الزراعات العلفية
2013,القيروان الجنوبية,480.0,مساحة الزراعات العلفية
2013,السبيخة,1580.0,مساحة الزراعات العلفية
2013,الوسلاتية,605.0,مساحة الزراعات العلفية
2013,الشبيكة,1100.0,مساحة الزراعات العلفية
2013,حفوز,280.0,مساحة الزراعات العلفية
2013,العلا,50.0,مساحة الزراعات العلفية
2013,حاجب العيون,315.0,مساحة الزراعات العلفية
2013,عين جلولة,,مساحة الزراعات العلفية
2013,نصرالله,1354.0,مساحة الزراعات العلفية
2013,منزل المهيري,,مساحة الزراعات العلفية
2013,بوحجلة,912.0,مساحة الزراعات العلفية
2013,الشراردة,230.0,مساحة الزراعات العلفية
2013,المجمــوع,7546.0,مساحة الزراعات العلفية
2014,القيروان الشمالية,734.0,مساحة الزراعات العلفية
2014,القيروان الجنوبية,332.0,مساحة الزراعات العلفية
2014,السبيخة,2285.0,مساحة الزراعات العلفية
2014,الوسلاتية,62.0,مساحة الزراعات العلفية
2014,الشبيكة,605.0,مساحة الزراعات العلفية
2014,حفوز,,مساحة الزراعات العلفية
2014,العلا,20.0,مساحة الزراعات العلفية
2014,حاجب العيون,335.0,مساحة الزراعات العلفية
2014,عين جلولة,,مساحة الزراعات العلفية
2014,نصرالله,1355.0,مساحة الزراعات العلفية
2014,منزل المهيري,,مساحة الزراعات العلفية
2014,بوحجلة,1087.0,مساحة الزراعات العلفية
2014,الشراردة,110.0,مساحة الزراعات العلفية
2014,المجمــوع,6925.0,مساحة الزراعات العلفية
2015,القيروان الشمالية,871.0,مساحة الزراعات العلفية
2015,القيروان الجنوبية,366.0,مساحة الزراعات العلفية
2015,السبيخة,2478.0,مساحة الزراعات العلفية
2015,الوسلاتية,575.0,مساحة الزراعات العلفية
2015,الشبيكة,525.0,مساحة الزراعات العلفية
2015,حفوز,227.0,مساحة الزراعات العلفية
2015,العلا,31.0,مساحة الزراعات العلفية
2015,حاجب العيون,273.0,مساحة الزراعات العلفية
2015,عين جلولة,,مساحة الزراعات العلفية
2015,نصرالله,1185.0,مساحة الزراعات العلفية
2015,منزل المهيري,,مساحة الزراعات العلفية
2015,بوحجلة,1023.0,مساحة الزراعات العلفية
2015,الشراردة,110.0,مساحة الزراعات العلفية
2015,المجمــوع,7664.0,مساحة الزراعات العلفية
2016,القيروان الشمالية,695.0,مساحة الزراعات العلفية
2016,القيروان الجنوبية,480.0,مساحة الزراعات العلفية
2016,السبيخة,2106.0,مساحة الزراعات العلفية
2016,الوسلاتية,520.0,مساحة الزراعات العلفية
2016,الشبيكة,595.0,مساحة الزراعات العلفية
2016,حفوز,197.0,مساحة الزراعات العلفية
2016,العلا,50.0,مساحة الزراعات العلفية
2016,حاجب العيون,361.0,مساحة الزراعات العلفية
2016,عين جلولة,,مساحة الزراعات العلفية
2016,نصرالله,1222.0,مساحة الزراعات العلفية
2016,منزل المهيري,,مساحة الزراعات العلفية
2016,بوحجلة,725.0,مساحة الزراعات العلفية
2016,الشراردة,156.0,مساحة الزراعات العلفية
2016,المجمــوع,7107.0,مساحة الزراعات العلفية
2017,القيروان الشمالية,595.0,مساحة الزراعات العلفية
2017,القيروان الجنوبية,466.0,مساحة الزراعات العلفية
2017,السبيخة,2176.0,مساحة الزراعات العلفية
2017,الوسلاتية,490.0,مساحة الزراعات العلفية
2017,الشبيكة,585.0,مساحة الزراعات العلفية
2017,حفوز,64.0,مساحة الزراعات العلفية
2017,العلا,8.0,مساحة الزراعات العلفية
2017,حاجب العيون,338.0,مساحة الزراعات العلفية
2017,عين جلولة,,مساحة الزراعات العلفية
2017,نصرالله,395.0,مساحة الزراعات العلفية
2017,منزل المهيري,,مساحة الزراعات العلفية
2017,بوحجلة,691.0,مساحة الزراعات العلفية
