annee,delegation,production_des_cultures_industrielles_en_tonne,production_arboriculture_en_tonne,production_olive_a_huile_en_tonne,feuille
2016,MANOUBA,,1500.0,140.0,Feuil2
2016,DOUAR HICHER,,450.0,120.0,Feuil2
2016,OUED ELLIL,,4340.0,1500.0,Feuil2
2016,MORNAGUIA,,5500.0,1100.0,Feuil2
2016,BORJ EL AMRI,,7500.0,2100.0,Feuil2
2016,DJEDAIDA,60.0,15800.0,1200.0,Feuil2
2016,TEBOURBA,52.0,13400.0,1400.0,Feuil2
2016,EL BATTANE,1960.0,14800.0,4810.0,Feuil2
2017,MANOUBA,,1810.0015800284405,58.28617623282134,Feuil2
2017,DOUAR HICHER,,543.0004740085321,49.95957962813258,Feuil2
2017,OUED ELLIL,,5236.9379048822875,624.4947453516572,Feuil2
2017,MORNAGUIA,,6636.6724601042815,457.962813257882,Feuil2
2017,BORJ EL AMRI,,9050.007900142202,874.2926434923202,Feuil2
2017,DJEDAIDA,90.0,19065.349976299574,499.59579628132576,Feuil2
2017,TEBOURBA,90.0,16169.34744825407,582.8617623282134,Feuil2
2017,EL BATTANE,70.0,17858.682256280612,2002.5464834276474,Feuil2
2018,MANOUBA,,1880.0,120.0,Feuil2
2018,DOUAR HICHER,,565.0,110.0,Feuil2
2018,OUED ELLIL,,5440.0,1330.0,Feuil2
2018,MORNAGUIA,,6895.0,980.0,Feuil2
2018,BORJ EL AMRI,,9399.589192605466,1870.0,Feuil2
2018,DJEDAIDA,170.0,19800.0,1070.0,Feuil2
2018,TEBOURBA,170.0,16790.0,1240.0,Feuil2
2018,EL BATTANE,110.0,18550.0,4280.0,Feuil2
2019,MANOUBA,,2065.819465456379,65.45454545454545,Feuil2
2019,DOUAR HICHER,,620.8446797781139,60.0,Feuil2
2019,OUED ELLIL,,5977.690368129097,725.4545454545455,Feuil2
2019,MORNAGUIA,,7576.502773575391,534.5454545454545,Feuil2
2019,BORJ EL AMRI,,10328.645915626481,1020.0,Feuil2
2019,DJEDAIDA,260.6666666666667,21757.034795763993,583.6363636363636,Feuil2
2019,TEBOURBA,260.6666666666667,18449.525970751387,676.3636363636364,Feuil2
2019,EL BATTANE,168.66666666666666,20383.48461926374,2334.5454545454545,Feuil2
2020,MANOUBA,,1613.714069591528,163.63636363636363,Feuil2
2020,DOUAR HICHER,,484.97257942511345,150.0,Feuil2
2020,OUED ELLIL,,4669.47049924357,1813.6363636363635,Feuil2
2020,MORNAGUIA,22.0,5918.382186081694,1336.3636363636363,Feuil2
2020,BORJ EL AMRI,,8068.217727919103,2550.0,Feuil2
2020,DJEDAIDA,572.0,16995.499243570346,1459.0909090909092,Feuil2
2020,TEBOURBA,1348.6000000000001,14411.840015128593,1690.9090909090908,Feuil2
2020,EL BATTANE,213.4,15922.551059001511,5836.363636363637,Feuil2
2021,MANOUBA,,1795.290973272819,43.63636363636364,Feuil2
2021,DOUAR HICHER,,539.5422339889057,40.000000000000014,Feuil2
2021,OUED ELLIL,,5194.884518406455,483.63636363636374,Feuil2
2021,MORNAGUIA,50.0,6584.32513867877,356.3636363636364,Feuil2
2021,BORJ EL AMRI,,8976.062569126245,680.0000000000002,Feuil2
2021,DJEDAIDA,600.0,18907.8517397882,389.09090909090924,Feuil2
2021,TEBOURBA,1450.0,16033.47629853757,450.909090909091,Feuil2
2021,EL BATTANE,250.0,17714.174230963185,1556.363636363637,Feuil2
2022,MANOUBA,,109.09090909090911,109.09090909090911,Feuil2
2022,DOUAR HICHER,,100.00000000000003,100.00000000000003,Feuil2
2022,OUED ELLIL,,1209.0909090909095,1209.0909090909095,Feuil2
2022,MORNAGUIA,13.574468085106382,890.9090909090909,890.9090909090909,Feuil2
2022,BORJ EL AMRI,,1700.0000000000005,1700.0000000000005,Feuil2
2022,DJEDAIDA,162.8936170212766,972.7272727272731,972.7272727272731,Feuil2
2022,TEBOURBA,393.6595744680851,1127.2727272727275,1127.2727272727275,Feuil2
2022,EL BATTANE,67.87234042553192,3890.9090909090924,3890.9090909090924,Feuil2
2023,MANOUBA,,93.81818181818184,93.81818181818184,Feuil2
2023,DOUAR HICHER,,86.00000000000003,86.00000000000003,Feuil2
2023,OUED ELLIL,,1039.8181818181822,1039.8181818181822,Feuil2
2023,MORNAGUIA,10.638297872340425,766.1818181818181,766.1818181818181,Feuil2
2023,BORJ EL AMRI,,1462.0000000000005,1462.0000000000005,Feuil2
2023,DJEDAIDA,127.65957446808513,836.5454545454548,836.5454545454548,Feuil2
2023,TEBOURBA,308.5106382978724,969.4545454545457,969.4545454545457,Feuil2
2023,EL BATTANE,53.19148936170213,3346.1818181818194,3346.1818181818194,Feuil2
2024,MANOUBA,,950.0,35.0,Feuil2
2024,DOUAR HICHER,,200.0,75.0,Feuil2
2024,OUED ELLIL,,3600.0,900.0,Feuil2
2024,MORNAGUIA,30.0,4650.0,1300.0,Feuil2
2024,BORJ EL AMRI,0.0,6400.0,1380.0,Feuil2
2024,DJEDAIDA,220.0,13525.0,550.0,Feuil2
2024,TEBOURBA,635.0,11500.0,980.0,Feuil2
2024,EL BATTANE,115.0,12700.0,1480.0,Feuil2
