nom_societe,activite,adresse,date_creation,zone_intervention,nombre_adherents,situation,feuille
الشركة التعاونية زيوت الشمال,منتجات الزيتون,حي الزهور,16/06/2008,الشمال التونسي,88,الوضعية القانونية للشركة غير مسواة وهي الآن لدى المكلف العام بنزاعات الدولة,Feuil1
الشركة التعاونية للخدمات الفلاحية في قطاع تربية الماشية بن حمودة,تربية الماشية,برج شاكير,21/02/2017,برج شاكير,7,توقفت عن النشاط دون القيام بالاجراءات القانونية لحل الشركة,Feuil1
الشركة التعاونية للخدمات الفلاحية عروس البحيرة,الصيد البحري,حلق الوادي,22/03/2017,بحيرة تونس الشمالية,21,,Feuil1
